artist,datetime,content,sentiment
Achille Lauro,2025-02-12 00:42:59,"Il mio podio al momento
Brunori
Achille Lauro
Cristicchi
#Sanremo2025",positive
Achille Lauro,2025-02-12 00:53:19,"Mia personale top 5º
-Olly
-Fedez
-Simone Cristicchi
-Giorgia
-Achille Lauro 

#sanremo
#sanremo2025",positive
Achille Lauro,2025-02-12 00:28:01,"Top 4 canzoni più belle sentite fino ad ora:

1) Achille Lauro
2) Bresh
3) Simone Cristicchi
4) Brunori Sas

Le prime due in particolare non vedo l’ora di ascoltarle in streaming appena usciranno su Spotify",positive
Achille Lauro,2025-02-12 00:09:36,Lucio Corsi ha preso il posto di Achille Lauro #Sanremo2025,positive
Achille Lauro,2025-02-12 00:11:40,Achille Lauro ballerino di Taylor Swift sotto copertura #Sanremo2025,positive
Achille Lauro,2025-02-12 00:11:30,lucio corsi è tutto ciò che achille lauro pensa di essere #sanremo2025,positive
Achille Lauro,2025-02-12 00:01:03,che noia non posso credere che con tony effe fedez e achille lauro nello stesso edificio non ci sia stata nemmeno una rissa like do something,negative
Achille Lauro,2025-02-12 00:25:19,"RAGA, ACHILLE LAURO FEDEZ E LUCIO CORSI HANNO I PEZZI PIU BELLI!! 
#sanremo2025",positive
Achille Lauro,2025-02-12 00:14:58,"fedez sul palco, ma andiamo subito nel backstage in collegamento con Tony Effe e Achille Lauro 
#sanremo25 #Sanremo",positive
Achille Lauro,2025-02-12 00:20:11,"“Sono tutti bravi ragazzi”
Nel frattempo dietro le quinte Tony Effe, Achille Lauro e Gue che menano Fedez:
#Sanremo2025",positive
Achille Lauro,2025-02-12 00:21:31,"¿Con quien te quedas de #Sanremo2025?
 Achille Lauro  Fedez",positive
Achille Lauro,2025-02-12 00:25:42,"Io amo Achille Lauro ma mi piace anche Fedez,di tutte le cose che si sono dette in questi giorni non mi interessa,io guardo il cantante #sanremo25",positive
Achille Lauro,2025-02-12 00:33:27,Now I need Bresh and Achille Lauro in the top 5 or I will cry #Sanremo2025,positive
Achille Lauro,2025-02-12 00:49:39,"Il mio podio  
1. Achille Lauro
2. Giorgia
3. Elodie
#Sanremo2025",positive
