artist,datetime,content,sentiment
Brunori Sas,2025-02-11 23:53:45,brunori sas I wasn't familiar with your game mi sa che devo approfondire,negative
Brunori Sas,2025-02-11 23:55:46,"E tutta questa felicità forse la posso sostenere
Perché hai cambiato l’architettura e le proporzioni del mio cuore
E posso navigare sotto una nuova stella polare

Brunori Sas 

#Sanremo2025",positive
Brunori Sas,2025-02-11 23:51:32,BRUNORI SAS HA SCRITTO QUESTO?!?!!?!?,negative
Brunori Sas,2025-02-11 23:56:02,"La classe infinita di Brunori Sas.

Meriterebbe il podio.

Uno che le parole le sa usare eccome.

#Sanremo2025",positive
Brunori Sas,2025-02-11 23:55:37,Ma solo io non avevo mai sentito parlare di Brunori SaS? #sanremo25,positive
Brunori Sas,2025-02-11 23:53:01,Nel mio mondo ideale Brunori Sas vince Sanremo 2025 #Sanremo2025,positive
Brunori Sas,2025-02-11 23:53:44,"sto piangendo per questo testo bellissimo di brunori sas 
#Sanremo2025",positive
Brunori Sas,2025-02-11 23:51:35,Brunori Sas Willie Peyote da vecchio,positive
Brunori Sas,2025-02-11 23:52:25,Brunori Sas. Scuola De Gregori. Scuola dell’obbligo.,positive
Brunori Sas,2025-02-11 23:51:19,Bellissima la canzone di Brunori Sas mi ricorda Francesco De Gregori #Sanremo2025,positive
Brunori Sas,2025-02-11 23:59:52,"Da spettatore neutro e imparziale, Brunori Sas maestoso ",positive
Brunori Sas,2025-02-11 23:51:31,in quest’accozzaglia di cantanti ho purtroppo la sensazione che un artista del calibro di brunori sas non avrà l’exploit che si meriterebbe :( spero vivamente di sbagliarmi però,positive
Brunori Sas,2025-02-11 23:51:34,Ma la dolcezza di questa canzone di Brunori Sas  #Sanremo2025,positive
Brunori Sas,2025-02-11 23:52:23,"Brunori Sas, L'albero delle noci

Ritorniamo ad ascoltare “Rimmel” con Brunori Sas, ma, a parte il confronto, abbiamo bisogno di un cantautore come lui nel panorama musicale italiano. Forse, però, con altre canzoni.

Voto: 7 1/2

#BrunoriSas #Sanremo",positive
Brunori Sas,2025-02-11 23:51:28,"Brunori Sas ""vorrei cambiare la voce"" l'ha scritto pensando a lui 
#Sanremo2025",positive
Brunori Sas,2025-02-11 23:53:36,"Amo Brunori Sas da quando ha cantato ""e chi lo ha detto che è peggio un culo di un cuore"" e l'ho amato pure sul palco.
#Sanremo2025",positive
Brunori Sas,2025-02-11 23:50:34,meno male che dopo questo blocco un po' horror c'è brunori sas a salvare la situazione #Sanremo2025,positive
Brunori Sas,2025-02-11 23:54:33,BRUNORI SAS IL MIO INTERO ALBERO GENEALOGICO #Sanremo2025,positive
Brunori Sas,2025-02-11 23:52:36,Posso fare una battuta molto poco elegante su Brunori Sas? #Sanremo2025,positive
Brunori Sas,2025-02-11 23:53:02,Brunori SAS è sicuramente nella lega in cui compete con Cristicchi. Sicuramente più pop di quest’ultimo (ed è uno sforzo per Brunori) seppure con un testo più morbido e smussato #Sanremo2025,positive
Brunori Sas,2025-02-11 23:55:42," Brunori SAS
L'albero delle noci
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",positive
Brunori Sas,2025-02-11 23:51:39,Brunori SAS “l’albero delle noci”… mi piace molto … forse una delle più belle fino ad ora #sanremo25 #Sanremo2025,positive
Brunori Sas,2025-02-11 23:51:48,"vi è piaciuta l'esibizione di Brunori Sas con 
'L'albero delle noci' #sanremo25 #SANREMO2025 #sanremo #brunorisas",positive
Brunori Sas,2025-02-11 23:52:53,Cristicchi > Brunori SAS,positive
Brunori Sas,2025-02-11 23:57:33,"Brunori Sas è bravo. E non serviva Sanremo per scoprirlo
#Ssnremo2025",positive
Brunori Sas,2025-02-11 23:57:51,voglio sapere il piano della calabria per far vincere brunori sas il festival di sanremo #Sanremo2025,positive
Brunori Sas,2025-02-11 23:59:59,"quickfire acts up until adbreak #5 ranking:

1. Serena Brancale(!!!)
2. Tony Effe (I like cringe music sorry)
3. Brunori Sas
4. Moda'

#sanremo2025",negative
Brunori Sas,2025-02-11 23:50:04,Nel suo disco - che vi consiglio- ci sono almeno due pezzi più belli. Ma Brunori SAS su quel palco è sempre un bell'ascoltare e ha fatto bene ad andare #Sanremo2025,positive
Brunori Sas,2025-02-11 23:55:35,brunori sas hai prosciugato tutte le lacrime che avevo in corpo ti voglio tantissimo bene e ti affido il mio cuore,positive
Brunori Sas,2025-02-11 23:52:03,Brunori Sas sempre di un altro livello. Ma ha fatto di meglio #Sanremo2025,positive
Brunori Sas,2025-02-11 23:57:38,"Ma è vero che Olly ha tirato un cazzotto in faccia ad una bambina che gli ha chiesto una foto subito dopo l'esibizione (insufficiente) ? Sarebbe vergognoso, non ci voglio credere #Sanremo2025",positive
Brunori Sas,2025-02-11 23:50:21,"BRUNORI SAS SEI IL + BRAVO DEL MONDO 

#Sanremo2025",positive
Brunori Sas,2025-02-11 23:52:17,BELLA LA CANZONE DI BRUNORI SAS forse la mia preferita per ora #Sanremo2025,positive
Brunori Sas,2025-02-11 23:51:42,brunori sas sei il nostro POETA,negative
Brunori Sas,2025-02-11 23:53:34,"Brunori Sas (nella foto), una certezza.

#Sanremo2025",positive
Brunori Sas,2025-02-11 23:54:48,Mi porto avanti per sabato quando Brunori Sas sarà derubato della Top 10 #Sanremo2025,positive
Brunori Sas,2025-02-11 23:51:51,"troppo bella la canzone di Brunori Sas, su di lui avevo altissime aspettative, e sono state superate, una delle mie preferite, davvero #sanremo2025
(Brunori SUS)",positive
Brunori Sas,2025-02-11 23:52:06,DARIO BRUNORI IN ARTE BRUNORI SAS HAI DATO TUTTO AMORE #Sanremo2025,positive
Brunori Sas,2025-02-11 23:52:53,"la canzone che posterò sulle storie di instagram: albero delle noci di brunori sas
la canzone che posterei nelle storie di instagram se non esistesse il bullismo: è una street song",positive
Brunori Sas,2025-02-11 23:53:18,Certo che da Tony Effe a Brunori Sas è come rinascere a nuova vita  #Sanremo2025,positive
Brunori Sas,2025-02-11 23:53:03,"Per me il modo di cantare, scrivere di Brunori Sas è qualcosa che potrei ascoltare per ore e ore…È quello che adoro della musica #SANREMO2025",positive
Brunori Sas,2025-02-11 23:50:26,"Brunori sas almeno ha fatto una bella ballad
Perché se bisogna portare sto genere, almeno che siano belle e non delle lagne",positive
Brunori Sas,2025-02-11 23:51:33,"IL POETA
MIO PADRE
IL DADDY PER ECCELLENZA 

BRUNORI SAS 

#Sanremo2025",positive
Brunori Sas,2025-02-11 23:54:00,Brunori sas >>>>>> Cristicchi #Sanremo2025 #Sanremo,positive
Brunori Sas,2025-02-11 23:54:07,"Forse la musica non sarà memorabile, o forse ha bisogno di più ascolti come capita spesso con lui, ma cosa gli vuoi dire a Brunori Sas?
Mi hai fatto scendere una lacrima alla fine.

È magico

Voto 7.5

(e io sono di parte)",positive
Brunori Sas,2025-02-11 23:50:21,"Per me il pezzo di Brunori sas il più bello fino a questo momento 

Bello bello bello #sanremo2025",positive
Brunori Sas,2025-02-11 23:51:40,"Brunori Sas... due coglioni paurosi, giganteschi. Sembra una specie di De Gregori generato a caso da una A.I. 

#sanremo #SANREMO2025",positive
Brunori Sas,2025-02-11 23:52:02,"La delicatezza di Brunori Sas 

#Sanremo2025 ",positive
Brunori Sas,2025-02-11 23:52:03,Brunori Sas e Simone Cristicchi i due testi più belli di questa edizione #Sanremo2025,positive
Brunori Sas,2025-02-11 23:53:33,brunori sas ma senti un po’ hai mai ascoltato seven di taylor swift,positive
Brunori Sas,2025-02-11 23:54:15,"Brunori Sas grazie per questa poesia, grazie.

#Sanremo2025",positive
Brunori Sas,2025-02-11 23:52:24,"Brunori SAS e il cantautorato di classe 
 #Sanremo2025",positive
