artist,datetime,content,sentiment
Elodie,2025-02-12 00:04:34,"Achille 5
Coma cose 40
Elodie 25
Gabbani 5
Gaia 30
Giorgia 10
Irama 35
Marcella 20 (prima 30 ma ha nominato il fantasanremo)
Ranieri 15
Noemi 5
Olly 15
Rkomi 55
Rose 15
Shablo 45
Cristicchi 25
Willie 30
Brancale 35
Tony 15
Modà 30",negative
Elodie,2025-02-12 00:04:07,"Chi è sta dea?
Elodie je spiccia casa proprio.
#Clara #Sanremo2025",positive
Elodie,2025-02-12 00:02:28,Adoro Elodie #tzvip,positive
Elodie,2025-02-12 00:08:29,And now imagine: Elodie with Clara's song. It's what we deserve. #SANREMO2025,positive
Elodie,2025-02-12 00:09:53,"Elodie la più figa del festival via questo social di pazzi.

#Sanremo2025",positive
Elodie,2025-02-12 00:15:25,ella es más grande que el océano. Inmensa. Una diosa. Y esto un temazo como una catedral. Siempre de Elodie ,positive
Elodie,2025-02-12 00:02:02,"Fino ad ora le mie prefe le canzoni di Brunori, Sere Brancale, Elodie, Shablo Guè e compagnia danzante e - con riserva - Noemi",negative
Elodie,2025-02-12 00:37:27,joan boppone brava,positive
Elodie,2025-02-12 00:27:11,"#Sanremo2025 24/29 done by 00.30 
Achille, Brunori, Giorgia, Elodie, Clara my faves so far but need to listen all again and studio versions
#Eurovision2025
Life after Helsinki 2007 Eurovision: ITALY: SANREMO - PRIMA SERATA / FIRST NIGHT: PREMI... https://ilkar.blogspot.com/2025/02/italy-sanremo-prima-serata-first-night.html?spref=tw…",positive
Elodie,2025-02-12 00:25:13,"Ok, se siamo tutti d'accordo voi statevene pure dalla parte di Elodie, che io me ne sto da quella di #Clara.
Simone Nesi 
@SimoneNesi3
#sanremo2025",positive
Elodie,2025-02-12 00:03:13,clara elodie rose villain gaia e poi mi chiedono come mai mi piacciano le donne,negative
Elodie,2025-02-12 00:56:08,questa sera sono stati più bravi gli uomini spiace ma le canzoni di clara elodie rose una noia mortale già sentita e risentita le uniche decenti giorgia e thiele,positive
Elodie,2025-02-12 00:39:55,tutto molto bello ora fate vincere Elodie #Sanremo2025,positive
Elodie,2025-02-12 00:04:06,Clara deve ancora capire cosa deve essere nella vita: una Laura Pausini o una Elodie che non ce l'ha fatta #sanremo2025,positive
