artist,datetime,content,sentiment
Fedez,2025-02-12 00:57:45,"dopo il primo ascolto per me questo festival è genova, non saprei quale scegliere tra le due

altri che mi hanno piacevolmente intrattenuta: lucio corsi, brunori, willie, elodie,  joan thiele, michielin

cristicchi per me è fuori gara, sono troppo emotiva

fedez lo risentiro'",positive
Fedez,2025-02-12 00:48:26,"Ese es el Federico que adoro. Hai spaccato , 
@Fedez
. #SANREMO2025",positive
Fedez,2025-02-12 00:54:45,comunque la cosa peggiore che potesse capitarmi è capitata cioè la canzone di fedez probabilmente non arriverà ultima,positive
Fedez,2025-02-12 00:27:35,Bravissimo la più bella canzone del festival!!!! #Fedez,positive
Fedez,2025-02-12 00:58:59,"Fedez si è guadagnato 3.500 voti a simpatia per un mio tweet, ma che cazzo ho fatto, ho tolto la vittoria alla Brancale",positive
Fedez,2025-02-12 00:35:58,mi sono addormentata e mi sono persa fedez e lucio corsi ,positive
Fedez,2025-02-12 00:59:19,palesemente il vincitore di sanremo75 #SANREMO2025 #Fedez #Sanremo,positive
Fedez,2025-02-12 00:44:59,"qua fedez ha proprio detto “ora mi riprendo tutto quello che è mio” 

#sanremo #sanremo25 #fedez",positive
Fedez,2025-02-12 00:34:56,fedez mi ha sorpreso comunque,positive
Fedez,2025-02-12 00:35:32,a me purtroppo la canzone di fedez ha suscito emozioni e pure il suo quasi svenire di ansia sul palco  #sanremo2025,positive
Fedez,2025-02-12 00:56:51,"#Sanremo2025
Considerazioni finali credo unpopular 
1) la canzone di Fedez se l'avesse portata qualcun altro
sarebbe stata da top 5 per i giornalisti/esperti
2)apprezzo Amadeus ma dopo il 2 anno la lunghezza dei suoi mi aveva già stancato. Era diventato tutto too much per me",negative
Fedez,2025-02-12 00:31:31,"la canzone di fedez mi è piaciuta...

#Sanremo2025 #Sanremo",positive
Fedez,2025-02-12 00:37:50,fedez mi è piaciuto un casino,positive
Fedez,2025-02-12 00:57:43,"Ma la gente sconvolta dal fatto che la canzone di Fedez sia bella, ma voi esattamente nel 2024/15 quando il 90% delle sue canzoni erano così, dov’eravate? #sanremo2025",positive
Fedez,2025-02-12 00:51:04,"Devo riascoltarle tutte ma dopo questa prima serata Cristicchi, Giorgia, Irama, Achille Lauro, Brunori Sas, Olly e con grande sorpresa Fedez miei prefe. Meritano una menzione speciale anche Coma_Cose, Willie Peyote, Bresh e Joan Thiele #sanremo25",positive
Fedez,2025-02-12 00:33:28,Scusate sono ancora ferma alla canzone di Fedez #Sanremo2025,positive
Fedez,2025-02-12 00:53:42,twitter dopo l'esibizione di fedez #Sanremo2025,positive
Fedez,2025-02-12 00:59:17,aveva grandi occhi neri parla di fedez #SANREMO2025,positive
Fedez,2025-02-12 00:33:02,"Fedez
Giorgia 
Coma_Cose 

Premio critica : Cristicchi 

E vado a nanna 
#sanremo2025",positive
Fedez,2025-02-12 00:59:06,"Aveva grandi occhi neri, spoiler era Fedez #Sanremo2025",positive
Fedez,2025-02-12 00:41:39,"No todo va sobre futbol y lo que hace FEDEZ siempre es espectacular, el presidente de Boomers equipo de la Kings Italia acaba de hacer esto en el festival de Sanremo. Woow.",positive
Fedez,2025-02-12 00:32:28,#Fedez potrebbe vincere e sarei contenta. #Sanremo2025,positive
Fedez,2025-02-12 00:27:36,Not sure he can win #Sanremo2025 but Fedez-Battito is the best option Italy has so far for #Eurovision2025 surprisingly!,positive
Fedez,2025-02-12 00:34:57,Su Fedez non ho scritto nulla… #Sanremo2025,negative
Fedez,2025-02-12 00:36:16,"Raga mi dispiace ma dovete essere oggettivi, la canzone di Fedez è tra le meno peggio di quest’anno e se non fosse lui starebbe già sul podio #Sanremo2025",positive
Fedez,2025-02-12 00:27:25,"“Vedo nero pure il cielo, vetri rotti schegge negli occhi.”

“Prenditi i sogni, pure i miei soldi, basta che resti lontana da me.”

“Vedo il bicchiere mezzo pieno, con due gocce di veleno.”

“Tu mi fotti, respiri corti e aumenta il battito.”

CAPOLAVORO DI FEDEZ 
#Sanremo2025",positive
Fedez,2025-02-12 00:35:08,Cose che non erano sulla mia bingo card: che mi piacesse la canzone di Fedez #sanremo2025,positive
Fedez,2025-02-12 00:38:18,"Per una volta, che sia valutata solo la bella canzone di sto ragazzo #Fedez #SANREMO2025 #Sanremo",positive
Fedez,2025-02-12 00:43:13,dopo aver passato una serata a sentire modà rocco hunt tony effe fedez e irama,positive
Fedez,2025-02-12 00:40:52,"Domani Fluoxetina +27%. 
Scherzi a parte, chi non capisce TUTTE le parole del testo di 
@Fedez
 è fortunato. Significa che sta bene al mondo. #sanremo #sanremo25 #sanremo2025",positive
Fedez,2025-02-12 00:57:49,"1 Irama
2 Giorgia
3 Bresh
4 Rose Villain
5 Fedez
#Sanremo2025",positive
Fedez,2025-02-12 00:52:38,"Ecco cosa mi ricordava #Fedez 

#Sanremo2025",positive
Fedez,2025-02-12 00:38:08,"#Sanremo2025 No, ma davvero, finalmente #Fedez ha sganciato una bomba quasi come alle origini…",positive
Fedez,2025-02-12 00:59:35,"Giorgia,  Cristicchi, Fedez. L’ordine come vi pare #sanremo2025",positive
Fedez,2025-02-12 00:50:31,"Necesito reescuchar varias pero me temo que los unicos hits en mi Spotify van a ser Gaia, Fedez, Sarah y Clara. 
Olly quizá me gane con las escuchas porque es la tipica male ballad que debería encantarme #sanremo2025",positive
Fedez,2025-02-12 00:51:35,"raga a me è piaciuta…
sembrava il fedez di 10 anni fa",positive
Fedez,2025-02-12 00:53:20,"LA MIA TOP 5 RANDOMICA  
elodie
gaia
Clara
fedez
francesca
#Sanremo2025",positive
Fedez,2025-02-12 00:49:37,"[ #Sanremo2025 - 1e soirée]

Michielin est là, et qu'il est loin le regard vide du duo avec Fedez de 2021. Elle nous propose effectivement une ballade (surprise), pas révolutionnaire dans son genre (surprise), mais un fort joli moment",positive
Fedez,2025-02-12 00:59:28,"""aveva grandi occhi neri e mi fa dove stai andando?""
i the kolors parlano di fedez #sanremo2025",positive
