artist,datetime,content,sentiment
Gaia Sanremo,2025-02-11 22:43:08,"Incredible vocals, great song, but not as memorable as Gaia #sanremo #Sanremo2025",positive
Gaia Sanremo,2025-02-11 22:01:38,"Quando bisogna ordinare le pizze a domicilio.

#Gaia #Sanremo",positive
Gaia Sanremo,2025-02-11 22:40:05,Chi è Gaia a Sanremo 2025 con Chiamo io chiami tu,positive
Gaia Sanremo,2025-02-11 22:04:39,Il look total nude è un custom-made curato dalla stylist Alba Melendo,positive
Gaia Sanremo,2025-02-11 22:43:08,"Incredible vocals, great song, but not as memorable as Gaia #sanremo #Sanremo2025",positive
Gaia Sanremo,2025-02-11 22:01:38,"Quando bisogna ordinare le pizze a domicilio.

#Gaia #Sanremo",positive
Gaia Sanremo,2025-02-11 22:40:05,Chi è Gaia a Sanremo 2025 con Chiamo io chiami tu,positive
Gaia Sanremo,2025-02-11 22:04:39,Il look total nude è un custom-made curato dalla stylist Alba Melendo,positive
Gaia Sanremo,2025-02-11 22:43:08,"Incredible vocals, great song, but not as memorable as Gaia #sanremo #Sanremo2025",positive
Gaia Sanremo,2025-02-11 22:01:38,"Quando bisogna ordinare le pizze a domicilio.

#Gaia #Sanremo",positive
Gaia Sanremo,2025-02-11 22:40:05,Chi è Gaia a Sanremo 2025 con Chiamo io chiami tu,positive
Gaia Sanremo,2025-02-11 22:04:39,Il look total nude è un custom-made curato dalla stylist Alba Melendo,positive
