artist,datetime,content,sentiment
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:19:56,La canzone e l esibizione di Giorgia ha commosso tutti ..persino una bestia anaffettiva  come me grandissima #Giorgia #Sanremo,positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:06:19,"Giorgia superlativa al Festival di Sanremo 2025 con ""La cura per me""!
Esibizione integrale su RaiPlay e in audio su RaiPlay Sound.
#Giorgia #Sanremo #Sanremo2025 #CarloConti #AntonellaClerici #GerryScotti #Ariston 
@Giorgia
 @SanremoRai
 @RaiUno
 @RaiPlay
 @RaiRadio2
@Raiofficialnews",positive
Giorgia Sanremo,2025-02-11 23:01:59,"Per ora solo Giorgia, non la #Meloni 

#Giorgia
#Sanremo 
#SANREMO2025",positive
Giorgia Sanremo,2025-02-11 23:44:52,"Ma donne naturali ci sono? 

Oltre a Giorgia 

#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:07:35,"quelle che mi son piaciute di più per ora,gaia,wille,olly,noemi e Giorgia
#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:01:59,"Per ora solo Giorgia, non la #Meloni 

#Giorgia
#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:19:56,La canzone e l esibizione di Giorgia ha commosso tutti ..persino una bestia anaffettiva  come me grandissima #Giorgia #Sanremo,positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:06:19,"Giorgia superlativa al Festival di Sanremo 2025 con ""La cura per me""!
Esibizione integrale su RaiPlay e in audio su RaiPlay Sound.
#Giorgia #Sanremo #Sanremo2025 #CarloConti #AntonellaClerici #GerryScotti #Ariston 
@Giorgia
 @SanremoRai
 @RaiUno
 @RaiPlay
 @RaiRadio2
@Raiofficialnews",positive
Giorgia Sanremo,2025-02-11 23:01:59,"Per ora solo Giorgia, non la #Meloni 

#Giorgia
#Sanremo 
#SANREMO2025",positive
Giorgia Sanremo,2025-02-11 23:44:52,"Ma donne naturali ci sono? 

Oltre a Giorgia 

#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:07:35,"quelle che mi son piaciute di più per ora,gaia,wille,olly,noemi e Giorgia
#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:01:59,"Per ora solo Giorgia, non la #Meloni 

#Giorgia
#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:19:56,La canzone e l esibizione di Giorgia ha commosso tutti ..persino una bestia anaffettiva  come me grandissima #Giorgia #Sanremo,positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:06:19,"Giorgia superlativa al Festival di Sanremo 2025 con ""La cura per me""!
Esibizione integrale su RaiPlay e in audio su RaiPlay Sound.
#Giorgia #Sanremo #Sanremo2025 #CarloConti #AntonellaClerici #GerryScotti #Ariston 
@Giorgia
 @SanremoRai
 @RaiUno
 @RaiPlay
 @RaiRadio2
@Raiofficialnews",positive
Giorgia Sanremo,2025-02-11 23:01:59,"Per ora solo Giorgia, non la #Meloni 

#Giorgia
#Sanremo 
#SANREMO2025",positive
Giorgia Sanremo,2025-02-11 23:44:52,"Ma donne naturali ci sono? 

Oltre a Giorgia 

#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:07:35,"quelle che mi son piaciute di più per ora,gaia,wille,olly,noemi e Giorgia
#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
Giorgia Sanremo,2025-02-11 23:01:59,"Per ora solo Giorgia, non la #Meloni 

#Giorgia
#Sanremo",positive
Giorgia Sanremo,2025-02-11 23:47:09,#giorgia #Sanremo #giorgiasanremo2025,positive
