artist,datetime,content,sentiment
Irama,2025-02-11 21:50:01,Ma Irama canta a bocca semichiusa come fa,positive
Irama,2025-02-11 21:57:39,"rkomi, irama, achille lauro, olly, bresh
stiamo tutti attenti che è un attimo che crolla l’ariston
#Sanremo2025",positive
Irama,2025-02-11 21:44:18,Irama pronto per Wonderland #Sanremo2025 #ATEEZ,positive
Irama,2025-02-11 21:53:49,"È palese che Papa Francesco stia usando l’autotune di Irama

#sanremo #sanremo2025",positive
Irama,2025-02-11 21:50:01,Ma Irama canta a bocca semichiusa come fa,positive
Irama,2025-02-11 21:57:39,"rkomi, irama, achille lauro, olly, bresh
stiamo tutti attenti che è un attimo che crolla l’ariston
#Sanremo2025",positive
Irama,2025-02-11 21:44:18,Irama pronto per Wonderland #Sanremo2025 #ATEEZ,positive
Irama,2025-02-11 21:53:49,"È palese che Papa Francesco stia usando l’autotune di Irama

#sanremo #sanremo2025",positive
Irama,2025-02-11 21:50:01,Ma Irama canta a bocca semichiusa come fa,positive
Irama,2025-02-11 21:57:39,"rkomi, irama, achille lauro, olly, bresh
stiamo tutti attenti che è un attimo che crolla l’ariston
#Sanremo2025",positive
Irama,2025-02-11 21:44:18,Irama pronto per Wonderland #Sanremo2025 #ATEEZ,positive
Irama,2025-02-11 21:53:49,"È palese che Papa Francesco stia usando l’autotune di Irama

#sanremo #sanremo2025",positive
