artist,datetime,content,sentiment
Joan Thiele,2025-02-12 00:43:33," Joan Thiele
 Eco
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",positive
Joan Thiele,2025-02-12 00:40:07,"Joan Thiele ha madrato, canzone top

#sanremo2025",positive
Joan Thiele,2025-02-12 00:42:23,"[ #Sanremo2025 - 1e soirée]

#27 - Je suis perdu dans la musique et le regard de tueuse de Joan Thiele, mais un nouveau concurrent s'avance pour son retour à Sanremo : Rocco Hunt avec ""Mille vote ancora""",positive
Joan Thiele,2025-02-12 00:40:37,Joan Thiele sembra che stia per essere chiamata a partecipare agli hunger games prima che la sorella si offra volontaria e diventi poi il volto di una rivoluzione #Sanremo2025,positive
Joan Thiele,2025-02-12 00:39:49,"Joan Thiele mi è piaciuta molto, spero la mettano nella prima parte di serata la prossima puntata #Sanremo2025",negative
Joan Thiele,2025-02-12 00:40:31,JOAN THIELE PRENDERAI UN BELLISSIMO #29 POSTO MA SEI TOP 3 NELLA BEPPE’S CHART,positive
Joan Thiele,2025-02-12 00:39:23,"oh ma quella di joan thiele è una bomba 
#Sanremo2025",positive
Joan Thiele,2025-02-12 00:41:39,joan thiele brava brava brava brava,positive
Joan Thiele,2025-02-12 00:39:40,"Joan Thiele sei una sconosciuta per me, ti ho in squadra al fantasanremo quindi fai la brava grazie ",negative
Joan Thiele,2025-02-12 00:40:31,joan thiele cacciando alle 00:40 una delle canzoni più belle in gara non accetto obiezioni,positive
Joan Thiele,2025-02-12 00:48:40,"Wow this was sooo good from Joan Thiele! It really stands out of the rest. 

#Sanremo",negative
Joan Thiele,2025-02-12 00:40:27,"A Joan Thiele ci piaceva “Goodbye Moon”.
Come quegli esercizi di matematica dove indovinavi la soluzione anche se il procedimento era sbagliato

Voto 6.5

#Sanremo2025",positive
Joan Thiele,2025-02-12 00:45:15,"Si capisce più Rocco Hunt in napoletano che Joan Thiele in Italiano.
[
@aureliobosa
]",positive
Joan Thiele,2025-02-12 00:41:01,"Que pasada de cancion trae Joan Thiele, ademas es algo que nunca ha estado en Sanremo, increible #Sanremo2025",negative
Joan Thiele,2025-02-12 00:39:50,joan thiele bravissima,negative
Joan Thiele,2025-02-12 00:39:00,la robbata sarà quasi assicurata ma joan thiele faccio il tifo per te ! #Sanremo2025,positive
Joan Thiele,2025-02-12 00:44:31,joan thiele e single per caso?,positive
Joan Thiele,2025-02-12 00:42:19,Joan THIELE pezzone finissimo,positive
Joan Thiele,2025-02-12 00:40:05,"Joan Thiele, no te conocía pero eres FANTÁSTICA #Sanremo2025",negative
Joan Thiele,2025-02-12 00:41:56,JOAN THIELE SURPRISE WIN ,negative
Joan Thiele,2025-02-12 00:39:47,PORCODIO JOAN THIELE BRAVISSIMA #sanremo2025,negative
Joan Thiele,2025-02-12 00:38:35,"Joan Thiele è proprio una giustissima
 #Sanremo2025",positive
Joan Thiele,2025-02-12 00:42:06,"Joan Thiele ha un’eleganza e una voce che boh.

Speravo suonasse di più.

#Sanremo2025",positive
Joan Thiele,2025-02-12 00:45:49,Passare dalla canzone di Joan Thiele a Rocco Hunt e' come passare da Walker a Calabria,positive
Joan Thiele,2025-02-12 00:44:04,"Joan Thiele canta l'Eco di una bella sorpresa. Sotto i piedi i primi passi musicali mossi a Londra e tu pensi per un attimo ad Amy Winehouse. R&B e Indie mescolati in una mistura che ti fa gustare un bicchiere di futuro musicale italiano 
#Sanremo2025",negative
Joan Thiele,2025-02-12 00:57:45,"dopo il primo ascolto per me questo festival è genova, non saprei quale scegliere tra le due

altri che mi hanno piacevolmente intrattenuta: lucio corsi, brunori, willie, elodie,  joan thiele, michielin

cristicchi per me è fuori gara, sono troppo emotiva

fedez lo risentiro'",positive
Joan Thiele,2025-02-12 00:39:49,Joan Thiele + canzone più bella del festival per netto distacco,positive
Joan Thiele,2025-02-12 00:43:17,bravissima joan thiele da sempre e per sempre la mia protetta ,negative
Joan Thiele,2025-02-12 00:40:32,"Comunque mi piace tantissimo brava Joan Thiele ma è il suo vero nome o un modo chic per dire Gentile?
#sanremo2025 #sanremo",negative
Joan Thiele,2025-02-12 00:38:25,JOAN THIELE MI PIACE MOLTO È DA FILM #SANREMO2025,positive
Joan Thiele,2025-02-12 00:47:34,"My winners are Achille Lauro and Joan Thiele, make of that what you will.",negative
Joan Thiele,2025-02-12 00:40:24,PIÙ SPAZIO ALLE CANTAUTRICI joan thiele da sola ha più talento di quasi tutti gli u0mini in gara messi insieme,negative
Joan Thiele,2025-02-12 00:42:27,joan thiele rispetto alla mediocrità di quanto visto finora è una fuoriclasse,negative
Joan Thiele,2025-02-12 00:40:06,Joan Thiele bellissima canzone ma si è esibita all'una meno venti CARLOOO,positive
Joan Thiele,2025-02-12 00:41:05,"WoW Joan Thiele, eres una ARTISTA",positive
Joan Thiele,2025-02-12 00:39:44,"Joan Thiele sarà la quota canzone sofisticata che purtroppo non verrà capita dalla masse ma sarà apprezzatissima dagli addetti ai lavori

#Sanremo2025",positive
Joan Thiele,2025-02-12 00:37:42,"joan thiele non la conoscevo minimamente ma che brava che è, che voce che ha brava brava #Sanremo2025",positive
Joan Thiele,2025-02-12 00:39:58,"Sto x dire una cosa forte 

Da una parte quelli usciti dai talent 

Dall’altra quelle che si sono fatte da sole con una gavetta REALE. Non commerciale, tipo la Brancale e Joan Thiele.
E la differenza si sente. #Sanremo #Sanremo2025",negative
Joan Thiele,2025-02-12 00:39:38,joan thiele la tipica bravissima che passerà (purtroppo) inosservata se arriverà quartultima sarà già tanto,positive
Joan Thiele,2025-02-12 00:40:28,Bella! Joan Thiele #Sanremo2025,negative
Joan Thiele,2025-02-12 00:41:15,"[ #Sanremo2025 - 1e soirée]

Alors, oui, certains resteront sans doute sur le bord du chemin avec le titre de Joan Thiele. Mais ici, c'est un gros coup de cœur pour cette proposition qui vous foudroie d'un coup de pistolet musical. Tu m'étonnes que la presse se soit enjaillée..",positive
Joan Thiele,2025-02-12 00:39:28,joan thiele ci conosciamo da un minuto e voglio già scrivere odi al tuo bellissimo naso e alle tue bellissime gambe,positive
Joan Thiele,2025-02-12 00:41:33,joan thiele ti amo sei bravissima ma #sanremo2025,positive
Joan Thiele,2025-02-12 00:40:04,"Questa canzone è ""Goodnight Moon"" di Shivaree

Joan Thiele ""Eco""

#Sanremo2025",positive
Joan Thiele,2025-02-12 00:40:51,JOAN THIELE CI HA DATO TUTTO ASPETTO LA SERATA COVER PER IL DUETTO CON FRAH QUINTALE LA MIA PORCO DIO DI CASA,positive
Joan Thiele,2025-02-12 00:40:57,joan thiele bravissima io non sapevo chi fossi fino ad un secondo fa adesso sei nella mia top 5  #SANREMO2025,negative
Joan Thiele,2025-02-12 00:41:21,joan thiele la donna che sei,negative
Joan Thiele,2025-02-12 00:59:20,joan thiele sei assurda !!!! #Sanremo2025,positive
Joan Thiele,2025-02-12 00:40:49,non sono abbastanza concentrato per dare un giudizio su joan thiele sono ancora fermo a mia figlia (sarah toscano),negative
Joan Thiele,2025-02-12 00:42:49,joan thiele pazzesca mi inchino #Sanremo2025,negative
Joan Thiele,2025-02-12 00:38:41,MA CHE BELLA LA CANZONE DI JOAN THIELE,positive
Joan Thiele,2025-02-12 00:48:02,joan thiele sarà la robbatissima per eccellenza,negative
Joan Thiele,2025-02-12 00:38:40,La canzone di Joan Thiele finisce direttamente nei miei brani salvati su spotify,positive
Joan Thiele,2025-02-12 00:40:59,Joan Thiele chi sei e dove eri fino ad ora mi inchino stra bella questa canzone #Sanremo2025,negative
Joan Thiele,2025-02-12 00:56:22,"Joan Thiele (bravissima) è il generico di Levante
#SANREMO2025 
#sanremo 
#Sanremo25",positive
Joan Thiele,2025-02-12 00:43:36,boh io ho tremato durante tutta l’esibizione di joan thiele incredibile vederla lì su quel palco mi sembra di averla cresciuta,positive
Joan Thiele,2025-02-12 00:41:52,Joan Thiele … ECO like it #SANREMO2025 #sanremo25,negative
Joan Thiele,2025-02-12 00:41:23,joan thiele la scoperta x ora,negative
Joan Thiele,2025-02-12 00:39:26,joan thiele sei tu sanremo 2025,positive
Joan Thiele,2025-02-12 00:38:46,joan thiele l’artista che sei solo dall’attacco si capiva che avresti divorato brava cucciola,negative
Joan Thiele,2025-02-12 00:40:14,"Ma dai sta gente non è reale, Joan Thiele è uno dei nomi di Giuntoli storpiati da 
@Bresingar
 e 
@Swaffle_7
#sanremo",negative
Joan Thiele,2025-02-12 00:39:46,"joan thiele sì e ancora sì

 #Sanremo2025",positive
Joan Thiele,2025-02-12 00:38:32,JOAN THIELE I NEVER DOUBTEDDDD,positive
