artist,datetime,content,sentiment
Lucio Corsi,2025-02-12 00:16:12,"Festival di Sanremo 2025, prima serata in diretta: Lucio Corsi, Volevo essere un duro",positive
Lucio Corsi,2025-02-12 00:16:01,LUCIO CORSI TI VOGLIO BENE,positive
Lucio Corsi,2025-02-12 00:24:30,"ascoltate le canzoni di Lucio Corsi perché sono una più bella dell’altra
ciao",positive
Lucio Corsi,2025-02-12 00:21:45,"Per me #Sanremo2025 l’ha vinto Lucio Corsi.
Ogni tanto sbuca dal nulla un artista.
Quasi commovente 
#LucioCorsi 
#Sanremo",positive
Lucio Corsi,2025-02-12 00:41:27,"Joan Thiele, Bresh, Lucio Corsi, Olly: i giovani che mi sono piaciuti (molto).",positive
Lucio Corsi,2025-02-12 00:13:44,"Lucio Corsi 
Adorissimo. Il primo che mi ha emozionato. E che dimostra che ci si può vestire 'stravaganti' anche sapendo cantare.
Quanta forza gentile. #Sanremo2025",positive
Lucio Corsi,2025-02-12 00:12:50,Io voto Lucio Corsi #sanremo2025,positive
Lucio Corsi,2025-02-12 00:12:57,"Lucio Corsi grazianing, zering e pure corsing",negative
Lucio Corsi,2025-02-12 00:26:38,"Brano più bello quello dei Modà

Performance più emozionante quella di Fedez

Testo più Bello quello di Lucio Corsi

#Sanremo2025",positive
Lucio Corsi,2025-02-12 00:59:38,"Seduto al piano con una intro intensa, Lucio Corsi canta un brano autoriale, mostrando tutta la sua capacità da polistrumentista

 #Sanremo2025 #LivioCorsi",negative
Lucio Corsi,2025-02-12 00:40:59,Aggiungo Lucio Corsi #Sanremp2025,positive
Lucio Corsi,2025-02-12 00:29:42,"Nella mia bolla Lucio Corsi ha vinto pure l'Eurofestival

#sanremo2025",positive
Lucio Corsi,2025-02-12 00:21:39,Una vita indecisa tra Lucio Corsi e Bresh,positive
Lucio Corsi,2025-02-12 00:17:18,Bravo Lucio Corsi! Ho trovato la mia gente  #Sanremo2025,positive
Lucio Corsi,2025-02-12 00:21:50,"“Quanto è duro il mondo 
per quelli normali 
che hanno poco amore intorno
o troppo sole negli occhiali…”
Lucio Corsi porta a Sanremo la leggerezza di una farfalla che spiega libera le proprie ali 
#luciocorsi #sanremo2025",positive
Lucio Corsi,2025-02-12 00:59:38,Lucio corsi a #sanremo e’ il figlio di quello dei Kiss?,positive
Lucio Corsi,2025-02-12 00:15:49,"Lucio Corsi, il folletto che ti spiazza con la sua originalità basica. Temi impensati, semplicità disarmata. Un cantautore dei nostri giorni",positive
Lucio Corsi,2025-02-12 00:20:39,Lucio corsi un cucciolo e la canzone davvero bellina #sanremo2025,positive
Lucio Corsi,2025-02-12 00:15:33,"se brunori è mio padre, lucio corsi è mio fratello in cristo. farò sempre il tifo anche per te. quest'anno si va di buon sano cantautorato italiano 
#sanremo2025",positive
Lucio Corsi,2025-02-12 00:13:46,"Lucio Corsi ha portato una canzone bellissima ma voi sarete troppo presi a commentare il suo look.

#Sanremo2025",positive
Lucio Corsi,2025-02-12 00:15:18,"Fun fact: Lucio Corsi ha esordito televisivamente da Daria Bignardi a L’Assedio, prima come ospite, cantando la bellissima ""Come saremo da grandi"", e in seguito nel cast fisso con la sua band.
#tvtalk #Sanremo2025",positive
Lucio Corsi,2025-02-12 00:14:33,lucio corsi you have to stop. your drip too hard. your swag too different. they’re going to kill you.,negative
Lucio Corsi,2025-02-12 00:13:26,Lucio Corsi  #sanremo2025,positive
Lucio Corsi,2025-02-12 00:14:41,lucio corsi nn vedo l'ora di vederti al concerto ad aprile il giorno del mio compleanno ,positive
Lucio Corsi,2025-02-12 00:14:55,"lucio corsi ha fatto una bellissima canzone è una di quelle con un testo immediato, chiaro, bello, che capisco e che ha senso, non le solite boiate che vanno di moda. 
#sanremo2025",positive
Lucio Corsi,2025-02-12 00:13:43,Che bella scoperta Lucio Corsi. #Sanremo2025,positive
