artist,datetime,content,sentiment
Massimo Ranieri,2025-02-11 23:25:30,La canzone di Massimo Ranieri perfetta per le telenovele messicane #Sanremo2025,positive
Massimo Ranieri,2025-02-11 23:40:52," Massimo Ranieri
 Tra le mani un cuore
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",positive
Massimo Ranieri,2025-02-11 23:25:37,"Che gli vuoi dì a Massimo Ranieri? Solo bravo (e bella quella parte col sax!)
 #Sanremo2025",positive
Massimo Ranieri,2025-02-11 23:25:16,massimo ranieri padre. #sanremo2025,positive
Massimo Ranieri,2025-02-11 23:24:31,Massimo Ranieri non si giudica si ringrazia col capo chino #Sanremo2025,negative
Massimo Ranieri,2025-02-11 23:25:09,"Massimo Ranieri non si smentisce mai

Come fa a non sbagliare mezza nota dall'inizio alla fine?

Che dire della penna di Tiziano che si sente tantissimo?
Grandi 
#Sanremo2025",positive
Massimo Ranieri,2025-02-11 23:25:15,"Young Massimo Ranieri è Tom Holland 
#sanremo2025",negative
Massimo Ranieri,2025-02-11 23:40:05,MASSIMO RANIERI PERDONALI XK NN SANNO COSA STANNO FACENDO QUESTI RAGAZZI… GIURO SONO IN IMBARAZZO PER LUI  #sanremo2025,negative
Massimo Ranieri,2025-02-11 23:30:24,madonna quanto cazzo non vedo l'ora di andare al concerto di massimo ranieri,positive
Massimo Ranieri,2025-02-11 23:38:29,"1 Gaia  7
2 Gabbani 6 
3 Rkomi 5
4 Noemi 6
5  Irama 7
6 Coma Cose 6
7  Simone Cristicchi 9
8  Marcella Bella 4
9 Achille Lauro 9
10 Giorgia 10
11 Willie Peyote 5
12 Rose Villan 6
13  Olly 6
14 Elodie 6
15  Shablo feat Guè 6
16  ",positive
Massimo Ranieri,2025-02-11 23:25:58,"La vita intera con il cuore in mare
Il mondo l’ha già fatto a pezzi eppure lì rimane
Proteggilo dal freddo che c’è stato
E troverà la pace dopo quello che ha passato

Massimo Ranieri 

#Sanremo2025",negative
