artist,datetime,content,sentiment
Noemi Sanremo,2025-02-11 21:09:03,shout out allo stilista di noemi!! #Sanremo,positive
Noemi Sanremo,2025-02-11 21:40:04,"Fino ad ora, secondo me, MIGLIOR TORMENTONE ai #comacose e grandi emozioni tra #Irama #SimoneCristicchi e #Noemi!

#sanremo #sanremo25",positive
Noemi Sanremo,2025-02-11 21:07:13,"Noemi
#Sanremo #sanremo25",positive
Noemi Sanremo,2025-02-11 21:09:29,Il la canzone di Noemi l’avrei intitolata SERENAMENTE #noemi #Sanremo,positive
Noemi Sanremo,2025-02-11 21:11:36,"Ma perché la corona da morto a Noemi?
#Sanremo",negative
Noemi Sanremo,2025-02-11 21:33:38,La cantante porta a Sanremo il brano Se ti innamori muori e un look di estrema eleganza,negative
Noemi Sanremo,2025-02-11 21:10:16,Che voce splendida Noemi #sanremo,positive
Noemi Sanremo,2025-02-11 21:17:15,"Noemi 
@noemiofficial
 sul palco del Festival di
Sanremo con il bellissimo brano ""Se t'innamori muori""!
#Noemi #Sanremo #Sanremo2025 #CarloConti #GerryScotti #Ariston 
@SanremoRai
 @RaiUno
@RaiPlay
 @RaiRadio2
 @Raiofficialnews
 @RaiNews
@Radio1Rai
 @Mahmood_Music",positive
Noemi Sanremo,2025-02-11 21:16:25,Piace moltissimo perché è perfetta #Noemi #Sanremo #Sanremo2025,positive
Noemi Sanremo,2025-02-11 21:09:02,"Se ti innamori muori....serenamente. 

#Sanremo2025 #Noemi
#Sanremo #Sanremo25 #Satiremo",positive
Noemi Sanremo,2025-02-11 21:10:32,"Bellissimo pezzo quello cantato da Noemi
#Sanremo #Sanremo2025",positive
Noemi Sanremo,2025-02-11 21:06:04,"Ma è la sosia di #Noemi?

#Sanremo",negative
Noemi Sanremo,2025-02-11 21:06:51,"Che Rita Hayworth vibes stasera Noemi
#Sanremo",positive
Noemi Sanremo,2025-02-11 21:13:38,"Pensati vincitrice

#Sanremo2025 #Noemi
#Sanremo #Sanremo25 #Satiremo",positive
Noemi Sanremo,2025-02-11 21:05:31,che dea noemi #Sanremo,negative
Noemi Sanremo,2025-02-11 21:36:23,"NOEMIIII 
Cosa ha portato noemi !!!#Sanremo",positive
Noemi Sanremo,2025-02-11 21:07:58,CHE BONA NOEMI #Sanremo,positive
Noemi Sanremo,2025-02-11 21:06:07,Che strascico Noemi #Sanremo #Sanremo2025,positive
Noemi Sanremo,2025-02-11 21:46:46,"Noemi
#Sanremo #Sanremo2025 #Noemi",positive
Noemi Sanremo,2025-02-11 21:14:32,"Nel 2018 Noemi era stata vittima di body shaming, capendo quanto le parole possono ferire. Ora scommette sul cambiamento di Tony Effe e rivendica la fragilità di chi si innamora #Sanremo2025",negative
Noemi Sanremo,2025-02-11 21:20:34,Bravo Blanchito! E Mahmood che lo dico a fare #Noemi #Sanremo,positive
Noemi Sanremo,2025-02-11 21:06:14,Noemi omaggia Milva? #noemi #Sanremo,positive
Noemi Sanremo,2025-02-11 21:05:43,"Ma quanto è bona Noemi?
#Sanremo 
#Sanremo2025",negative
Noemi Sanremo,2025-02-11 21:15:27,il pelato sta già provvedendo a fare clip zia lena con la nostra nuova colonna sonora de ti innamori muori noemi sanremo 2025,positive
Noemi Sanremo,2025-02-11 21:06:58,noemi sanremo 2025,positive
Noemi Sanremo,2025-02-11 21:11:06,Veronica Scopelliti LO HAI FATTO DI NUOVO #Noemi #Sanremo #Sanremo2025,positive
Noemi Sanremo,2025-02-11 21:09:03,shout out allo stilista di noemi!! #Sanremo,positive
Noemi Sanremo,2025-02-11 21:40:04,"Fino ad ora, secondo me, MIGLIOR TORMENTONE ai #comacose e grandi emozioni tra #Irama #SimoneCristicchi e #Noemi!

#sanremo #sanremo25",positive
Noemi Sanremo,2025-02-11 21:07:13,"Noemi
#Sanremo #sanremo25",positive
Noemi Sanremo,2025-02-11 21:09:29,Il la canzone di Noemi l’avrei intitolata SERENAMENTE #noemi #Sanremo,positive
Noemi Sanremo,2025-02-11 21:11:36,"Ma perché la corona da morto a Noemi?
#Sanremo",negative
Noemi Sanremo,2025-02-11 21:33:38,La cantante porta a Sanremo il brano Se ti innamori muori e un look di estrema eleganza,negative
Noemi Sanremo,2025-02-11 21:10:16,Che voce splendida Noemi #sanremo,positive
Noemi Sanremo,2025-02-11 21:17:15,"Noemi 
@noemiofficial
 sul palco del Festival di
Sanremo con il bellissimo brano ""Se t'innamori muori""!
#Noemi #Sanremo #Sanremo2025 #CarloConti #GerryScotti #Ariston 
@SanremoRai
 @RaiUno
@RaiPlay
 @RaiRadio2
 @Raiofficialnews
 @RaiNews
@Radio1Rai
 @Mahmood_Music",positive
Noemi Sanremo,2025-02-11 21:16:25,Piace moltissimo perché è perfetta #Noemi #Sanremo #Sanremo2025,positive
Noemi Sanremo,2025-02-11 21:09:02,"Se ti innamori muori....serenamente. 

#Sanremo2025 #Noemi
#Sanremo #Sanremo25 #Satiremo",positive
Noemi Sanremo,2025-02-11 21:10:32,"Bellissimo pezzo quello cantato da Noemi
#Sanremo #Sanremo2025",positive
Noemi Sanremo,2025-02-11 21:06:04,"Ma è la sosia di #Noemi?

#Sanremo",negative
Noemi Sanremo,2025-02-11 21:06:51,"Che Rita Hayworth vibes stasera Noemi
#Sanremo",positive
Noemi Sanremo,2025-02-11 21:13:38,"Pensati vincitrice

#Sanremo2025 #Noemi
#Sanremo #Sanremo25 #Satiremo",positive
Noemi Sanremo,2025-02-11 21:05:31,che dea noemi #Sanremo,negative
Noemi Sanremo,2025-02-11 21:36:23,"NOEMIIII 
Cosa ha portato noemi !!!#Sanremo",positive
Noemi Sanremo,2025-02-11 21:07:58,CHE BONA NOEMI #Sanremo,positive
Noemi Sanremo,2025-02-11 21:06:07,Che strascico Noemi #Sanremo #Sanremo2025,positive
Noemi Sanremo,2025-02-11 21:46:46,"Noemi
#Sanremo #Sanremo2025 #Noemi",positive
Noemi Sanremo,2025-02-11 21:14:32,"Nel 2018 Noemi era stata vittima di body shaming, capendo quanto le parole possono ferire. Ora scommette sul cambiamento di Tony Effe e rivendica la fragilità di chi si innamora #Sanremo2025",negative
Noemi Sanremo,2025-02-11 21:20:34,Bravo Blanchito! E Mahmood che lo dico a fare #Noemi #Sanremo,positive
Noemi Sanremo,2025-02-11 21:06:14,Noemi omaggia Milva? #noemi #Sanremo,positive
Noemi Sanremo,2025-02-11 21:05:43,"Ma quanto è bona Noemi?
#Sanremo 
#Sanremo2025",negative
Noemi Sanremo,2025-02-11 21:15:27,il pelato sta già provvedendo a fare clip zia lena con la nostra nuova colonna sonora de ti innamori muori noemi sanremo 2025,positive
Noemi Sanremo,2025-02-11 21:06:58,noemi sanremo 2025,positive
Noemi Sanremo,2025-02-11 21:11:06,Veronica Scopelliti LO HAI FATTO DI NUOVO #Noemi #Sanremo #Sanremo2025,positive
