artist,datetime,content,sentiment
Olly,2025-02-12 00:26:42,"La canzone di Olly mi piace, non da far vincere, ma è carina #Sanremo2025",positive
Olly,2025-02-12 00:44:37,Goatto Hunt,positive
Olly,2025-02-12 00:25:04,olly palese vincitore  #sanremo2025,positive
Olly,2025-02-12 00:48:31,"#LucioCorsi, #WilliePeyote #Bresh e #Olly grande si
#Brunori benissimo
#Cristicchi da premio della critica
A me i #ComaCose piacciono sempre
Molto sorpreso da #Fedez: bella canzone

#Sanremo2025",positive
Olly,2025-02-12 00:09:40,io sono ferma ancora all’esibizione di olly #sanremo2025,positive
Olly,2025-02-12 00:59:15,"secondo me classifica sala stampa 
-Cristicchi
-Olly
-Giorgia
-Noemi
-???",positive
Olly,2025-02-12 00:24:33,ragazzi scusate sono ferma a olly,positive
Olly,2025-02-12 00:27:53,me voy a liar un piti en honor a olly,negative
Olly,2025-02-12 00:41:13,"io onestamente devo ancora metabolizzare 
olly e bresh 

#Sanremo2025",positive
Olly,2025-02-12 00:33:56,io ferma a olly willie giorgia brunori lucio bresh #Sanremo2025,positive
Olly,2025-02-12 00:25:03,Bersh >>> olly,positive
Olly,2025-02-12 00:57:21,"Chi sarà prima domani sulle piattaforme?
Se la giocano Olly e Fedez?
Tallonati forse da Tony Effe…
Penso anche buoni piazzamenti per le donne #Sanremo2025",positive
Olly,2025-02-12 00:25:22,Se devo prendermi la copia (Bresh) allo stesso prezzo mi prendo l'originale (Olly),positive
Olly,2025-02-12 00:28:44,olly e bresh  #sanremo2025,positive
Olly,2025-02-12 00:26:12,Genova ,positive
Olly,2025-02-12 00:21:58,bresh dando olly che è andato dal logopedista,positive
Olly,2025-02-12 00:24:15,"LA LIGURIA REGALA PRELIBATEZZE TRA BRESH E OLLY NON SAPREI CHI SCEGLIERE
 #sanremo2025",positive
Olly,2025-02-12 00:24:54,"Bresh non mi ha colpito (ma manco Olly che invece qui esaltate), riascolterò, ma per ora dimenticabile.
#Sanremo2025",positive
Olly,2025-02-12 00:34:21,"Canzoni di Corsi molto carina
Fedez... bè non è il mio genere ma la canzone è forte, andrà benissimo. 
Olly, ancora non capisco l'esaltazione generale dei giornalisti",positive
Olly,2025-02-12 00:55:28,"Per me i 5 di stasera sono: Cristicchi, Olly, Giorgia, Achille Lauro e uno che non riesco a decidere tra Brunori e Bresh; io ci vorrei Noemi che per me ha la migliore combo canzone-interpretazione, ma temo non succederà.",positive
Olly,2025-02-12 00:22:58,"bresh si è mangiato olly, irama e achille lauro e punto #sanremo2025",positive
Olly,2025-02-12 00:24:52,"OLLY e BRESH hanno deciso di prendersi per ora il mio podio 
Hanno sfornato MOLTO BENE  #Sanremo2025",positive
Olly,2025-02-12 00:12:41,"ore 00.12 e la mia personalissima top5 è:
1.Olly
2.Clara
3.Giorgia
4.Noemi
5.Elodie
#sanremo2025",positive
Olly,2025-02-12 00:44:05,Questo sarà un olly hate account,negative
Olly,2025-02-12 00:37:37,"che bello quando eravamo 5 scappati di casa ad ascoltare olly
bei tempi non si scordano",positive
Olly,2025-02-12 00:25:15,bresh e olly ,positive
Olly,2025-02-12 00:26:08,bresh e olly i miei cuccioli genovesi #Sanremo2025,positive
Olly,2025-02-12 00:27:47,olly bresh irama achille my fav + bonus Giorgia cristicchi e rkomi io sono semplicemente questa,positive
Olly,2025-02-12 00:48:52,Ci vediamo tra poco al Dopofestival ,positive
Olly,2025-02-12 00:22:17,Bresh > olly #SANREMO2025,positive
Olly,2025-02-12 00:26:25,Tutte ste lodi a olly ma quella di Bresh mille volte più bella #sanremo25,positive
Olly,2025-02-12 00:38:48,olly è tipo il nuovo geolier,positive
Olly,2025-02-12 00:25:35,"Do outro lado da rivalidade lígure, a Sampdoria apoia Olly, um dos favoritos à vitória no sábado.",positive
Olly,2025-02-12 00:12:21,yo con olly,positive
Olly,2025-02-12 00:33:27,"top 5
simone cristicchi
willie peyote
fedez
gaia
olly",positive
Olly,2025-02-12 00:32:20,"Me calculating how many times one Polari album can fit into a 24 hour period 
#ollyalexander #polari 
@alexander_olly",positive
Olly,2025-02-12 00:28:44,Al momento quelle che mi sono rimaste di più Cristicchi brunori Fedez e olly!,positive
Olly,2025-02-12 00:25:33,vedo sarah e poi ciao che la sto aspettando da tutta la sera e non posso crollare ora,positive
Olly,2025-02-12 00:40:07,ora la nuova moda di sto social è odiare Olly,positive
Olly,2025-02-12 00:24:20,olly ci ha offerto il pranzo e bresh la cena #Sanremo2025,positive
Olly,2025-02-12 00:29:54,I can’t believe there’s no golf tomorrow. Idk what to do,negative
Olly,2025-02-12 00:24:45,tutte le mie seguitE su ig a repostare il video di olly è veramente fatta,positive
Olly,2025-02-12 00:48:48,A me già rode il culo perché so già che mi ritroverò questo Olly in top 3 in una classifica dove al massimo come uomo dovrebbe esserci solo Massimo Ranieri che sa cantare veramente,positive
Olly,2025-02-12 00:25:26,Altro che olly.  #Sanremo2025 #sanremo25 #sanremo,positive
Olly,2025-02-12 00:22:38,Bresh >>>>Olly #sanremo2025,positive
Olly,2025-02-12 00:22:11,"Olly è l’unico artista ad aver superato i 2 milioni di visualizzazioni nei reel.

#Sanremo2025",positive
Olly,2025-02-12 00:43:38,"se mai guarderò qualcuno come guardo olly, vi prego tiratemi un paio di schiaffi",positive
Olly,2025-02-12 00:23:29,Questo è olly se non avesse fatto una canzone in cui urla soltanto,positive
Olly,2025-02-12 00:52:09,Hey my dude! I love legion and all the characters. They are super cool and really interesting!,positive
Olly,2025-02-12 00:53:19,"Mia personale top 5º
-Olly
-Fedez
-Simone Cristicchi
-Giorgia
-Achille Lauro 

#sanremo
#sanremo2025",positive
Olly,2025-02-12 00:05:42,"Io che cerco di capire come Olly sia primo nei sondaggi
#Sanremo2025",positive
Olly,2025-02-12 00:51:04,"Devo riascoltarle tutte ma dopo questa prima serata Cristicchi, Giorgia, Irama, Achille Lauro, Brunori Sas, Olly e con grande sorpresa Fedez miei prefe. Meritano una menzione speciale anche Coma_Cose, Willie Peyote, Bresh e Joan Thiele #sanremo25",positive
Olly,2025-02-12 00:22:34,Vorrei assemblare Bresh e Olly con la testa del primo e il corpo del secondo per creare il mio tipo ideale,positive
Olly,2025-02-12 00:23:34,podio olly fedez e bresh è incredibile lo so però è così realmente,positive
Olly,2025-02-12 00:47:38,DIO TI BENEDICA OLLY,positive
Olly,2025-02-12 00:52:21,ora che abbiamo ascoltato tutte le canzoni (i the kolors manco li calcolo) ve lo devo dire che a me va bene se vince olly (è il mio capitano),positive
Olly,2025-02-12 00:50:31,"Necesito reescuchar varias pero me temo que los unicos hits en mi Spotify van a ser Gaia, Fedez, Sarah y Clara. 
Olly quizá me gane con las escuchas porque es la tipica male ballad que debería encantarme #sanremo2025",positive
Olly,2025-02-12 00:57:16,Olly UNCIO VINCITOREE DI SANREMOOOO,positive
Olly,2025-02-12 00:38:54,Ma mi dite che ci trovate in Olly VI PRRGO perché a me sembra solo sporco,positive
Olly,2025-02-12 00:41:27,"Joan Thiele, Bresh, Lucio Corsi, Olly: i giovani che mi sono piaciuti (molto).",positive
Olly,2025-02-12 00:28:28,Lo posso dire? Da Ligure è bello essere rappresentati da Olly e Bresh #Sanremo2025,positive
Olly,2025-02-12 00:27:35,no ragazzi ma bresh ha fatto una canzone stupenda vi prego sono troppo orgogliosa avevo aspettative altissime per lui e olly e hanno tirato fuori due pezzi bellissimi sono contentissima #sanremo2025,positive
Olly,2025-02-12 00:27:01,"Fatemi capire, è Bresh che prende da Olly o Olly che prende da Bresh?",positive
Olly,2025-02-12 00:33:27,OLLY #SANREMO2025,positive
Olly,2025-02-12 00:24:31,a me bresh è piaciuto più di olly,positive
