artist,datetime,content,sentiment
Rkomi,2025-02-11 22:14:56,Rkomi ogni volta che sente TEATRO ARISTON #Sanremo2025 #Sanremo,negative
Rkomi,2025-02-11 22:00:09,"Ma queste parlano italiano meglio di Rkomi, a sto punto fatele partecipare. #Sanremo2025",positive
Rkomi,2025-02-11 22:35:51,oh mio dio le disoccupaters con rkomi,negative
Rkomi,2025-02-11 22:58:26,"my favs so far not really in order but maybe in order: coma cose, rose, gaia, achille, rkomi, willie #sanremo2025",positive
Rkomi,2025-02-11 22:19:22,il ceppo del coronavirus in quello studio con rkomi irama e jovanotti nel backstage,negative
Rkomi,2025-02-11 22:14:50,de momento creo que estoy en los barcos de noemi y rkomi,negative
Rkomi,2025-02-11 22:26:08,"per un attimo ho svisionato un Jovanotti senza camicia alla Rkomi
stavo già per urlare

#Sanremo2025",positive
Rkomi,2025-02-11 22:32:20,"Night 1 running order:

1.Gaia – “Chiamo io chiami tu”
2.Francesco Gabbani – “Viva la vita”
3.Rkomi – “Il ritmo delle cose”
4.Noemi – “Se ti innamori muori”
5.Irama – “Lentamente”
6.Coma_Cose – “Cuoricini”
7.Simone Cristicchi – “Quando sarai piccola”",negative
Rkomi,2025-02-11 22:57:12,INDOVINA CHI HA RKOMI TRA LE RISERVE? MANNAGGIA LA PUTTANA,negative
Rkomi,2025-02-11 22:24:05,"comunque per ora mi piacciono molto quelle di Rkomi e Giorgia, le altre carucce però non so se le riascolterei #Sanremo2025",positive
Rkomi,2025-02-11 22:57:20,Chat what do we do if Rkomi comes last because il ritmo delle cose is a hit  #Sanremo2025,positive
Rkomi,2025-02-11 22:00:59,il video dietro le quinte di rkomi che ascoltava gaia incontato IO C'ERO DAL GIORNO ZERO,negative
Rkomi,2025-02-11 22:08:02,Rkomi: perché? 4 #Sanremo,negative
Rkomi,2025-02-11 22:22:29,"Sanremo 2025, pagelle prima serata. Gaia fascinosa (6,5), Gabbani divino (8). Rkomi a petto nudo (5), Noemi urla (6)
https://msn.com/it-it/tv/other/sanremo-2025-pagelle-prima-serata-gaia-fascinosa-6-5-gabbani-divino-8-rkomi-a-petto-nudo-5-noemi-urla-6/ar-AA1yQxtJ?ocid=spr_trending&businessvertical=News…",positive
Rkomi,2025-02-11 22:35:55,rkomi miao se solo non fossi alto un metro e un tappo,positive
Rkomi,2025-02-11 22:59:57,ah si rkomi conosco #sanremo2025,positive
Rkomi,2025-02-11 22:35:01,"Mi manca Amadeus che faceva balotta con i cantanti in gara, esempio le flessioni con Rkomi  #Sanremo2025",positive
