artist,datetime,content,sentiment
Rocco Hunt,2025-02-12 00:44:57,"Rocco Hunt brings flawless rapper energy to the #Sanremo2025 stage, and I am here for it.",negative
Rocco Hunt,2025-02-12 00:46:02,"Rocco Hunt NO.

non commento altro. 
#SANREMO2025",positive
Rocco Hunt,2025-02-12 00:44:02,Rocco Hunt con la siae di Ana Mena ha estinto due mutui #sanremo2025,positive
Rocco Hunt,2025-02-12 00:45:47,"Up next Rocco Hunt with ""Mille vote ancora"" - third last out the gates tonight. He was the winner of the 2014 Newcomers' section. This grew on me the longer he performed, I can see myself belting this in the car. The mediterranean elements really lift it. #Sanremo2025",positive
Rocco Hunt,2025-02-12 00:44:01,Rocco Hunt vale 850 Luchè,positive
Rocco Hunt,2025-02-12 00:44:52,Rocco Hunt mi ha non ironicamente gasato,negative
Rocco Hunt,2025-02-12 00:44:40,"Rocco Hunt brings us the best rap song of this year's #Sanremo. The music has a really nice flow, and the instrumentation with the guitar being the lead was smartly put together. Rocco's voice works perfectly with it, and he delivers a strong performance. #Sanremo2025",positive
Rocco Hunt,2025-02-12 00:40:52,mi ero dimenticata della presenza di rocco hunt perfetto,positive
Rocco Hunt,2025-02-12 00:45:08,"Rocco Hunt canta ""Mille vote ancora"". Prima o poi una nota la becca.

#Sanremo #sanremo25 #Sanremo2025",positive
Rocco Hunt,2025-02-12 00:45:53,"#SANREMO2025 Rocco Hunt sul palco
Testo: personale e anche un po impegnato, il dialetto ci sta.
Musica: Orecchiabile, sonorità arabeggianti e tipiche delle sue zone.
Non mi entusiasma ma sicuramente meglia di altra robaccia tutta uguale che abbiamo sentito",positive
Rocco Hunt,2025-02-12 00:46:18,Rocco Hunt is another of my favourites so far. Some dramatic Godfather vibes in between . Love the pace. #SanRemo #Eurovision,positive
Rocco Hunt,2025-02-12 00:43:03,rocco hunt dovevi portare ana mena,positive
Rocco Hunt,2025-02-12 00:44:51,"Rocco Hunt ha roccohuntato, ma poteva andare peggio",positive
Rocco Hunt,2025-02-12 00:44:01,"Rocco Hunt te fa rimpiange Geolier

#Sanremo2025",positive
Rocco Hunt,2025-02-12 00:43:54,Rocco Hunt sembra sempre un quindicenne con la barba disegnata,positive
Rocco Hunt,2025-02-12 00:46:14,"Rocco Hunt demasiado sanremizado, caris. Ni fu ni fa. #Sanremo2025",positive
Rocco Hunt,2025-02-12 00:43:51,"Vi è piaciuta l'esibizione di Rocco Hunt con 
'Mille vote ancora' #SANREMO2025 #sanremo #sanremo25 #roccohunt 
@RoccoHunt",negative
Rocco Hunt,2025-02-12 00:45:33,"Rocco Hunt può vincere 
 #Sanremo2025",positive
Rocco Hunt,2025-02-12 00:44:26,Rocco Hunt mi ha dato la forza di spegnere la tv #Sanremo2025,positive
Rocco Hunt,2025-02-12 00:47:00,"Rocco Hunt dignitoso ma senza la forza prorompente di Geolier, a tratti mi è piaciucchiato ma puntare su questa ricetta un anno dopo I p' me tu p' te mi sembra davvero un po' un low hanging fruit. Performance un po' sbavata e c'è da capire quanto possa mobilitare #Sanremo2025",positive
Rocco Hunt,2025-02-12 00:44:16,"ROCCO HUNT:
CANZONE:7/10
OUTFIT:10.
#SANREMO2025",positive
Rocco Hunt,2025-02-12 00:44:09,La canzone di Rocco Hunt mi spiace ma è totalmente incomprensibile e lo dico da meridionale che guarda Un posto al sole ogni sera da quasi trent'anni #Sanremo2025,positive
Rocco Hunt,2025-02-12 00:43:38,"Rocco Hunt è la punizione per non aver fatto vincere Geolier l'anno scorso.
[
@ibico75
]
#Sanremo2025",negative
Rocco Hunt,2025-02-12 00:44:08,"Almeno Rocco Hunt non si è presentato con una canzone lagna fintamente ripulito, anzi la canzone è pure carina #sanremo2025",positive
Rocco Hunt,2025-02-12 00:45:42,Sto cercando di comprendere il collegamento tra la Salerno di Rocco Hunt descritta come Kabul e il fatto che voglia scopare,positive
Rocco Hunt,2025-02-12 00:44:56,Finally home so I can dance to Rocco Hunt #Sanremo2025,positive
Rocco Hunt,2025-02-12 00:42:07,Devo confessare una cosa: alle superiori andavo pazzo per Rocco Hunt,positive
Rocco Hunt,2025-02-12 00:45:19,Dopo aver ascoltato Rocco Hunt sto rivalutando Geolier,positive
Rocco Hunt,2025-02-12 00:46:00,"Canta Rocco Hunt e ti aspetti che Geolier dietro le quinte, con mezza maschera bianca sul viso, urli "" Sing! Sing for me, my uagliò!""",positive
Rocco Hunt,2025-02-12 00:44:41,Rocco Hunt,positive
Rocco Hunt,2025-02-12 00:43:32,"#Sanremo2025 #eurovision

Mai avrei pensato di approvare Rocco Hunt.

E invece... oggi promosso.",positive
Rocco Hunt,2025-02-12 00:43:49,odio napoli dai su rocco hunt levati dalla minchia che gli avete regalato lo scudetto ai figli di buttana,positive
Rocco Hunt,2025-02-12 00:43:43,Rocco Hunt se non nomina il caffè il mare la mamma e i vicoli non è lui… banale,negative
