artist,datetime,content,sentiment
Rose Villain,2025-02-11 22:26:45, 12 / Rose Villain - “Fuorilegge” #SanRemo2025,negative
Rose Villain,2025-02-11 22:41:38,"Non mi frega nulla di Sanremo e quindi sparirò nuovamente subito, ma è giusto farvi presente una cosa.

Rose Villain non è tutto sto gran femminone che credete.
Buon proseguimento",negative
Rose Villain,2025-02-11 22:20:53,Rose Villain and Gaia #Sanremo2025,positive
Rose Villain,2025-02-11 22:44:05,"Waiting for the rest of the songs, Giorgia so far the strongest entry and Rose Villain could/should be considered a contender. 
Both could do well Eurovision-wise but not a Top-3/5 entry so far...

#Sanremo2025 #Sanremo #Eurovision2025",positive
Rose Villain,2025-02-11 22:26:31,rose villain slayed actually,positive
Rose Villain,2025-02-11 22:23:21,Rose Villain ci ha dato l’ennesima hit. Sorpresa? No assolutamente. Promossa a pienissimi voti #Sanremo2025 https://x.com/rgzzoansioso/status/1889423589163556905/video/1…,negative
Rose Villain,2025-02-11 22:20:05,"SI NA PRET ha urlato l'Ariston.. giustamente!!!!
Io che vorrei rinascere Rose Villain  ma purtroppo non succederà 
#Sanremo2025 ",negative
Rose Villain,2025-02-11 22:19:15,raga rose villain talmente potente che appena ha smesso di cantare è saltata rai1,positive
Rose Villain,2025-02-11 22:42:42,"Sia con noemi e con Giorgia abbiamo pensato a Zeudi di Palma per la canzone

Con Rose villain abbiamo pensato a Zeudi per la porcaggine

Son fatte così le forcie

#zeudiners #zelena",positive
Rose Villain,2025-02-11 22:28:10,I think Rose Villain might be my favourite so far!!! #Sanremo2025,negative
Rose Villain,2025-02-11 22:20:39,"Rose Villain ha detto da vera fuorilegge vi servo TUTTO 

#Sanremo2025

https://x.com/rgzzoansioso/status/1889423589163556905/video/1…",negative
Rose Villain,2025-02-11 22:21:14,Le canzoni di Rose Villain quando inizia il ritornello #Sanremo2025,positive
Rose Villain,2025-02-11 22:38:34,Mi sono perso Rose Villain,positive
Rose Villain,2025-02-11 22:29:58,rose villain calpestami e fai di me ciò che vuoi ti supplico ,negative
Rose Villain,2025-02-11 22:22:23,rose villain per me è un grande si,negative
Rose Villain,2025-02-11 22:31:47,Rose Villain,positive
Rose Villain,2025-02-11 22:25:52,Rose Villain in Fendi (un po’ modificato) #Sanremo2025,negative
Rose Villain,2025-02-11 22:24:44,"Top 3 so far:
1. Willie Peyote
2. Simone Christicchi
3. Rose Villain",positive
Rose Villain,2025-02-11 22:51:49,Rose Villain tanta roba in tutti i sensi,positive
Rose Villain,2025-02-11 22:21:46,"Rose Villain - Fuorilegge

Ma che è questo? WOW. 
Mi è piaciuto un sacco questa canzone.
Lo sto ancora assimilando.

#Sanremo2025",positive
Rose Villain,2025-02-11 22:30:22,Rose Villain you did that,negative
Rose Villain,2025-02-11 22:25:44,quel “si na pret” a rose villain in realtà lo ha urlato zeudi di palma dalla casa del grande fratello lo sappiamo tutti,negative
Rose Villain,2025-02-11 22:21:33,"All'apparizione di Rose Villain 
@Il__Boccia
 ha abbassato l'audio e si è messo comodo sul divano",positive
Rose Villain,2025-02-11 22:28:12,Zeudi ora starebbe impazzendo per Rose villain,positive
Rose Villain,2025-02-11 22:56:39,"Comunque al momento mia top 3:
1. Giorgia
2. Simone Cristicchi
3. Rose Villain 

Premio hit a Gaia e Coma Cose.",positive
