artist,datetime,content,sentiment
Sarah Toscano,2025-02-12 00:45:15,"@ sarah toscano
#Sanremo2025",negative
Sarah Toscano,2025-02-12 00:34:21,SARAH TOSCANO PAZZESCA LA DIVA SEI  #sanremo2025,positive
Sarah Toscano,2025-02-12 00:35:26,"sarà il primo ascolto o colpa degli stessi autori ma sarah toscano, elodie, clara nella mia testa sono tutte con lo stesso sound, ci mancava solo annalisa #Sanremo2025",negative
Sarah Toscano,2025-02-12 00:33:58,Sarah Toscano autoscontro giostre tagadà #sanremo2025,positive
Sarah Toscano,2025-02-12 00:32:57,"PORCO GIUDA SARAH TOSCANO DKCKSKFKSKGKSKDKWK STO TREMANDO ANCHE QUEST’ANNO LE DONNE SONO SUPERIORI
#Sanremo2025",negative
Sarah Toscano,2025-02-12 00:42:26, שרה׳לה התבלבלה? הזמרת בת ה-19 Sarah Toscano מבצעת את השיר ״Amarcord” בפסטיבל סנרמו - ונראה שהיא חושבת שהיא מתמודדת דווקא על ייצוג אסטוניה ,negative
Sarah Toscano,2025-02-12 00:50:20,sarah toscano joan thiele e francesca michielin dopo aver alzato la media dei miei voti per la serata di 2 in quindici minuti #Sanremo2025,positive
Sarah Toscano,2025-02-12 00:39:39,"sarah toscano ha droppato la hit di sanremo 2025 addio 

#Sanremo2025",positive
Sarah Toscano,2025-02-12 00:32:37,"CHE BOMBA HA SGANCIATO SARAH TOSCANO

#Sanremo2025",negative
Sarah Toscano,2025-02-12 00:42:13,"e ci aggiungo Sarah Toscano aka Kabasele

#SANREMO2025",negative
Sarah Toscano,2025-02-12 00:35:21,MIO DIO COSA HA CUCINATO SARAH TOSCANO SONO COSÌ ORGOGLIOSA,positive
Sarah Toscano,2025-02-12 00:37:44,SARAH TOSCANO HAI CACCIATO FUORI UN TORMENTONE POP MICIDIALE. DAI CHE LA TOP 20 É TUA CUCCIOLA #Sanremo2025,positive
Sarah Toscano,2025-02-12 00:32:37,sarah toscano stai cucciolando (hai cantato male ma la canzone non è male),negative
Sarah Toscano,2025-02-12 00:31:50,SARAH TOSCANO BOP,positive
Sarah Toscano,2025-02-12 00:34:57,BELLISSIKA SARAH TOSCANO TI AMO VOTO DIESCIII,positive
Sarah Toscano,2025-02-12 00:33:26,SARAH TOSCANO HA FATTO IL BOPPONE BRAVISSIMA AMORE SEI LA POP STAR SONO FIERO DI TE #Sanremo2025,positive
Sarah Toscano,2025-02-12 00:37:58,"intonazione, presenza scenica, sicurezza, la canzone, l’esibizione, le movenze, appena maggiorenne

SONO SCIOCCATO SARAH TOSCANO

#Sanremo2025",negative
Sarah Toscano,2025-02-12 00:38:46, 25 / Sarah Toscano - “Amarcord” #SanRemo2025,negative
Sarah Toscano,2025-02-12 00:34:59,"Sarah Toscano fue a la Ana Mena school de no abrir los ojos al cantar.
Dicho eso, menudo BOP",positive
Sarah Toscano,2025-02-12 00:34:42,"Sarah Toscano ha divorato 

#sanremo2025",negative
Sarah Toscano,2025-02-12 00:36:03,#Sanremo2025 posso dire però Sarah Toscano che coraggio. Il brano è difficile e secondo me ha cantato bene.,positive
