artist,datetime,content,sentiment
Serena Brancale,2025-02-11 23:44:51,Sarà la canzone dell'estate questa di Serena Brancale #Sanremo2025,positive
Serena Brancale,2025-02-11 23:45:33,serena brancale non conoscevo il tuo gioco ma potrei essere ossessionato #sanremo2025,positive
Serena Brancale,2025-02-11 23:45:48,SERENA BRANCALE HAI RISVEGLIATO L’INTERO TEATRO ARISTON FINALMENTE,positive
Serena Brancale,2025-02-11 23:47:48,il boppone pazzesco di serena brancale #Sanremo2025,positive
Serena Brancale,2025-02-11 23:51:06,"Serena Brancale ha proprio detto ""Forza Bari! Forza Puglia!""

#sanremo2025",positive
Serena Brancale,2025-02-11 23:48:48,Serena brancale vuoi essere la mia fidanzata?,negative
Serena Brancale,2025-02-11 23:51:25,serena brancale ,positive
Serena Brancale,2025-02-11 23:46:31,"+++ TRUMP PROPONE I DAZI SU SERENA BRANCALE +++

#Sanremo #sanremo25 #Sanremo2025",positive
Serena Brancale,2025-02-11 23:49:59,serena brancale portaci la niña e cantate anema e core x guapparia DAI DAI,positive
Serena Brancale,2025-02-11 23:55:58,serena brancale representing bari all’eurovision.. un sogno,positive
Serena Brancale,2025-02-11 23:48:46,Serena Brancale un senso del ritmo fuori da ogni grazia di Dio. Mi è piaciuta tanto. #Sanemo2025,positive
Serena Brancale,2025-02-11 23:50:43,"VI PREGO È LETTERALMENTE SERENA BRANCALE 
#Sanremo2025",positive
Serena Brancale,2025-02-11 23:46:28,"Serena Brancale bravissima, teatrale.

#Sanremo2025",positive
Serena Brancale,2025-02-11 23:46:40,"[ #Sanremo2025 - 1e soirée]

Vibe carioca : voilà le terme que je cherchais pour évoquer cette proposition surprenante et pleine de charme. Ici, on fond en tout cas pour la chanson de Serena Brancale ! ",positive
Serena Brancale,2025-02-11 23:44:30,"Arriva Serena Brancale a svegliarci tutti

#sanremo2025",positive
Serena Brancale,2025-02-11 23:46:17,il boppone di serena brancale VIVA BARI !!!! #Sanremo2025,positive
Serena Brancale,2025-02-11 23:46:28,SERENA BRANCALE INASPETTATISSIMO MI PIACE IL BOPPONE #Sanremo2025,positive
Serena Brancale,2025-02-11 23:53:24," Serena Brancale
 Anema e core
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",positive
Serena Brancale,2025-02-11 23:49:17,"[Scusate, non me ne intendo di strumentazioni moderne]
Ho rialzato lo sguardo direttamente sull'inquadratura a mezzobusto di Serena Brancale e con quell'aggeggio davanti ho pensato stesse facendo l'ellittica in palestra",positive
Serena Brancale,2025-02-11 23:46:06,serena brancale quota folkloristica di questo festival noi terroni ti abbiamo capita ,positive
Serena Brancale,2025-02-11 23:47:24,serena brancale facimm sti punt okkay?,positive
Serena Brancale,2025-02-11 23:45:51,"SEI LA PUGLIA SERENA BRANCALE TI AMO !!!!! CAPITANA 
#sanremo2025",positive
