artist,datetime,content,sentiment
Tony Effe,2025-02-12 00:18:25,bello il pezzo di fedez sicuramente meglio di quello di tony effe,positive
Tony Effe,2025-02-12 00:16:49,Posso dire? Fedez almeno sta facendo Fedez e non finge di essere altro come Tony Effe. Io apprezzo. #Sanremo2025,positive
Tony Effe,2025-02-12 00:22:00,"Riassunto Sanremo 2025: Olly, Tony Effe e Bresh. Passo e chiudo. #sanremo25",positive
Tony Effe,2025-02-12 00:20:49,Possiamo però dire che la canzone di Fedez >>>>>>>>>> la canzone di Tony effe o ci sono ancora in giro le bimbe della ferragny? #Sanremo2025,positive
Tony Effe,2025-02-12 00:37:40,"Comunque la figuraccia di Tony Effe di questa sera riabilita il tanto bistrattato Aiello

#sanremo2025",positive
Tony Effe,2025-02-12 00:47:58,"Ascoltato altre otto canzoni.
Gaia: no
Achille Lauro: bel testo.
Rose Villain: no.
Elodie: carina.
Cristicchi: capolavoro.
Giorgia: bellissima (amo la sua voce)
Tony Effe: bravino
Fedez: no",positive
Tony Effe,2025-02-12 00:30:05,"Sanremo 2025: i momenti top e trash della prima serata, dalla ""petra"" Rose Villain a Jovanotti inseguito dalla sciuria passando per la richiesta di Tony Effe.
Il Festival parte col botto.

#Coma_cose #jovanotti #massimoranieri #RoseVillain",positive
Tony Effe,2025-02-12 00:16:32,"Fedez concentrándose para no insultar a Achille Lauro y Tony Effe en directo.

#Sanrem2025",negative
Tony Effe,2025-02-12 00:51:41,"1. Joan Thiele
2. Serena Brancale
3. Lucio Corsi
4. Tony Effe
5. Francesca Michielin o The Kolors

e quasi tutti gli altri 
Altissimo livello 
#Sanremo2025",positive
Tony Effe,2025-02-12 00:44:54,Pure la canzone di Rocco hunt è più bella di quella di Tony effe #Sanremo2025,positive
Tony Effe,2025-02-12 00:17:14,Cioè Fedez ha superato totalmente Tony effe stasera come canzone  #Sanremo2025,positive
Tony Effe,2025-02-12 00:59:03,"Che poi alla fine anche Stash è un Tony Effe, Antonio Fiordispino

#Sanremo2025",positive
Tony Effe,2025-02-12 00:02:38,ho sentito dieci secondi della canzone di tony effe da un mini video di instagram e vorrei fare il cosplay di van gogh,positive
Tony Effe,2025-02-12 00:14:38,"Secondo voi è casuale il bianco di Tony Effe e il nero di Fedez?

#Sanremo2025
#Sanremo25",positive
Tony Effe,2025-02-12 00:12:15,fedez e tony effe nel backstage #Sanremo2025,positive
Tony Effe,2025-02-12 00:24:52,Posso dire che finora la canzone più brutta nettamente quella di tony effe? #Sanremo2025,positive
Tony Effe,2025-02-12 00:45:26,Pazzesco Tony Effe: spariti tutti i suoi tatuaggi a Sanremo! La mossa inaspettata spiazza in diretta tv,positive
Tony Effe,2025-02-12 00:18:42,possiamo dire che fedez ha battuto tony effe a sanremo,positive
Tony Effe,2025-02-12 00:31:06,"Simone Cristicchi - Fedez- Olly- Tony Effe - Brunori Sas

La mia TOP 5 per il momento. #sanremo2025",positive
