artist,datetime,content,sentiment
Willie Peyote,2025-02-11 22:35:34,percepitemi così ma con mirkomi e willie peyote #Sanremo2025,negative
Willie Peyote,2025-02-11 22:36:51,Willie Peyote deve sbattermi in faccia il cazzo non so se avete capito il concetto spero sia chiaro,negative
Willie Peyote,2025-02-11 22:18:14,"""C’è chi dice non si può più dire niente, poi invece parla sempre, almeno sii coerente. Almeno per stavolta che c’è chi ancora ti da corda""

Che pezzone di Willie Peyote 
#Sanremo2025",negative
Willie Peyote,2025-02-11 22:52:37,Willie Peyote è un uomo fascinoso,positive
Willie Peyote,2025-02-11 22:21:39,Se non altro Willie Peyote ci ha droppato una base meme che tornerà molto utile in futuro #Sanremo2025,positive
Willie Peyote,2025-02-11 22:18:10,"Grande 
@willie_peyote
 !! Al top ! Vero cuore granata… un CAIRO VATTENE ci stava …",negative
Willie Peyote,2025-02-11 22:21:31," @willie_peyote
 canta per la prima volta ""Grazie ma no grazie"" sul palco del Festival di 
@SanremoRai
Tra poco nel backstage di #RaiRadio2 a #Sanremo2025 
In streaming su 
@RaiPlay
  http://bit.ly/GuardaCheRadio",negative
Willie Peyote,2025-02-11 22:15:09,Willie Peyote irrilevante. #Sanremo2025,positive
Willie Peyote,2025-02-11 22:24:44,"Top 3 so far:
1. Willie Peyote
2. Simone Christicchi
3. Rose Villain",negative
Willie Peyote,2025-02-11 22:19:21,"Fino a ora mi sono piaciuti Simone Cristicchi e Willie Peyote. Ce l'ho con i Coma Cose che ormai hanno assaporato i soldi e smesso di scrivere 

#Sanremo2025",positive
Willie Peyote,2025-02-11 22:15:23,canzone willie peyote #Sanremo2025,positive
Willie Peyote,2025-02-11 22:17:49,"Frank Gramuglia con la canzone di Willie Peyote tirerà fuori un post tipo “ti invito ad una call alle 18, ci sei vero?”

Grazie ma no grazie.",positive
Willie Peyote,2025-02-11 22:15:01,"de momento 

1. lauro
2. willie peyote
3. manolete
4. coma tosos
5. gaia
6. marcella
7. noemi
8. paco
9. irama
10. cristicchi
11. giorgia",negative
Willie Peyote,2025-02-11 22:14:48,"""E quanto va di moda il vittimismo di chi attacca ma dice che si difende
C’è chi dice non si può più dire niente, poi invece parla sempre, almeno sii coerente
Almeno per stavolta che c’è chi ancora ti da corda"".

Semplicemente Willie Peyote 

#Sanremo2025",positive
Willie Peyote,2025-02-11 22:52:45,kot moich sąsiadek robiący sobie spacer po klatce w czasie występu willie peyote #Sanremo2025,positive
Willie Peyote,2025-02-11 22:16:28,"Song number 
Willie Peyote - Grazie Ma No Grazie

 I am really sorry, I really wanted to like this but I found it too forgettable and not exciting even if the song was the fastest paced so far in the competition.

#Sanremo #sanremo25 #Sanremo2025",negative
Willie Peyote,2025-02-11 22:24:22,"pt 3 giudizi:
- giorgia le hanno messo tulle avanzato addosso, canzone pazzeska
- willie peyote ""ci hai provato tante volte come i galisse"" è la frase che mi è rimasta più impressa 
- rose villian bellissima mi ricorda un cartone mi piace molto la vibe, una certezza
#sanremo2025",positive
Willie Peyote,2025-02-11 22:48:42,"Ultimi 20 minuti trascorsi con l'ormone a palla a decantare le lodi di Willie Peyote al mio ragazzo per poi finire poco elegantemente a proporgli prima un threesome e poi di lasciarci per diventare una sua groupie

#Sanremo2025 #sanremo #sanremo25",positive
Willie Peyote,2025-02-11 22:13:53,"carlo conti: questo festival non sarà politico

willie peyote: 
Dovresti andare a lavorare e non farti manganellare nelle piazze
Questa gente non fa un cazzo li mantengo tutti io con le mie tasse

#Sanremo2025",positive
Willie Peyote,2025-02-11 22:12:48,"""Potremmo organizzare una rimpatriata, tipo una cena di classe!""
""Grazie, ma no grazie!""
Willie Peyote mio spirito guida.
#WillePeyote
#Sanremo2025",positive
Willie Peyote,2025-02-11 22:13:56,"Willie Peyote ha detto ""No grazie"" anche alla sarta Rai che voleva fargli l'orlo dei pantaloni.
[
@Il_Brillante
]",positive
Willie Peyote,2025-02-11 22:18:24, 11 / Willie Peyote - “Grazie Ma No Grazie” #SanRemo2025,negative
Willie Peyote,2025-02-11 22:21:55,"Willie Peyote
#Sanremo2025",negative
Willie Peyote,2025-02-11 22:19:48,"actualizamos en el 15º parón de anuncios:

1. coma_cose
2. achille lauro
3. willie peyote
4. marcela bella
5. rkomi
6. rose villain
7. simone christicchi
8. noemi
9. gabbani
10. gaia
11. irama
12. giorgia",negative
Willie Peyote,2025-02-11 22:19:04,"Willie Peyote - ""Grazie ma no grazie""
#Sanremo #Sanremo2025 #sanremo25 #Eurovision",negative
Willie Peyote,2025-02-11 22:24:22,willie peyote mio nuovo spirito guida: #Sanremo2025,positive
Willie Peyote,2025-02-11 22:27:42,"Per ora

1. Cristicchi
2. Willie Peyote
3. Gaia/Rkomi

#Sanremo2025",positive
Willie Peyote,2025-02-11 22:35:35,"Le mie prime impressioni essere tipo:
Willie Peyote 
...
...
...
Tutti gli altri 
 #Sanremo2025",negative
Willie Peyote,2025-02-11 22:16:47,willie peyote,negative
Willie Peyote,2025-02-11 22:23:55,Willie Peyote fino ad ora la cosa meno democristiana di questo #Sanremo2025 (ti amo Guglielmo),positive
Willie Peyote,2025-02-11 22:16:50,"comunque non c'è ghali è vero, ma abbiamo willie peyote quest'anno e non mi ha deluso neanche questa volta
#Sanremo2025",positive
Willie Peyote,2025-02-11 22:45:07,pues otra canción de willie peyote para la playlist parece ser,positive
Willie Peyote,2025-02-11 22:53:29,"Willie #Peyote porta la prima canzone politica di questo #Sanremo2025 

E’ anche una bella canzone, che per ritmo e genere riesce a non sfigurare dopo l’esibizione di Giorgia

#Sanremo",positive
Willie Peyote,2025-02-11 22:48:44,"mentre Carlo Conti non voleva canzoni che parlassero di politica, Willie Peyote ha fottuto il sistema #Sanremo2025",negative
Willie Peyote,2025-02-11 22:14:28,"Quando morirà Willie Peyote, a Studio Aperto diranno ""ringraziava sempre"".

#GrazieMaNoGrazie

#Sanremo #sanremo25 #Sanremo2025",negative
Willie Peyote,2025-02-11 22:13:25,"Mi aspettavo molto peggio da Willie Peyote. Buona canzone sorprendente. Certo, sembra uno scarto dell'album ""Comunisti col Rolex"" mai uscito

#Sanremo2025 #SanremoRai #FestivalDiSanremo",negative
Willie Peyote,2025-02-11 22:37:59,"io ho i miei prefe dopo questi primi ascolti: coma_cose, gaia, willie peyote e rose",positive
Willie Peyote,2025-02-11 22:28:31,"Se Jovanotti si avvicinasse a me per un abbraccio gli citerei la canzone di Willie Peyote: ""Grazie, ma no, grazie"" #Sanremo2025",positive
Willie Peyote,2025-02-11 22:34:23,"Willie Peyote e Luca Ravenna grazie di esistere
#Sanremo2025",positive
Willie Peyote,2025-02-11 22:14:16,WILLIE PEYOTE,positive
Willie Peyote,2025-02-11 22:37:44,"""Dovresti andare a lavorare e non farti manganellare nelle piazze
Grazie ma no grazie
Questa gente non fa un cazzo li mantengo tutti io con le mie tasse
Grazie ma no grazie""

Willie Peyote mio padre

#Sanremo2025",negative
Willie Peyote,2025-02-11 22:13:50,DUE papà sul palco !!! (luca ravenna e willie peyote),negative
Willie Peyote,2025-02-11 22:23:45,i fegati delle guardie dopo la canzone di willie peyote #Sanremo2025,positive
Willie Peyote,2025-02-11 22:26:12,comunque x ora mio preferito willie peyote,negative
Willie Peyote,2025-02-11 22:27:04,"Willie Peyote l’unico a portate i Jalisse sul palco di sanremo comunque
 #Sanremo2025",positive
Willie Peyote,2025-02-11 22:13:55,non mi interessa se arriverà 25esimo per me la canzone di willie peyote BOPPONE #Sanremo2025,positive
Willie Peyote,2025-02-11 22:59:57,"Direi che sappiamo per chi tifare a #Sanremo2025 

  
@willie_peyote",negative
Willie Peyote,2025-02-11 22:14:15,Willie Peyote veramente troppo torinese (derogatory) #sanremo25,negative
Willie Peyote,2025-02-11 22:30:39,Avete mai visto Willie Peyote e Jack Antonoff nella stessa stanza? #Sanremo2025,positive
Willie Peyote,2025-02-11 22:18:12," Willie Peyote
 Grazie ma no grazie
L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",negative
Willie Peyote,2025-02-11 22:39:46,"Allora finora sto ADORANDO:

- Willie Peyote
- Rose Villain
- Coma Cose
- Achille Lauro

Cioè sto proprio in fissa

#Sanremo2025",positive
Willie Peyote,2025-02-11 22:25:12,"Willie Peyote ha padrato. 
Il turno guardia scantinato passa ufficialmente a lui.#Sanremo2025",positive
Willie Peyote,2025-02-11 22:20:52,"#Sanremo2025, rivedi l'esibizione di Willie Peyote – Grazie ma no grazie",negative
Willie Peyote,2025-02-11 22:28:37,"Willie Peyote che aggiunge “Matteo no ma no grazie” dopo la foto pubblicata da Salvin1  con chi ha ucciso migliaia di persone 

Mi inchino a te Willie 

#Sanremo2025",positive
Willie Peyote,2025-02-11 22:19:05,willie peyote ha riassunto quello che è successo 5 minuti prima della sua esibizione  #Sanremo2025,positive
Willie Peyote,2025-02-11 22:34:59,mio prefe per ora willie peyote ICONICO #Sanremo2025,negative
Willie Peyote,2025-02-11 22:13:52,la canzone di willie peyote #Sanremo2025,positive
Willie Peyote,2025-02-11 22:27:59,Fino a mo l'unico che non m'ha fatto cacare è stato Willie peyote,positive
Willie Peyote,2025-02-11 22:15:54,Conti diceva no Politica a Sanremo ma a me sembra che Willie Peyote due tre Mine al governo le ha mandate  #Sanremo2025,positive
Willie Peyote,2025-02-11 22:43:45,Willie Peyote il mio Dio avrebbe dovuto pisciarmi in bocca non sul palco dell’Ariston,positive
Willie Peyote,2025-02-11 22:20:41,"Willie peyote mia canzone preferita fin’ora, ha spaccato #Sanremo2025",positive
Willie Peyote,2025-02-11 22:14:57,"Madonna, Willie Peyote, che ricordi...quella volta che pensavo fosse un nome di fantasia,  un alter ego di Morgan e i suoi sostenitori me volevano mená qui su X, lo so, non si capisce nulla di quel che ho scritto ma me so capita io e forse 
@Uther_Pendrqgon
 che m'ha difeso.",negative
Willie Peyote,2025-02-11 22:22:08,Pues por fin algo más movidito. Se agradece y además la instrumental es muy chula. Me esperaba menos de Willie Peyote y es de los que más me ha gustado #Sanremo2025 ,negative
Willie Peyote,2025-02-11 22:14:42,willie peyote temazo tras temazo y también estoy libre todos los días de la semana,positive
Willie Peyote,2025-02-11 22:14:42,"Willie Peyote è un GRANDE si.

#Sanremo2025",negative
Willie Peyote,2025-02-11 22:15:55,"Ma quella che canta con 
@willie_peyote
a #Sanremo2025 è Tahnee Rodriguez  
@welikeduel",positive
Willie Peyote,2025-02-11 22:17:27,Willie Peyote ha servito Pedro Pascal realness. cose sono state provate,negative
Willie Peyote,2025-02-11 22:32:00,no hace falta que insultéis así a willie peyote,negative
Willie Peyote,2025-02-11 22:36:46,streammerò solo la canzone di noemi e willie peyote i fear,negative
Willie Peyote,2025-02-11 22:13:43,WILLIE PEYOTE SERVICIO,positive
Willie Peyote,2025-02-11 22:13:48,willie peyote oltre ad essere un grandissimo bono ha pure un testo con i contro cazzi,positive
Willie Peyote,2025-02-11 22:19:33,"Willie peyote divertente, Rose Villain mi piace sempre e il Real ancora non riesce a pareggiare. Avanti con questa serata mega impegnativa #Sanremo2025 #ManchesterCityRealMadrid",negative
Willie Peyote,2025-02-11 22:14:09,willie peyote quando gli hanno detto di scrivere una canzone con un testo tranquillo (padre) #Sanremo2025,negative
Willie Peyote,2025-02-11 22:51:01,Unici pezzi decenti finora quello dei Coma_Cose e quello di Willie Peyote,negative
Willie Peyote,2025-02-11 22:21:48,"All the acts before the adbreak ranked #3

1. Rose Villain(?)
2. Willie Peyote (?)
3. Giorgia

Moral of this story: Don't champion someone you once loved and thought of your biggest discovery as. 
#sanremo2025",negative
Willie Peyote,2025-02-11 22:55:19,A me però il pezzo di Willie Peyote piace,positive
Willie Peyote,2025-02-11 22:46:19,"Comunque per ora il mio preferito Willie Peyote, bellissima la canzone #Sanremo2025",negative
Willie Peyote,2025-02-11 22:25:45,quel cazzo di ritornello di willie peyote mi perseguiterà tutta la settimana rcodio già lo so anche quando vorrò dire si dirò grazie ma no grazie per non perdere il mood,positive
Willie Peyote,2025-02-11 22:13:51,"Willie Peyote praticamente ha fatto Salirò di Daniele Silvestri riadattata al 2025

#Sanremo2025",negative
Willie Peyote,2025-02-11 22:20:42,vi vedo che scrivete i thrist tweet su willie peyote…..dov’eravate nel 2021,negative
Willie Peyote,2025-02-11 22:18:14,"Grazie ma no grazie. Ho il mio preferito 
@willie_peyote
 #Sanremo2025",positive
Willie Peyote,2025-02-11 22:30:35,willie peyote con la canzone più figa e fa salire luca ravenna tra i coristi IL MIO UOMO,positive
Willie Peyote,2025-02-11 22:16:14,comunque fino ad ora cagate cagate cristicchi cagate willie peyote giorgia e cagate ancora,positive
Willie Peyote,2025-02-11 22:26:06,"La comparsata di Luca Ravenna tra i coristi durante l'esibizione di Willie Peyote è un momento iconico per persone irritanti (me)

#Sanremo2025",positive
Willie Peyote,2025-02-11 22:58:22,"Nel videoclip di Willie Peyote ci saranno ospiti due artisti, due eroi del tentativo di entrare a Sanremo, i Jalisse #Sanremo2025",negative
