artist,datetime,content,sentiment
Brunori Sas,2025-02-14 23:43:29,"Mahmood simpaticissimo nonostante sia gay, va detto",positive
Brunori Sas,2025-02-14 23:12:08,brunori sas è un po' il nostro johnny knoxville silverfox ecc ecc,positive
Brunori Sas,2025-02-14 23:45:12,AHAHAHAH PORCO DIO DARIO MI FAI SGANASCIARE TI ADORO  https://x.com/crl2316/status/crl2316/status/1890467776533242282…,positive
Brunori Sas,2025-02-14 23:26:33,"https://rainews.it/tgr/calabria/video/2025/02/sanremo-cover-sanremo-brunori-sanremo-brunori-lucio-dalla-e6b9c406-9a95-4c83-8fd7-fe592b098799.html?wt_mc=2.social.tw.redtgrcalabria_sanremo-cover-sanremo-brunori-sanremo-brunori-lucio-dalla.&wt…
Alle 00,27 sul palco dell'Ariston arriva Brunori Sas per la serata delle cover di Sanremo l'omaggio a Lucio Dalla.  Dario canterà ""L'anno che verrà"" insieme a Riccardo Sinigallia e Dimartino.
@TgrRai
 #IoSeguoTgr",positive
Brunori Sas,2025-02-14 23:12:08,brunori sas è un po' il nostro johnny knoxville silverfox ecc ecc,positive
Brunori Sas,2025-02-14 23:12:08,brunori sas è un po' il nostro johnny knoxville silverfox ecc ecc,positive
Brunori Sas,2025-02-14 23:45:12,AHAHAHAH PORCO DIO DARIO MI FAI SGANASCIARE TI ADORO  https://x.com/crl2316/status/crl2316/status/1890467776533242282…,positive
Brunori Sas,2025-02-14 23:26:33,"https://rainews.it/tgr/calabria/video/2025/02/sanremo-cover-sanremo-brunori-sanremo-brunori-lucio-dalla-e6b9c406-9a95-4c83-8fd7-fe592b098799.html?wt_mc=2.social.tw.redtgrcalabria_sanremo-cover-sanremo-brunori-sanremo-brunori-lucio-dalla.&wt…
Alle 00,27 sul palco dell'Ariston arriva Brunori Sas per la serata delle cover di Sanremo l'omaggio a Lucio Dalla.  Dario canterà ""L'anno che verrà"" insieme a Riccardo Sinigallia e Dimartino.
@TgrRai
 #IoSeguoTgr",positive
Brunori Sas,2025-02-14 23:12:08,brunori sas è un po' il nostro johnny knoxville silverfox ecc ecc,positive
Brunori Sas,2025-02-14 23:12:08,brunori sas è un po' il nostro johnny knoxville silverfox ecc ecc,positive
Brunori Sas,2025-02-14 23:45:12,AHAHAHAH PORCO DIO DARIO MI FAI SGANASCIARE TI ADORO  https://x.com/crl2316/status/crl2316/status/1890467776533242282…,positive
Brunori Sas,2025-02-14 23:26:33,"https://rainews.it/tgr/calabria/video/2025/02/sanremo-cover-sanremo-brunori-sanremo-brunori-lucio-dalla-e6b9c406-9a95-4c83-8fd7-fe592b098799.html?wt_mc=2.social.tw.redtgrcalabria_sanremo-cover-sanremo-brunori-sanremo-brunori-lucio-dalla.&wt…
Alle 00,27 sul palco dell'Ariston arriva Brunori Sas per la serata delle cover di Sanremo l'omaggio a Lucio Dalla.  Dario canterà ""L'anno che verrà"" insieme a Riccardo Sinigallia e Dimartino.
@TgrRai
 #IoSeguoTgr",positive
Brunori Sas,2025-02-14 23:12:08,brunori sas è un po' il nostro johnny knoxville silverfox ecc ecc,positive
