artist,datetime,content,sentiment
Coma_Cose,2025-02-14 23:45:56,Se i Coma_Cose non vi piacciono non è una cosa da dire pubblicamente #Sanremo2025,negative
Coma_Cose,2025-02-14 23:47:13,I MIEI GENITORI COMA COSE VI AMO CUORICINI,positive
Coma_Cose,2025-02-14 23:53:33,I coma cose mi sa che poco fa hanno droppato la mia cover prefe della serata #Sanremo2025,positive
Coma_Cose,2025-02-14 23:44:41,"Geniali Coma Cose, che versione smart.",positive
Coma_Cose,2025-02-14 23:46:38,"Sentite Coma_Cose io sono qui per dissociare non voglio sentirmi cantare Sanremo sta finendo
#Sanremo2025",positive
Coma_Cose,2025-02-14 23:49:21,E comunque i Coma Cose a me piacciono troppo. E anche il vestito di stasera è un grande sì.,positive
Coma_Cose,2025-02-14 23:44:34,Il mio voto è dei Coma Cose #Sanremo2025,positive
Coma_Cose,2025-02-14 23:47:54,coma cose siete veramente una coccola,positive
Coma_Cose,2025-02-14 23:46:32,"Johnson Righeira perfetto per il mood dei Coma_Cose: viva gli anni Ottanta sempre! 

#Sanremo2025",negative
Coma_Cose,2025-02-14 23:44:03,Adoro i Coma Cose punto.,negative
Coma_Cose,2025-02-14 23:28:53,Cristicchi e Amara sono i Coma Cose che tra 15 anni si scoprono filosofici ed esistenziali. #Sanremo2025,positive
Coma_Cose,2025-02-14 23:45:23,PAZZESCHI I COMA COSE SIETE IL POP #sanremo2025,positive
Coma_Cose,2025-02-14 23:45:35,I coma cose sono proprio mamma e papà,positive
Coma_Cose,2025-02-14 23:47:48,"#Coma_Cose con #JohnsonRigheira

Tiro pazzesco e anche una bella discesa in platea

#Sanremo #Sanremo2025 #fantasanremo",positive
Coma_Cose,2025-02-14 23:47:17,uff la cover de coma cose buenísima,positive
Coma_Cose,2025-02-14 23:51:28,"In squadra ho Giorgia, Coma cose e Lucio Corsi. Sorry  

#sanremo2025",negative
Coma_Cose,2025-02-14 23:42:45,dai vestiti alla canzone al duetto i coma cose hanno sbagliato solo una cosa: niente,positive
Coma_Cose,2025-02-14 23:44:24,Voglio tirare il tipo dei coma cose dal mullet e vederlo piangere,positive
Coma_Cose,2025-02-14 23:50:45,"Sta canzone, come la giri e come la volti, ti frega ogni volta con i suoi accordi crescenti e ritmati, ma la nostalgia che ti mette intanto addosso è indescrivibile... 
#sanremo #sanremo25 #sanremo2025 #coma_cose #comacose #righeira #lestatestafinendo",positive
Coma_Cose,2025-02-14 23:45:46,"#tvtalk 
confesso evviva i coma cose che interpretano in modo originale  l' estate sta finendo...Sanremo sta finendo.",positive
