artist,datetime,content,sentiment
Elodie,2025-02-15 00:17:02,"Come stiamo dopo l'esibizione di Elodie e Achille Lauro?
DI SICURO HANNO SERVITO. TANTO E BENE

#Sanremo2025",negative
Elodie,2025-02-15 00:51:55,"Fuoriprogramma Achille Lauro: cosa dedica a Elodie per San Valentino #15febbraio #iltempoquotidiano 
https://iltempo.it/spettacoli-tv/2025/02/14/news/sanremo-2025-achille-lauro-fuori-programma-cosa-dedica-elodie-san-valentino-41622700/…",positive
Elodie,2025-02-15 00:15:19,"e se dicessi che elodie e achille lauro hanno fatto una delle esibizioni più belle della serata???? meriterebbero di stare almeno in top 5 (se fosse per me anche più in alto onestamente), HANNO PROPRIO SPACCATO 
#Sanremo2025",negative
Elodie,2025-02-15 00:22:03,il bisogno fisico anatomico biblico irrefrenabile di avere elodie almeno 5 minuti,negative
Elodie,2025-02-15 00:26:48,"elodie si na pret 
achille si na pret
VIVETEVI
#Sanremo2025",negative
Elodie,2025-02-15 00:19:38,"Non Elodie che tira Achille Lauro (ha paura che Carlo Conti li squalifichi)

#sanremo2025",positive
Elodie,2025-02-15 00:19:05,"""quanto siete ubriachi?""
Achille ed elodie: si
#Sanremo2025",positive
Elodie,2025-02-15 00:20:47,"CLARA CHE NON VUOE FAR PERDERE TEMPO A CONTI>>>>>>>>>>>>>>>Elodie che trascina via Lauro.

#Sanremo2025",negative
Elodie,2025-02-15 00:37:52,Is it possible to get a more toxic group of liars and cheats than this?,negative
Elodie,2025-02-15 00:25:32,"anche i cantanti si sono stancati di questo piattume generale, ecco perché lauro voleva dare il suo contributo ed elodie se lo tira appresso terrorizzata dallo sguardo accusatore di carlo e dai tre minuti che achille gli ha fatto perdere #Sanremo2025",negative
Elodie,2025-02-15 00:53:53,I don't think I've ever sketched out a chapter cover page this early before doing the thumbnails. But I had an idea and I had to get it down before I forget. ,negative
Elodie,2025-02-15 00:53:13,comunque quest’anno Elodie porta una cover on point con un artista che può aiutarla molto nella classifica finale e OVVIAMENTE non influisce dioporco,negative
Elodie,2025-02-15 00:55:08,Non perde occasione per far parlare di sé a qualsiasi costo..,negative
Elodie,2025-02-15 00:53:00,"In un mondo giusto stasera vince Elodie con il maledetto, Lucio e Topogigio o Serena Brancale con AleAmo",negative
Elodie,2025-02-15 00:20:03,Elodie terrorizzata. COSA AVEVA IN MENTE DI FARE ACHILLE? #Sanremo2025,negative
Elodie,2025-02-15 00:26:43,"Grazie Achille e Elodie...
A Mano A Mano 

#beabaldi #Sanremo2025 #achillelauro #Elodie",positive
Elodie,2025-02-15 00:32:01,"VIENI QUA VIENI QUA
RAGAZZEH PER TUTTE VOI 
*sospiro*
È NOTTE ALTA E SONO SVEGLIO

NEL FRATTEMPO ELODIE:

#Sanremo2025",positive
Elodie,2025-02-15 00:27:47,"Anche Achille Lauro e Elodie tecnicamente inappuntabili.
Però un’altra esibizione retorica su Rino Gaetano come quasi tutte quelle stasera.
Mentre invece Follecittà fichissima

#Sanremo2025",negative
Elodie,2025-02-15 00:43:23,Non fate incontrare Marco Masini ed Elodie dietro le quinte,positive
Elodie,2025-02-15 00:39:19,"Elodie e Achille, Willie, Brunori Sas io non ci sto capendo assolutamente nulla mi sento impazzire questo blocco è stato fatto per noi",positive
Elodie,2025-02-15 00:34:08,"riassunto 4a serata #Sanremo2025 
- mahmood che fa venire mezza italia e poi chiede:”com’è andata?”
- elodie e achille lauro che provocano bi panic a tutta italia
- carlo conti che non sa usare l’autotune
- topo gigio che “ha spaccato il camerino ed è positivo al pecorino”",positive
Elodie,2025-02-15 00:16:49,c'è stata questa sequenza allucinogena tra lauro ubriaco elodie cringiata poi mahmood inceppato sulla napoletanità con lo sguardo laser di carloco su di lui,positive
Elodie,2025-02-15 00:16:44," Elodie e Achille Lauro cantano ""A mano a mano"" / “Folle città” a #Sanremo2025

L'esibizione integrale è su RaiPlay
In audio su RaiPlay Sound",negative
Elodie,2025-02-15 00:49:34,Non mi sono ancora ripreso da Elodie,positive
