artist,datetime,content,sentiment
Francesca Michielin,2025-02-14 21:40:46,"francesca michielin e rkomi fantastici davvero, ben amalgamati con le voci e la chitarra + piano idea super, bellissima cover
#sanremo2025",positive
Francesca Michielin,2025-02-14 21:41:12,"""Francesca Michielin, il suo malleolo e Rkomi""
GEPPI NON SEI REALE
#sanremo25",positive
Francesca Michielin,2025-02-14 21:38:50,Francesca Michielin 6 pazzeska #Sanremo2025,positive
Francesca Michielin,2025-02-14 21:41:33,"Francesca Michielin 
io con te farei una figlia
io che ce l'ho integra
la caviglia",negative
Francesca Michielin,2025-02-14 21:43:43,"Francesca michielin la vera eroina di questa edizione perché è sopravvissuta sia alle scale sia all'eye contact con rkomi che canta la nuova stella di broadway
#Sanremo2025",negative
Francesca Michielin,2025-02-14 21:38:14,francesca michielin ruba topo gigio a lucio corsi per il duetto ah no è rkomi,positive
Francesca Michielin,2025-02-14 21:45:05,"Dopo il duetto di Francesca Michielin - Rkomi:
#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:36:58,FRANCESCA MICHIELIN E IL SUO MALLEOLOOOOOFJDJDHDJ,positive
Francesca Michielin,2025-02-14 21:46:57,"Francesca Michielin ti voglio proprio bene sei una stellina luminosissima mi hai emozionato moltissimo 
ti meriti tutto. 


#Sanremo2025",negative
Francesca Michielin,2025-02-14 21:41:07,francesca michielin su cesare cremonini ci sta proprio benissimo ha una voce incredibile,negative
Francesca Michielin,2025-02-14 21:39:43,francesca michielin e rkomi,negative
Francesca Michielin,2025-02-14 21:36:56,"CON IL CODICE 05 CANTANO:

FRANCESCA MICHIELIN
IL SUO MALLEOLO
E RKOMI.
#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:47:58,"Bravissimi, fantastici, radiosi, armonici. Il mio duetto preferito su una delle mie canzoni preferite. Francesca Michielin e Rkomi hanno servito TUTTO #Sanremo2025",positive
Francesca Michielin,2025-02-14 21:44:12,"rkomi perché ha duettato con francesca michielin quando poteva farlo con sua moglie marcella bella? 
#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:42:06,"Voglio dire a Francesca Michielin che IO LA AMO.

#LucaMarfé #Sanremo #Sanremo2025",positive
Francesca Michielin,2025-02-14 21:42:20,FRANCESCA MICHIELIN sei bravissima LA DONNA per eccellenza,positive
Francesca Michielin,2025-02-14 21:38:21,"Francesca Michielin al pianoforte dando le stesse vibes di Taylor Swift durante le surprise song

#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:44:29,"FRANCESCA MICHIELIN QUANTO TI AMO
#sanremo2025",negative
Francesca Michielin,2025-02-14 21:38:01,“francesca michielin il suo malleolo e ARKOMI”  #sanremo2025,positive
Francesca Michielin,2025-02-14 21:41:00,"Come io vedo Francesca Michielin stasera

#Sanremo2025",negative
Francesca Michielin,2025-02-14 21:37:11,francesca michielin e il suo malleolo  #Sanremo2025,positive
Francesca Michielin,2025-02-14 21:44:36,francesca michielin lavora e mettici sto duetto su spotify che già sono rimasta fregata con io non abito al mare perché mi hai detto di chiederla a calcutta che fa l’eremita grazie cucciola,positive
Francesca Michielin,2025-02-14 21:40:19,Sono di parte perché amo La nuova stella di Broadway ma che bravi Francesca Michielin e Rkomi mamma e papà,positive
Francesca Michielin,2025-02-14 21:38:23,FRANCESCA MICHIELIN SERVENDO VOCALS LA MADRE LA REGINA SEI BRAVISSIMA #Sanremo2025,positive
Francesca Michielin,2025-02-14 21:51:09,"Capolavoro. 

Francesca Michielin & Rkomi 

#sanremo25 #sanremo2025",positive
Francesca Michielin,2025-02-14 21:41:37,"che bravi francesca michielin e rkomi sono troppo carini sono dei cuccioli
#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:43:10,e brava la francesca michielin!,positive
Francesca Michielin,2025-02-14 21:40:58,"FRANCESCA MICHIELIN SORELLA STAI SORELLANDO COME MAI NESSUNA PRIMA 

#Sanremo2025",negative
Francesca Michielin,2025-02-14 21:45:22,@ francesca michielin e rkomi potete mettere la cover su spotify,positive
Francesca Michielin,2025-02-14 21:41:30,Francesca Michielin potrebbe anche fare la cover di Sugli sugli bane bane che la trasformerebbe in una roba meravigliosa indie chic,negative
Francesca Michielin,2025-02-14 21:42:19,"Francesca Michielin e Rkomi come a Ballando con le Stelle, la ballerina professionista e il vip che fa simpatia provandoci

#Sanremo2025",negative
Francesca Michielin,2025-02-14 21:40:23,"Francesca Michielin e Rkomi cantano La nuova stella di Broadway:
#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:45:58,"Una donna coi fiori e un uomo senza? 

Not on Francesca Michielin watch. #Sanremo2025",negative
Francesca Michielin,2025-02-14 21:36:59,"""FRANCESCA MICHIELIN,IL SUO MALLEOLO E ARKOMI"" #sanremo2025",negative
Francesca Michielin,2025-02-14 21:54:21,"Francesca Michielin al suo primo milione di euro sulle orme di Fedez. Boom di entrate per la sua Cheeks srl, guidata da mamma Vanna https://open.online/2024/02/01/francesca-michielin-boom-entrate-primo-milione-fedez/0…",negative
Francesca Michielin,2025-02-14 21:39:27,Francesca michielin che porta il peso di una gamba rotta e di dover saper cantare al posto di rkomi #Sanremo2025,negative
Francesca Michielin,2025-02-14 21:45:01,"rkomi e francesca michielin sono usciti direttamente da cucciolandia

#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:44:09,questa cosa bellissima che hanno fatto francesca michielin e rkomi mi hanno commosso #Sanremo2025,positive
Francesca Michielin,2025-02-14 21:39:32,"Fondato il club ""Poveri vecchi boomer per Francesca Michielin"" 
@francescacheeks
 #sanremo25",positive
Francesca Michielin,2025-02-14 21:41:39,Francesca Michielin ride perché in prova aveva fatto un gradino in più e nel quarto gradino non c'è la luce giusta. Si vede proprio che ci ha pensato durante l'esibizione di stasera #sanremo2025,positive
Francesca Michielin,2025-02-14 21:44:02,Francesca e Rkomi cantano La nuova stella di Broadway a #Sanremo2025 ,negative
Francesca Michielin,2025-02-14 21:41:27,"Francesca Michielin il grandissimo talento che sei

#Sanremo2025",negative
Francesca Michielin,2025-02-14 21:58:23,FRANCESCA MICHIELIN E MIRKO IN ARTE RKOMI SIETE STATI IL MOMENTO!!! #Sanremo2025,positive
Francesca Michielin,2025-02-14 21:40:02,"Fino a ora Francesca Michielin e quel vecchio cuore di Rkomi miglior duetto 

#Sanremo2025",negative
Francesca Michielin,2025-02-14 21:46:33,"Francesca Michielin cantante dalla voce potentissima, cantautrice, polistrumentista, direttrice d’orchestra ma verrà comunque superata in classifica dai classici ratti #sanremo2025",negative
Francesca Michielin,2025-02-14 21:42:28,Francesca Michielin già cammina senza stampelle e Milik ancora non si allena in gruppo,negative
Francesca Michielin,2025-02-14 21:41:57,"che qualcuno mi guardi come rkomi ha guardato francesca michielin durante questa esibizione vi prego 
#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:40:40,"Rkomi che guarda innamoratissimo Francesca Michielin un po’ lo capisco 
 #Sanremo2025",negative
Francesca Michielin,2025-02-14 21:37:57,MA QUESTI SGUARDI TRA RKOMI E FRANCESCA MICHIELIN?,positive
Francesca Michielin,2025-02-14 21:47:08,"Francesca Michielin non ha neanche 30 anni e canta e scrive divinamente,suona più strumenti, è direttrice d'orchestra e si è pure laureata al conservatorio 
Una delle artiste più brave ma troppo sottovalutate #Sanremo2025",negative
Francesca Michielin,2025-02-14 21:42:41,"Posso dire mi è piaciuto molto il duetto di rkomi e Francesca michielin
#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:43:41,Francesca Michielin può benissimo prendermi a calci in faccia usando il piede ingessato,negative
Francesca Michielin,2025-02-14 21:37:31,"“cantano francesca michielin, il suo malleolo e rrrkomi” PORCA TROIA #Sanremo2025
#sanremo25",negative
Francesca Michielin,2025-02-14 21:45:01,"Visto che sto in fissa con il Quartetto Cetra, a Rkomi e Francesca Michielin avrei fatto interpretare Sole Pizza e amore dal Sanremo 1964 che è l'unica canzone sanremese che contiene la parola Broadway",positive
Francesca Michielin,2025-02-14 21:40:33,"Che vogliamo dirgli a Francesca Michielin e Rkomi. 
Cazzimma naturale più il sorriso di Cremonini = <3

Il primo momento di vera musica di stasera. 

#Sanremo2025",positive
Francesca Michielin,2025-02-14 21:38:54,Le persone più divertenti di sempre da bullizzare sono quelle del segno dei pesci vedete francesca michielin e havier,positive
Francesca Michielin,2025-02-14 21:37:40,anche francesca michielin duetta con topo gigio,positive
Francesca Michielin,2025-02-14 21:42:24,"Francesca michielin che consegna i figlio a rkomi dopo aver dato i fiori all'orchestra nel 2022
Lei è la fioraia dal cuore d'oro #Sanremo2025",positive
Francesca Michielin,2025-02-14 21:39:12,"Con il codice rosso canta Francesca Michielin con Rkomi
#sanremo2025",positive
Francesca Michielin,2025-02-14 21:37:49,"“CANTANO FRANCESCA MICHIELIN, IL SUO MALLEOLO E ERRECOMI”

#sanremo25 #sanremo2025",negative
Francesca Michielin,2025-02-14 21:38:41,francesca michielin,negative
Francesca Michielin,2025-02-14 21:38:10,Francesca Michielin duetta con Topo Gigio  #Sanremo2025,positive
Francesca Michielin,2025-02-14 21:38:51,rkomi e la francesca michielin,positive
Francesca Michielin,2025-02-14 21:40:49,"Non ci sta niente da fare io sono una povera rincoglionita perché adesso indovinate un po', sì shippo Francesca Michielin e Rkomi. #sanremo2025",positive
