artist,datetime,content,sentiment
Francesco Gabbani,2025-02-14 23:14:49,"Francesco Gabbani e Tricarico mi hanno demolito il cuore. C'ho la lacrima che scende...che bello.
#Sanremo2025",negative
Francesco Gabbani,2025-02-14 23:07:11,"MY HEART IS FULL OF LOVE FRANCESCO GABBANI MY BELOVED 
#Sanremo2025",negative
Francesco Gabbani,2025-02-14 23:07:03,"RIP Tommy Seebach, you would have loved Francesco Gabbani",positive
Francesco Gabbani,2025-02-14 23:06:46,"KEKKO DEI MODÁ
FRANCESCO RENGA 
FRANCESCO GABBANI 
FRANCESCO TRICARICO #sanremo2025",negative
Francesco Gabbani,2025-02-14 23:08:44,por favor nunca podrian hacerme que te odie francesco gabbani eres lo mas bonito,negative
Francesco Gabbani,2025-02-14 23:10:01,Francesco Gabbani ha rincarato la dose portandosi appresso l’intera scuola da cui Mr Rain ha preso i suoi bambini due anni fa,positive
Francesco Gabbani,2025-02-14 23:07:39,enhorabuena francesco gabbani eres el hombre más carismático de italia,negative
Francesco Gabbani,2025-02-14 23:09:42,i bambini di mr Rain sono stati liberati dalla cantina per Francesco gabbani,negative
Francesco Gabbani,2025-02-14 23:08:55,francesco gabbani ha liberato i bambini di mr rain dallo scantinato dell’ariston #Sanremo2025,positive
Francesco Gabbani,2025-02-14 23:06:42,francesco gabbani mi ha rovinato la vita,negative
Francesco Gabbani,2025-02-14 23:09:14,Finalmente un momento politico e sociale: grazie a Francesco Gabbani hanno dato la 104 alla maestra.,negative
Francesco Gabbani,2025-02-14 23:06:00,Non vi perdonerò mai di aver fatto credere a Francesco Gabbani di essere un cantante #Sanremo2025,positive
Francesco Gabbani,2025-02-14 23:09:13,io a francesco gabbani voglio bene  #Sanremo2025,positive
Francesco Gabbani,2025-02-14 23:11:21,Adoro i due Francesco. E adoro Io sono Francesco. #Gabbani #Tricarico #Sanremo2025,negative
Francesco Gabbani,2025-02-14 23:03:55,"Mi ora Francesco Tricarico, con Francesco Gabbani che cantano ""io sono Francesco"". Insomma, un Francesco³ #Sanremo2025",negative
Francesco Gabbani,2025-02-14 23:09:44,"When I think: ""I hope I look as good as Francesco Gabbani when I'm his age"" and then realise I'm older than him. #Sanremo2025",positive
Francesco Gabbani,2025-02-14 23:27:16,"«Tutto può cambiare
La vita può cambiare
E può diventare
Come la vorrai inventare »

Grazie 
@Tricarico__
 per questo regalo 

#Sanremo2025
#IoSonoFrancesco
@sanremorai",positive
Francesco Gabbani,2025-02-14 23:05:48,l’ultimo posto di francesco gabbani aggiudicato grande!,positive
Francesco Gabbani,2025-02-14 23:05:25,Francesco Gabbani gobbo di merda.,positive
Francesco Gabbani,2025-02-14 23:23:47,"#Sanremo2025, la cover di Francesco Gabbani con Tricarico - Io sono Francesco",positive
Francesco Gabbani,2025-02-14 23:09:43,"Che dire, Francesco Gabbani rimani una certezza in tutto ciò che fai #Sanremo2025",positive
Francesco Gabbani,2025-02-14 23:09:15,Francesco Gabbani rapitore di bambini insieme a Mr Rain #Sanremo2025,negative
Francesco Gabbani,2025-02-14 23:06:25,el absoluto carisma de francesco gabbani es loco eh,positive
Francesco Gabbani,2025-02-14 23:07:19,il bullismo che mi scatena francesco gabbani non so spiegarlo a parole,positive
Francesco Gabbani,2025-02-14 23:08:15,siamo stati in grado di combattere il covid ma francesco gabbani non riusciamo a togliercelo dai coglioni cioè ma che messaggio passa,negative
Francesco Gabbani,2025-02-14 23:09:26,Francesco Gabbani se un uomo fantastico. Grazie. #Sanremo2025,positive
Francesco Gabbani,2025-02-14 23:08:28,Dopo lo spettacolo di Mahmood ora Francesco Gabbani con la filastrocca e i bambini rubati a mr rain #sanremo2025 ,positive
Francesco Gabbani,2025-02-14 23:52:21,Francesco is megl che one.,positive
Francesco Gabbani,2025-02-14 23:06:25,"FRANCESCO GABBANI E TRICARICO VEDETE DI DROPPARE QUESTA VERSIONE DI IO SONO FRANCESCO OVUNQUE
 #sanremo2025",positive
Francesco Gabbani,2025-02-14 23:07:41,"Francesco Gabbani che porta alla serata cover una filastrocca per bambini proteggiamolo per sempre quest’uomo per cortesia

#sanremo2025",positive
Francesco Gabbani,2025-02-14 23:07:22,"""Io sono Francesco"" ma la state vedendo la genialità e la dolcezza su quel palco di quel pezzo di cuore che è francesco Gabbani??!? 
Menomale che sei Francesco, anzi menomale che ci sei! 
#Sanremo2025",negative
Francesco Gabbani,2025-02-14 23:48:52,"Francesco Gabbani e Tricarico cantano “Io sono Francesco” di Tricarico durante la serata delle cover e dei duetti del 75º Festival di Sanremo.

#Sanremo2025",positive
Francesco Gabbani,2025-02-14 23:10:41,"Dallo all' ospite che se lo merita tutto e lo abbraccia dopo questa esibizione horror, ma tu veramente sei di una dolcezza e professionalità rara, Francesco Gabbani #Sanremo2025",positive
Francesco Gabbani,2025-02-14 23:06:39,francesco gabbani prete e francesco tricarico madame a chissaqualedose dopo che mahmood che tuta goldato con le zinne al vento. eeh,negative
Francesco Gabbani,2025-02-14 23:09:45,"francesco gabbani quando ha scoperto che i bambini di mr rain erano disoccupati
#Sanremo2025",negative
Francesco Gabbani,2025-02-14 23:06:13,"FRANCESCO GABBANI CHE ARRIVA DOPO STO DEVASTO 

#Sanremo2025",positive
Francesco Gabbani,2025-02-14 23:08:30,io e francesco gabbani (lo proteggerei con la mia vita) #Sanremo2025,positive
Francesco Gabbani,2025-02-14 23:10:05,FRANCESCO GABBANI TI AMO PERÒ VOGLIO LE MIE DONNE ANNALISA E GIORGIAAAA MAROOOOO #Sanremo2025,positive
Francesco Gabbani,2025-02-14 23:23:08," Francesco Gabbani con Tricarico cantano “Io sono Francesco” a #Sanremo2025

L'esibizione integrale è su RaiPlay
In audio su RaiPlay Sound",negative
Francesco Gabbani,2025-02-14 23:09:17,Francesco Gabbani con Francesco Tricarico che cantano io sono Francesco #Sanremo2025,positive
Francesco Gabbani,2025-02-14 23:10:38,Solo Francesco Gabbani poteva cantare questa canzone  #Sanremo2025,negative
