artist,datetime,content,sentiment
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
Giorgia Sanremo,2025-02-15 00:25:38,"Annalisa, vai a vendere la frutta!!!
Sei d'accordo!!! 
Sembrava di stare in pizzeria!!! 

#Sanremo2025 #Annalisa #giorgia #SANREMO #sanremo25",positive
Giorgia Sanremo,2025-02-15 00:06:46,"Unpopular opinion - Giorgia #sanremo 

Great song, amazing vocals, obvious 'winner' BUT

awful styling - looks like dour bank clerk/ civil servant, need some razzle dazzle for ESC",negative
