artist,datetime,content,sentiment
Joan Thiele,2025-02-14 23:50:42,joan thiele e fran quintale vi amo da impazzire (anche venerus),negative
Joan Thiele,2025-02-14 23:53:16,"joan thiele a frah quintale 
#sanremo2025",positive
Joan Thiele,2025-02-14 23:52:05,"Joan Thiele è sopra la media. 
#Sanremo2025",positive
Joan Thiele,2025-02-14 23:51:56,la voce di joan thiele quella che vorrei sentire da una sirena che mi incanta totalmente da farmi uscire pazza,negative
Joan Thiele,2025-02-14 23:51:32,joan thiele perfetta anche stasera amore,positive
Joan Thiele,2025-02-14 23:51:03,Che classe Joan Thiele #Sanremo2025,positive
Joan Thiele,2025-02-14 23:51:47,joan thiele la donna PIÙ IMPORTANTE di questo festival  ,positive
Joan Thiele,2025-02-14 23:53:14,"che cuccioli che sono joan thiele e frah quintale 
#sanremo2025",positive
Joan Thiele,2025-02-14 23:52:25,QUESTA COVER TRA JOAN THIELE E FRAH QUINTALE STATA FATTA MIA PAZZESCHI CUCCIOLI #SANREMO2025,positive
Joan Thiele,2025-02-14 23:52:55,"che carini Joan Thiele e Frah Quintale, mi sono piaciuti molto #Sanremo2025",positive
Joan Thiele,2025-02-14 23:51:41,"ODDIO JOAN THIELE E FRAH QUINTALE DUETTO INASPETTATO PERCHÉ SONO COSÌ AFFINI ADORO

#SANREMO2025",positive
Joan Thiele,2025-02-14 23:52:15,"PURE JOAN THIELE USCITA DAL FANTABOSCO COME LUCIO CORSI
 #Sanremo2025",negative
Joan Thiele,2025-02-14 23:52:08,joan thiele sei la più bella scoperta di questo festival per me ti amo grazie #Sanremo2025,negative
Joan Thiele,2025-02-14 23:58:36,Joan Thiele c’è che ci siamo innamorati di te  #Sanremo2025,positive
Joan Thiele,2025-02-14 23:53:45,che piangere mi è piaciuta tantissimo joan thiele e poi il solito outfit bellissimo elegante particolare,negative
Joan Thiele,2025-02-14 23:54:36,"Ma raga Joan Thiele ha 33 anni, io pensavo ne avesse tipo 22

#Sanremo2025",positive
