artist,datetime,content,sentiment
Marcella Bella,2025-02-14 22:36:48,Marcella Bella stasera sta dando Madre Gothel #Sanremo2025,negative
Marcella Bella,2025-02-14 22:40:33,Marcella Bella gemelli di titanio che canta da sola perché lei è una donna forte tosta indipendente una mina vagante #Sanremo2025,positive
Marcella Bella,2025-02-14 22:41:11,"marcella bella che bacia in bocca carlo conti, lei ha chiaramente detto: non vincerò sanremo, ma vincerò il fanta, sei la nostra diva 

#Sanremo2025",negative
Marcella Bella,2025-02-14 22:40:41,"Marcella Bella, what a flawless and stunning queen you are. #Sanremo2025",negative
Marcella Bella,2025-02-14 22:37:53,"Marcella Bella dedica “L’emozione non ha voce” a suo fratello Gianni Bella, seduto in platea 

#Sanremo2025",positive
Marcella Bella,2025-02-14 22:40:05,"MARCELLA BELLA CHE BACIA CARLO CONTI IO SAPEVO DI AVER PUNTATO SUL CAVALLO GIUSTO
#Sanremo2025 #fantasanremo",negative
Marcella Bella,2025-02-14 22:42:12,Io sto diventando troppo sensibile mi sono commossa anche per questo momento di marcella bella col fratello,positive
Marcella Bella,2025-02-14 22:43:58,"Non si può morire dentro! .  Gianni Bella era un Lucio Corsi di mezzo secolo fa! Non possiamo non piangere guardandolo ora malato come è, abbracciare la sorella, Gianni e Marcella Bella! #Sanremo2025",negative
Marcella Bella,2025-02-14 22:38:22,"Carlo Conti: ""no alla collana di Tony Effe""

Marcella Bella:

#Sanremo2025",negative
Marcella Bella,2025-02-14 22:40:50,marcella bella ha baciato carloco lei è una maledetta,negative
Marcella Bella,2025-02-14 22:40:00,marcella bella ha fottuto l’entrance look di sypario #Sanremo2025,positive
Marcella Bella,2025-02-14 22:41:43,"Marcella Bella 
la cover meno.  #Sanremo2025",positive
Marcella Bella,2025-02-14 22:45:38,Marcella Bella  si è fatta passare il contatto dei Twink violins dall'amico Vannacci,negative
Marcella Bella,2025-02-14 22:43:25," Marcella Bella con Twin Violins cantano “L’emozione non ha voce” a #Sanremo2025

L'esibizione integrale è su RaiPlay
In audio su RaiPlay Sound",positive
Marcella Bella,2025-02-14 22:37:12,"MARCELLA BELLA POTEVI NON STRAZZIARLA E INVECE LO HAI FATTO

#Sanremo2025",negative
Marcella Bella,2025-02-14 22:40:50,"“OHH, MAMMA MIA”
VI PREGO, IL QUASI BACIO TRA CARLO CONTI E MARCELLA BELLA 
#Sanremo2025 #sanremo25 #Sanremo",positive
Marcella Bella,2025-02-14 22:40:42,"Marcella Bella ha mostrato le due personalità delle divorziate 
Romantiche (questa cover)
Disilluse rinate indistruttibile (pelle diamante)",positive
Marcella Bella,2025-02-14 22:39:52,Questa ad esempio è una canzone assai difficile ma Marcella Bella di mestiere fa la cantante da 108 anni e si sente eccome #Sanremo,negative
Marcella Bella,2025-02-14 22:50:18,"marcella bella che bacia in bocca carlo conti,perché il fanta quest’anno lo deve vincere solo lei

#Sanremo2025",negative
Marcella Bella,2025-02-14 22:44:28,per rimediare al tempo perso a post esibizione di marcella bella conti sparerà a un concorrente random,positive
Marcella Bella,2025-02-14 22:38:32,"Marcella Bella par Gina, la sorella di Tony Montana, 'e Scarface.

#Sanremo2025",positive
Marcella Bella,2025-02-14 22:41:37,"marcella bella é invece la zia che ti prepara la pizza, poi la focaccia e si mette a piangere dicendoti quanto sei bello nipote mio",negative
Marcella Bella,2025-02-14 22:36:37,che emozione marcella bella su l’emozione non ha voce la canzone della mia infanzia,positive
Marcella Bella,2025-02-14 22:39:54,"L’esecuzione di Marcella Bella mi ha riportato ai tempi di Una Rotonda sul Mare condotto d’estate su Canale 5 da Mike Bongiorno e le esibizioni di Jimmy Fontana e Edoardo Vianello

#Sanremo2025",negative
Marcella Bella,2025-02-14 22:40:20,Hanno dato i fiori a topo gigio e non ai violinisti di Marcella Bella #Sanremo2025,negative
Marcella Bella,2025-02-14 22:38:49,marcella bella molto più valorizzata in questa cover,positive
Marcella Bella,2025-02-14 22:36:23,Marcella Bella ti voglio un po più bene ora che ho risentito questo capolavoro di canzone,negative
Marcella Bella,2025-02-14 22:39:08,"Marcella Bella, 72 anni, dà lezioni di intonazione a molti cantanti in gara. 
#sanremo2025",positive
Marcella Bella,2025-02-14 22:45:46,Marcella Bella ok fino a quando i gemellini non hanno cominciato a saltellare #Sanremo2025,positive
Marcella Bella,2025-02-14 22:49:11,"#Sanremo2025, sul palco anche i Twin Violins: chi sono i gemelli che hanno suonato con Marcella Bella",negative
Marcella Bella,2025-02-14 22:38:31,"Marcella Bella era una delle poche che veramente poteva dire “questa cosa la faccio scrivere a mio fratello”.

#Sanremo #sanremo25 #Sanremo2025",negative
Marcella Bella,2025-02-14 22:37:45,"Marcella Bella

 #Sanremo2025",positive
Marcella Bella,2025-02-14 22:49:27,la faccia di chi sta per fuc1lare i violinisti dopo che sì è perso tempo con marcella bella #sanremo2025,negative
Marcella Bella,2025-02-14 22:38:59,non marcella bella che ha rubato la collana a tony effe #Sanremo2025,negative
Marcella Bella,2025-02-14 22:41:48,marcella bella ha detto a me della classifica di sanremo non frega un cazzo ma per il fantasanremo mi limono pure carlo conti,positive
Marcella Bella,2025-02-14 22:38:04,Marcella Bella ha rubato la collana a Tony Effe. Non si fa #Sanremo2025,positive
Marcella Bella,2025-02-14 22:38:08,"Perché Marcella Bella ha la collana da sommelier?

#Sanremo2025",negative
Marcella Bella,2025-02-14 22:38:41,"Marcella Bella ha un quadro con la sua foto in soffitta che invecchia al posto suo... Perché non si spiega che a 70 anno suonati non abbia una ruga manco sulle mani...
#Sanremo #sanremo25 #Sanremo2025",negative
Marcella Bella,2025-02-14 22:40:19,"Che disastri fanno chirurghi plastici, Marcella Bella irriconoscibile. Ho capito che era lei dalla voce e dall'accento (pugliese?)",negative
Marcella Bella,2025-02-14 22:39:48,Grandissima Marcella Bella per aver duettato con il nuovo CEO della Roma: nessuno,positive
Marcella Bella,2025-02-14 22:48:27,io purtroppo ho un grande debole per marcella bella #Sanremo2025,positive
Marcella Bella,2025-02-14 22:36:05,Minchia che bella Marcella Bella raga,negative
Marcella Bella,2025-02-14 22:41:16,marcella bella con il fratello io mi ammazzo mi ammazzo #Sanremo2025,negative
Marcella Bella,2025-02-14 22:37:03,"Meraviglioso Marcella Bella questa sera
 #sanremo2025",positive
Marcella Bella,2025-02-14 22:36:37,Non Marcella Bella che si porta non uno ma ben due twink a #Sanremo2025,positive
Marcella Bella,2025-02-14 22:39:37,"marcella: bella
la sua cover: brutta",negative
