artist,datetime,content,sentiment
Massimo Ranieri,2025-02-15 00:14:27,bravissimi massimo ranieri e le nuove direzioni fateci don’t stop believin’,positive
Massimo Ranieri,2025-02-15 00:16:13,non massimo ranieri che fa il  oggi quando dava punti ieri nonno sei sempre il più grande,positive
Massimo Ranieri,2025-02-15 00:16:42,"Negli anni ho sempre detestato chi ha provato a copiare Pino Daniele.

Ma la cover di ""Quando"" con Massimo Ranieri e i Neri per caso non è una copia.

È un omaggio bellissimo e soprattutto UNA HIT CLAMOROSA.

#Sanremo2025",positive
Massimo Ranieri,2025-02-15 00:35:47,"#Sanremo2025, Massimo Ranieri e i Neri per caso cantano ""Quando""",positive
Massimo Ranieri,2025-02-15 00:48:52,no ma mi ero totalmente perso massimo ranieri che fa il cuore ma va con internet explorer #sanremo2025,positive
Massimo Ranieri,2025-02-15 00:16:26,massimo ranieri tu non mi conosci ma io ho bisogno di abbracciarti e chiamarti nonno #Sanremo2025,negative
Massimo Ranieri,2025-02-15 00:15:56,"Allora innanzitutto voi dovete rispettare Massimo Ranieri.

#sanremo2025",negative
Massimo Ranieri,2025-02-15 00:17:16,massimo ranieri (dolcissimo) che fa il cuore per il fantasanremo perché glielo ha chiesto la nipote con un giorno di ritardo #sanremo2025,positive
Massimo Ranieri,2025-02-15 00:16:05,"Che professionista Massimo Ranieri. Deve avere un fastidio pazzesco all'occhio, se non addirittura dolore, eppure eccolo lì. 
Con quella voce. #Sanremo2025",positive
Massimo Ranieri,2025-02-15 00:21:12,"io darei i punti del cuore a massimo ranieri nonostante fosse il bonus giornaliero di ieri solo perché mi stavo mettendo a piangere dalla troppa tenerezza vi prego fatelo 
#sanremo2025",negative
Massimo Ranieri,2025-02-15 00:16:47,Massimo Ranieri fa il cuore con le mani per il FantaSanremo ma valeva solo ieri noooo #Sanremo2025,negative
Massimo Ranieri,2025-02-15 00:13:29,"“21ª cover in gara, Massimo Ranieri!” #sanremo2025",positive
Massimo Ranieri,2025-02-15 00:16:32,"Intanto Massimo Ranieri ha risvegliato lo Sharingan al terzo stadio.
#sanremo2025",negative
Massimo Ranieri,2025-02-15 00:17:21,"""Mia nipote me l'ha detto"" e aNCHE QUEST'ANNO I NIPOTI DI MASSIMO RANIERI SALVANO CHI HA DECISO DI METTERE RANIERI NELLA PROPRIA SQUADRA AL FANTASANREMO.
#Sanremo2025",negative
Massimo Ranieri,2025-02-15 00:16:49,Massimo Ranieri e I Neri Per Caso,negative
Massimo Ranieri,2025-02-15 00:16:29,"Massimo Ranieri, non so se si è messo le lenti a contatto di Fedez, ma c'ha la guerra dei mondi nell'occhio destro.

#sanreno2025",negative
Massimo Ranieri,2025-02-15 00:15:20,"Massimo Ranieri il cambio va fatto ogni settimana senza eccezioni cosa hai combinatoooooo
#Sanremo2025",positive
Massimo Ranieri,2025-02-15 00:17:44,"Massimo Ranieri mi ha fatto teneramente piangere:
lui ha fatto il cuoricino solo perché gliel’ha chiesto la nipote, ma probabilmente era per i punti al FantaSanremo e valeva solo ieri
#Sanremo2025",positive
Massimo Ranieri,2025-02-15 00:15:07,no ragazze ma l’occhio di massimo ranieri é diventato rosso non è che ci sta per lasciare così,negative
Massimo Ranieri,2025-02-15 00:21:21,"Massimo Ranieri, l'uomo che ha inventato la classe. 
#Sanremo2025",positive
Massimo Ranieri,2025-02-15 00:12:33,Massimo Ranieri vestito come Roman Roy in Church and State,positive
Massimo Ranieri,2025-02-15 00:25:09,"Bonus dolcezza per Massimo Ranieri, è da proteggere ",positive
Massimo Ranieri,2025-02-15 00:14:55,per un attimo pensavo che massimo ranieri si fosse messo la lente nera di fedez,positive
Massimo Ranieri,2025-02-15 00:20:48,"Mi strappo il cuore per Massimo Ranieri che si è impegnato a fare punti al fantasanremo per la pronipote
(Ha fatto il bonus che valeva solo ieri ma lui non lo sa e se n’è andato contento e soddisfatto)",positive
Massimo Ranieri,2025-02-15 00:30:46,massimo ranieri willie peyote e brunori sas uno dopo l’altro si sente come quei momenti in cui ti incontri con i compagni per parlare della rifondazione delle brigate rosse,positive
Massimo Ranieri,2025-02-15 00:15:26,"Massimo Ranieri è il papà del  Terminator
#sanremo25",negative
Massimo Ranieri,2025-02-15 00:13:14,"Mi dispiace tantissimo per Massimo Ranieri che in questi giorni non ha ricevuto neanche un bel applauso forte, una standing ovation quando è un patato che canta perché ama farlo. Sì ok, la canzone è vecchio stile ma è Massimo Ranieri cioè è come Gianni Morandi per me #Sanremo2025",negative
Massimo Ranieri,2025-02-15 00:16:25,no ma massimo ranieri che continua a fare cose per il fantasanremo per le sue nipoti ,negative
Massimo Ranieri,2025-02-15 00:13:59,"Se c'è qualcuno su questa terra che si può permettere di cantare Pino Daniele questi è Massimo Ranieri 
Avanti Capitano #Sanremo2025",negative
Massimo Ranieri,2025-02-15 00:16:23,tra massimo ranieri the kolors e rocco hunt io oggi non ho nient’altro da dire,positive
Massimo Ranieri,2025-02-15 00:15:15,Un omaggio di classe a Pino Daniele ad opera di Massimo Ranieri e i sempre bravissimi Neri per Caso #Sanremo2025,negative
Massimo Ranieri,2025-02-15 00:17:51,#Sanremo2025 quanto è bravo Massimo Ranieri! E bravi anche i Neri per caso!,negative
Massimo Ranieri,2025-02-15 00:13:44,"Massimo Ranieri: DOVE SONO I TUOI OCCHI

Sempre lui:",positive
Massimo Ranieri,2025-02-15 00:15:00,"Massimo Ranieri 
#sanremo2025",positive
Massimo Ranieri,2025-02-15 00:13:59,MA DOPO STA PORCONATA DEVASTANTE DI ELODIE E LAURO PUOI METTERE MASSIMO RANIERI??,negative
Massimo Ranieri,2025-02-15 00:15:11,Per votare Massimo Ranieri si deve mandare l'sms con un Brondi amico smartphone #sanremo2025,negative
Massimo Ranieri,2025-02-15 00:17:21,"Nonostante un problema all'occhio destro, Massimo Ranieri sta facendo l'ennesimo degno Festival, un Signore. #Sanremo2025",negative
Massimo Ranieri,2025-02-15 00:15:31,"Che livello immenso ed inarrivabile Massimo Ranieri. Interpretazione di un altro mondo.
Adoro tantissimo i neri per caso che hanno fatto un arrangiamento meraviglioso 

 #sanremo2025",negative
Massimo Ranieri,2025-02-15 00:46:48,Fedez senza lenti perché gliele ha fottute Massimo Ranieri,positive
Massimo Ranieri,2025-02-15 00:21:10," Massimo Ranieri con i Neri Per Caso cantano ""Quando"" a #Sanremo2025

L'esibizione integrale è su RaiPlay
In audio su RaiPlay Sound",positive
