artist,datetime,content,sentiment
Rkomi,2025-02-14 22:09:04,"mettiamo insieme aleamo, irama e rkomi e nasce una nuova lingua",positive
Rkomi,2025-02-14 22:00:48,questo è il festival delle donne (+ gli uomini omega lucio corsi e rkomi),positive
Rkomi,2025-02-14 22:05:00,"rkomi ti prego droppa il tuo workout che culo 
#Sanremo2025",positive
Rkomi,2025-02-14 22:45:10,Francesca Michielin e Rkomi sembravano una versione sanremese dei me contro te. Un tripudio di smancerie. #sanremo2025 https://davidemaggio.it/festival-di-sanremo/sanremo-2025-pagelle-quarta-serata/3…,positive
Rkomi,2025-02-14 22:59:44,"Rose 40
Clara 30
Rkomi 10
Tony 55
Noemi 55
Francesca 10
Modà 45
Irama 20
Gaia 30
Lucio 40
Brancale 20
The kolors 100
Marcella 90
Rocco 45",positive
Rkomi,2025-02-14 22:00:02,francesca michielin e rkomi siete IL MOMENTO #Sanremo2025,positive
Rkomi,2025-02-14 22:21:48,paca vete con rkomi y deja a ese who,positive
Rkomi,2025-02-14 22:07:57,"no ragazzi bravissimi le mie preferite sono state arisa/irama, franci/rkomi e lucio/topo gigio la serata duetti è tutto per me",positive
Rkomi,2025-02-14 22:42:05,"Che ci fanno due Rkomi irlandesi sul palco?

#Sanremo2025",positive
Rkomi,2025-02-14 22:18:23," Al telefono con noi #FrancescaMichielin e #Rkomi: magnetoterapia o ""magnoterapia""?

#Sanremo2025 #RadioFestival #Suite1025
 Segui la diretta: https://play.rtl.it/live/1/radiovisione/…",positive
Rkomi,2025-02-14 22:11:11,"arisa e filippo cosa avete combinato, che capolavoro 

#Sanremo2025",positive
Rkomi,2025-02-14 22:38:32,Marcella Bella cantando del suo amore con Rkomi #Sanremo #sanremo25,positive
Rkomi,2025-02-14 22:49:55,"i violinisti potrebbero essere
- benji e fede
- due rkomi
- due bambini di mr rain
- i ciuffi rossi",positive
Rkomi,2025-02-14 22:51:53,appena visto questa cosa allora qua bisogna un attimo approfondire vieni qua rkomi devo vedere una cosa più da vicino,positive
Rkomi,2025-02-14 22:07:00,"la sua faccia quando sbagliano a dire ""rkomi""",negative
Rkomi,2025-02-14 22:28:48,siguen siendo la mejor junto a gaia y paca/rkomi,negative
Rkomi,2025-02-14 22:09:02,vedo che tutti abbiamo notato il culo di rkomi bene,negative
Rkomi,2025-02-14 22:30:57,rkomi e francesca cantateci breaking free,positive
Rkomi,2025-02-14 22:35:51,"Vocali di Marcella Bella = Evil vocali di Rkomi
#Sanremo2025",negative
Rkomi,2025-02-14 22:09:52,"Irama  con Arisa
Rkomi con Francesca Michelin
Tonyeffe con Noemi
#sanremo25",positive
Rkomi,2025-02-14 22:39:25,RKOMI????,positive
Rkomi,2025-02-14 22:58:13,questo servizio sarah toscano x rkomi,positive
Rkomi,2025-02-14 22:38:46,"rkomi mirko quel tipo di persona che mi ispira proprio simpatia, Mirko andiamoci a prendere un caffè un giorno nn so #Sanremo2025",positive
Rkomi,2025-02-14 22:10:48,Irama e Rkomi potevano farci Hollywood e invece #Sanremo2025,positive
Rkomi,2025-02-14 22:35:13,"Uno dei due violinisti è Rkomi!!!
Giuro",positive
Rkomi,2025-02-14 22:04:33,Com'è che per Serena Brancale e Alessandra Amoroso c'erano due bouquet mentre la Michielin e RKOMI se ne sono dovuti litigare uno? #Sanremo2025,positive
Rkomi,2025-02-14 22:06:08,"questa  sequenza francy michielin + rkomi, lucio corsi + topo gigio, serena brancale + ale la mia top 3 possiamo già chiudere",positive
Rkomi,2025-02-14 22:32:09,Lous Tomlinson y Rkomi son de la misma escuela,positive
Rkomi,2025-02-14 22:27:34,"/
@rkomi_mirko
 secondo me dovremmo diventare amici",positive
Rkomi,2025-02-14 22:04:29,un riassunto: noemi ha cantato tutto il resto è noia per califano tonyeffe per briatore e rkomi ha cantato sia con la franci che con lucio corsi #sanremo2025,positive
Rkomi,2025-02-14 22:21:21,"carlo conti: bueno y qué tal
irama: h-
carlo conti: suficiente GRACIAS IRAMA QUE PASE EL SIGUIENTE
arisa: viva franco
francesca y rkomi: siento que bailo por primera vez
el novio de fran: yo creo que no
noemi: 
la tele: tutta l'italia
chiara de ot:",positive
Rkomi,2025-02-14 22:09:19,certo che irama rkomi è guè potevano farci sexy #sanremo2025,positive
Rkomi,2025-02-14 22:28:46,"Questa esibizione di Francesca Michielin e Rkomi poetic cinema 

#Sanremo2025 #sanremo25 #FestivaldiSanremo2025",positive
Rkomi,2025-02-14 22:13:02,sei libero stasera rkomi,negative
Rkomi,2025-02-14 22:53:43,"Francesca ha desirato e lottato, forse anche troppo, per riuscire a ritagliarsi uno spazio a Sanremo. Questa ragazza oltre all’inedito che merita molta più luce, ma fuori ne avrà, ha fatto una cover stupenda con Rkomi! Meritano  #sanremo25 #Sanremo2025",positive
Rkomi,2025-02-14 22:10:51,fino ad ora cover migliore quella di francesca e rkomi per me,positive
Rkomi,2025-02-14 22:04:18,"#Sanremo2025 In gara entrambi al festival quest'anno, Francesca #Michielin e #Rkomi sono insieme nella serata delle cover e duetti con ""La nuova stella di Broadway""
Su 
@RaiUno
 @RaiPlay
 @RaiRadio2
@francescacheeks",positive
Rkomi,2025-02-14 22:38:13,"i violinisti potrebbero essere
- benji e fede
- due rkomi
- due bambini di mr rain",positive
