artist,datetime,content,sentiment
Rocco Hunt,2025-02-14 22:45:55,ma rocco hunt ancora fa musica,positive
Rocco Hunt,2025-02-14 22:51:48,"questo duetto rocco hunt clementino il tributo a pino daniele rossetto e caffè sal da vinci i the kolors chiamatemi una semplice campana: leggo queste cose e mi esalto 
 #Sanremo2025",positive
Rocco Hunt,2025-02-14 22:59:47,"Rocco Hunt e Clementino hann scassat'tutt cos'
Potevano continuare un'altra mezz'ora, finivo a cantare ""je so pazz"" sopra alla torre Eiffel.
Pino Daniele è e sarà sempre anche me.",negative
Rocco Hunt,2025-02-14 22:51:49,"Mentre Battisti sta ancora cercando Rose Villein con un fucile, Pino Daniele probabilmente stasera si sarebbe divertito ad ascoltare Rocco Hunt e Clementino.

#sanremo2025",positive
Rocco Hunt,2025-02-14 22:47:01,Figo il duetto Clementino Rocco Hunt #PinoDaniele è sempre travolgente e viene una gran voglia di ballare #sanremo25,positive
Rocco Hunt,2025-02-14 22:48:02,HANNO SPACCATO ROCCO HUNT E CLEMENTINO,positive
Rocco Hunt,2025-02-14 22:49:14,Rocco hunt e clementino >>>  #Sanremo2025,positive
Rocco Hunt,2025-02-14 22:49:27,"ODDIO CLEMENTINO E ROCCO HUNT CHE ALLA FINE OMAGGIANO PINO DANIELE MENTRE CANTANO YES I KNOW MY WAY

#Sanremo2025",positive
Rocco Hunt,2025-02-14 22:44:31,E adessoooooo rocco hunt e clementino,positive
Rocco Hunt,2025-02-14 22:46:16,"Clementino e Rocco Hunt non sono affatto due che mi piacciono, ma capite cosa vuol dire avere la capacitá di stare sul palco e trascinare il pubblico, fare di un'esibizione un evento, ecco, questa è arte e Pino sta sorridendo.
#Sanremo2025",positive
Rocco Hunt,2025-02-14 22:48:49,"Questo è Rocco Hunt versione Salierno, versione Zona Orientale. E questo è Clementino che ama Cafardo, la scena rap salernitana con cui ha collaborato tanto negli anni",positive
Rocco Hunt,2025-02-14 22:49:58,A me non è affatto dispiaciuta la cover di Rocco Hunt e Clementino. Anche perché la canzone di suo ha un groove trascinante.,positive
Rocco Hunt,2025-02-14 22:47:49,"Bellissimo questo omaggio di Rocco Hunt e Clementino a Pino Daniele. Sono riusciti a far loro questo capolavoro con grandissimo rispetto, veramente bravi! 
#Sanremo2025",positive
Rocco Hunt,2025-02-14 22:47:22,"Rocco Hunt dopo aver inserito la frase ""nu juorno buono"" nelle barre della cover #Sanremo2025",positive
Rocco Hunt,2025-02-14 22:47:00,Per me bravi Rocco Hunt e Clementino #sanremo2025,positive
Rocco Hunt,2025-02-14 22:47:58,Fratm Rocco Hunt e fratm Clementin spacc e vetrin portando Pino Daniele a Sanremo #Sanremo2025,positive
Rocco Hunt,2025-02-14 22:46:20,ROCCO HUNT ORMAI È NAPOLETANO QUANTO LO È LA MOLE ANTONELLIANA MA NELLE CANZONI DEVE SEMPRE METTERCI QUELLA FRASE IN DIALETTO PER RIVENDICARE QUEL SENSO DI APPARTENENZA CHE ORMAI NON GLI APPARTIENE PIU. FALSO E TRADITORE,positive
Rocco Hunt,2025-02-14 22:46:36,rocco hunt e clementino le dive che siete,positive
Rocco Hunt,2025-02-14 22:48:06,Rocco Hunt e Clementino hanno spaccat #sanremo2025,positive
Rocco Hunt,2025-02-14 22:48:37,"in questa trance confusionale con Clementino e Rocco Hunt che cantano in napoletano voglio rimanerci x sempre 

#Sanremo2025",positive
Rocco Hunt,2025-02-14 22:47:51,"Rocco Hunt con Clementino: stratosferici. Uno spettacolo nello spettacolo. Ciao Pino! 
#Sanremo2025",negative
Rocco Hunt,2025-02-14 22:47:05,Finalmente l'orchestra di #Sanremo2025 è feliciona. Bravissimi Rocco Hunt e Clementino,positive
Rocco Hunt,2025-02-14 22:46:37,Rocco Hunt e Clementino mi hanno solo distrutto i timpani possiamo andare avanti #Sanremo2025,positive
Rocco Hunt,2025-02-14 22:48:32,"Questo omaggio a Pino Daniele fatto da Clementino e Rocco Hunt 
#Sanremo2025",positive
Rocco Hunt,2025-02-14 22:46:50,"Per ora unici due duetti che un attimino mi hanno svegliata dal torpore: The Kolors e Rocco Hunt. 
Viva la Campania. 

#sanremo25",positive
Rocco Hunt,2025-02-14 22:53:00,Cover di Rocco Hunt molto bella mica come quella merda di Geolier,positive
Rocco Hunt,2025-02-14 22:48:08,Esibizione clamorosa di Rocco Hunt e Clementino sul pezzo di Pino Daniele.,positive
Rocco Hunt,2025-02-14 22:56:51,mamma mia o mar o sol di rocco hunt e clementino sono tornato quattordicenne,positive
Rocco Hunt,2025-02-14 22:45:13,bravissimi rocco hunt e clementino e ora cantateci capocannonieri,negative
Rocco Hunt,2025-02-14 22:50:46,"Che bravi Rocco Hunt e Clementino e che emozione la voce di Pino... brividi 
#Sanremo2025",positive
Rocco Hunt,2025-02-14 22:52:29,"Sto per dire una cosa forte. Mi sono piaciuti Rocco Hunt e Clementino 
#sanremo2025",positive
Rocco Hunt,2025-02-14 22:48:34,rocco hunt e clementino I wasn’t familiar with your game siete stati gli intrattenitori i mashappari i risvegliatori di pubblico BRAVI,negative
Rocco Hunt,2025-02-14 22:47:10,MA PERCHÉ STO CRUSHANDO SU ROCCO HUNT IO LA DEVO PIANTARE CON STA COSA CHE BASTA CHE È NAPOLETANO E RESPIRA,positive
