artist,datetime,content,sentiment
Rose Villain,2025-02-14 21:07:42,RAGAZZI MA ROSE VILLAIN VOLEVA CHE CHIELLO LE STRINGESSE LA MANO E LUI L'HA IGNORATA,negative
Rose Villain,2025-02-14 21:05:01,"Rose Villain stasera non sei una pietra sei tutta la montagna 
#Sanremo2025",positive
Rose Villain,2025-02-14 21:05:29,"Fendi 2015 per Rose Villain.
Perfetta",negative
Rose Villain,2025-02-14 21:07:11,Rose Villain io ti amo ma questa cover faremo finta non sia mai esistita,positive
Rose Villain,2025-02-14 21:06:53,chi ha consigliato a rose villain di portare chiello per la serata cover la bella e la bestia,positive
Rose Villain,2025-02-14 21:07:34,"#Sanremo2025 era partita bene Rose Villain,poi il disastro ma il suo partner non l'ha saputa cantare",positive
Rose Villain,2025-02-14 21:04:57,"Sto guardando in contemporanea Sanremo e la Serie B
Per me è Rose Villain ft Dario Mastroianni",positive
Rose Villain,2025-02-14 21:10:44,"Io a Rose Villain avrei fatto cantare «Amore Amore» di Marisa Sannia, Sanremo 1984. Vestita come Marisa Sannia a Sanremo 1984. Na preta.",positive
Rose Villain,2025-02-14 21:04:42,Rose Villain ricicla pezzi di vestiti da Sanremo 2024? #Sanremo2025,negative
Rose Villain,2025-02-14 21:23:56,"Quelli che hanno ""difeso"" Rose Villain, quì dentro, molto meno interisti di lei, ma di molto. ""E se dovessi scegliere tra il superenalotto e l'Inter in B?"" ""Ha fatto bene perché ha ambizione professionale""  porcozio che gente.",negative
Rose Villain,2025-02-14 21:07:31,"Rose Villain sembra abbia sempre i capelli sporchi. 
#Sanremo2025",positive
Rose Villain,2025-02-14 21:03:34,"Rose Villain sul palco.
#Sanremo2025 #Sanremo",positive
Rose Villain,2025-02-14 21:06:16,"Finalmente Rose Villain canta una bella canzone

#Sanremo2025 
#seratacover",positive
Rose Villain,2025-02-14 21:04:39,Ha stonato. Ma cosa gli vuoi dire a Rose Villain?,negative
Rose Villain,2025-02-14 21:06:49,"Chi è ello che canta con Rose Villain?

#Sanremo2025",positive
Rose Villain,2025-02-14 21:08:23,Rose Villain correggendo Carlocò #Sanremo2025,positive
Rose Villain,2025-02-14 21:07:35,Rose Villain vuole entrare a far parte del meme urlante. #Sanremo2025,positive
Rose Villain,2025-02-14 21:08:56,"“Mi sanguinano le orecchie”:

entra in tendenza Italia alle ore 21:06 mentre cantano Rose Villain e Chiello la canzone di Battisti fiori rosa fiori di pesco

#sanremo2025",negative
Rose Villain,2025-02-14 21:07:02,Interpretazione di Rose Villain infima btw,positive
Rose Villain,2025-02-14 21:07:46,rose villain oggi è giulia salemi vestita da nuvola,positive
Rose Villain,2025-02-14 21:04:21,MAMMA SANTA CHE BONA ROSE VILLAIN #Sanremo2025,negative
Rose Villain,2025-02-14 21:06:41,"#Sanremo2025 #eurovision 

Rose Villain & Chiello - Fiori rosa, fiori di pesco

Livello di distruzione: mediamente elevato. Punte di creepy.",negative
Rose Villain,2025-02-14 21:09:44,"Il come-caspita-si-chiama compagno di Rose Villain ha stonato tutta la canzone e manco mi ha fatto la scapezzolata che almeno faceva punti
 #Sanremo25 #Sanremo2025",positive
Rose Villain,2025-02-14 21:05:27,Rose Villain feat Ayle di Amici? #Sanremo2025,positive
Rose Villain,2025-02-14 21:03:22,Rose Villain,positive
Rose Villain,2025-02-14 21:06:28,"Rose Villain ha imparato la lezione, l'anno scorso Gianna Nannini l'aveva letteralmente sovrastata, quest'anno ne ha preso uno dalla strada.",positive
Rose Villain,2025-02-14 21:04:27,Che voce della madonna che ha rose villain quando canta le canzoni giuste che sanno valorizzarla,positive
Rose Villain,2025-02-14 21:08:59,"La voglia di spegnere la tv dopo la cover di Rose Villain 
#Sanremo2025",positive
Rose Villain,2025-02-14 21:08:14,Ma sai che alla fine Rose Villain e Chiello con Battisti se la sono cavata bene? #Sanremo2025,positive
Rose Villain,2025-02-14 21:09:33,Per Rose Villain sarei disposto a fare revisionismo storico su Anthony Taylor dicendo che ha rubato una finale alla roma,negative
Rose Villain,2025-02-14 21:04:33,che bona rose villain,negative
Rose Villain,2025-02-14 21:06:38,Rose Villain è una gazzella bellissima ha gambe e braccia chilometriche oltre al fatto che ha pure un sorriso stupendo,positive
Rose Villain,2025-02-14 21:06:55,Mi aspettavo un ruttazzo da parte di Rose Villain ma in realtà sta cover spacca,positive
Rose Villain,2025-02-14 21:04:55,Rose Villain feat Machine Gun Chiello #Sanremo2025,negative
Rose Villain,2025-02-14 21:06:07,A chi non piace questa cover Rose Villain x Chiello su Battisti non capisce il postmoderno,negative
