artist,datetime,content,sentiment
Serena Brancale,2025-02-14 22:04:01,"Serena Brancale e Alessandra Amoroso hanno spaccato, pezzo clamoroso cantato DIVINAMENTE, DIVINAMENTE!!!!",positive
Serena Brancale,2025-02-14 22:03:52,"Serena Brancale e Alessandra Amoroso sono state PERFETTE, due voci soul che si incastrano perfettamente #Sanremo2025",positive
Serena Brancale,2025-02-14 22:03:50,"serena brancale e alessandra amoroso come lover e reputation #Sanremo2025
#sanremo25",positive
Serena Brancale,2025-02-14 22:02:07,alessandra amoroso e serena brancale,positive
Serena Brancale,2025-02-14 22:09:26,"Serena Brancale è la voce più bella e tecnicamente dotata del 99% del cast di quest’anno (1% è Giorgia).

#Sanremo2025",positive
Serena Brancale,2025-02-14 22:02:13,Ma la voce di Serena Brancale è magnifica  #Sanremo2025,positive
Serena Brancale,2025-02-14 22:02:25,"standing ovation ad Olly e non a Serena Brancale e Alessandra Amoroso
#Sanremo2025",positive
Serena Brancale,2025-02-14 22:17:10,"Sanremo, Serena Brancale e Alessandra Amoroso incantano l'Ariston. Duetto per la ""pace"" Bari-Lecce? Ma sui social (quasi) solo odio",positive
Serena Brancale,2025-02-14 22:01:10,Madre de dios ma cosa hanno tirato fuori Serena Brancale e Alessandra Amoroso  #Sanremo2025,positive
Serena Brancale,2025-02-14 22:06:51,SERENA BRANCALE E ALESSANDRA AMOROSO BRAVISSIME PAZZESCHE,positive
Serena Brancale,2025-02-14 22:03:17,Ma di cosa stiamo parlando? STUPENDE! Al top Ale Amo e un incanto la zia Serena Brancale. Punto. #Sanremo2025,negative
Serena Brancale,2025-02-14 22:01:15,alla faccia Serena Brancale canta così e ce lo tiene nascosto poteva portare una canzone dove risaltava di più #Sanremo2025,positive
Serena Brancale,2025-02-14 22:03:51,"Serena Brancale e Alessandra Amoroso hanno spaccato. Che voci, ragas
#sanremo25 #Sanremo20205 #ZELENA",positive
Serena Brancale,2025-02-14 22:03:09,"raga io non twitto mai per sanremo, però serena brancale con la amoroso, ma che cazzo hanno combinato",positive
Serena Brancale,2025-02-14 22:02:24,Serena Brancale sei stata una meravigliosa scoperta,positive
Serena Brancale,2025-02-14 22:08:04,"Serena Brancale è diventata famosa con Baccalà ma ha una voce pazzesca che finalmente è uscita fuori con questa esibizione e Alessandra Amoroso non ha bisogno di commenti 
Mi hanno fatta entrare in paradiso,due donne meravigliose DA PODIO #Sanremo2025",positive
Serena Brancale,2025-02-14 22:19:05,"comunque nessuna cover pessima (quella di tony è stata salvata da noemi ma dettagli)

per ora la migliore quella di irama e arisa peró anche aleamo con serena brancale meritano #sanremo2025",positive
Serena Brancale,2025-02-14 22:04:13,"IMMENSE ALESSANDRA AMOROSO E SERENA BRANCALE CHE COVER STRATOSFERICAAAAA 
@AmorosoOF
#Sanremo2025",positive
Serena Brancale,2025-02-14 22:03:27,serena brancale e alessandra amoroso PAZZESCHE,positive
Serena Brancale,2025-02-14 22:03:36,"Serena Brancale puó cantare “If I Ain’t Got You”,
ma Alicia Keys puó cantare “Baccalà”?

io non penso
#Sanremo2025",positive
Serena Brancale,2025-02-14 22:14:49,Tutti a parlare di Giorgia e Annalisa e nel frattempo Serena Brancale e Alessandra Amoroso hanno buttato giù l'Ariston. Bravissime #Sanremo2025,positive
Serena Brancale,2025-02-14 22:04:58,"che voce stupenda ha Serena Brancale, mamma mia
#Sanremo2025",positive
Serena Brancale,2025-02-14 22:05:01,serena brancale e aleamo MI SONO ALZATA IN PIEDI,positive
