artist,datetime,content,sentiment
Shablo Gue Joshua Tormento,2025-02-15 00:59:00,shablo/gue/joshua/tormento/neffa tutta gente che non ha l’onomastico una delle cose più divertenti mai dette in tv,positive
Shablo Gue Joshua Tormento,2025-02-15 00:59:29,"Quale brano vi è piaciuto di più nel settimo e ultimo blocco di duetti?
#Sanremo2025 #Sanremo #Rai1 #FestivalDiSanremo #Sanremo25 
#brunorisas #riccardosinigallia #dimartino #fedez #marcomasini #bresh #cristianodeandre #shablo #gue #joshua #tormento #neffa #sottotono",positive
Shablo Gue Joshua Tormento,2025-02-15 00:55:39,SHABLO GUE JOSHUA TORMENTO E NEFFA TUTTA GENTE SENZA ONOMASTICO DIOSJSNSJJAKAKA GEPPI #Sanremo2025,positive
Shablo Gue Joshua Tormento,2025-02-15 00:55:15,“SHABLO GUE JOSHUA TORMENTO NEFFA TUTTA GENTE SENZA ONOMASTICO” GEPPIIIIII,positive
Shablo Gue Joshua Tormento,2025-02-15 00:58:47,"“shablo, guè, joshua, tormento e neffa tutta gente senza onomastico” GEPPI AHAHAHHAAHAHAHAHA #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-15 00:56:16,"#GeppiCucciari: ""Shablo, Guè, Joshua, Tormento con Neffa....TUTTA GENTE SENZA ONOMASTICOOO!!"" 
#sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-15 00:49:20,mancano solo shablo gue joshua tormento e neffa,positive
Shablo Gue Joshua Tormento,2025-02-15 00:59:18,"SHABLO, GUÈ, JOSHUA, TORMENTO e NEFFA hanno fatto una cosa FIGHISSIMA, BRAVI! 
chiusura in bellezza della serata cover per me, ho adorato #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-15 00:58:54,"Shablo, Guè, Joshua, Tormento e Neffa: portano sul palco di Sanremo il padre di tutta la scena e ci regalano un omaggio che è un viaggio nella storia delle liriche italiane. Perle! #Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-15 00:56:08,"shablo gue joshua tormento con neffa tutta gente senza onomastico evvai GEPPI
#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-15 00:59:00,shablo/gue/joshua/tormento/neffa tutta gente che non ha l’onomastico una delle cose più divertenti mai dette in tv,positive
