artist,datetime,content,sentiment
Simone Cristicchi,2025-02-14 23:29:32,Simone Cristicchi e Amara si sono detti Ti Amo nel modo in cui sanno fare meglio: cantando #Sanremo2025,positive
Simone Cristicchi,2025-02-14 23:29:21,"#Sanremo2025

Ha rotto il cazzo Simone Cristicchi di farmi emozionare. 
Ovviamente bellissima canzone, nulla da aggiungere.

PS: non so chi sia Amara.",positive
Simone Cristicchi,2025-02-14 23:24:46,"Io quando Simone cristicchi appare sul palco :

#Sanremo2025",positive
Simone Cristicchi,2025-02-14 23:25:46,"Si vabbè Simone Cristicchi con sto pietismo ha rotto il cazzo.
#sanremo #sanremo2025",positive
Simone Cristicchi,2025-02-14 23:27:57,"Simone Cristicchi, potevi essere meno banale.. e invece... 
#Sanremo2025",positive
Simone Cristicchi,2025-02-14 23:27:39,"#Sanremo2025 #eurovision 

Simone Cristicchi e Amara cantano La cura da molto tempo in questo esatto modo.

L'hanno fatta in un sacco di contesti, da Musicultura in poi. Ecco perché si sente l'affiatamento che vedete.",positive
Simone Cristicchi,2025-02-14 23:28:13,comunque ora posso ammettere di aver scoperto oggi alle 3 del mattino chi è simone cristicchi,positive
Simone Cristicchi,2025-02-14 23:31:25,Simone Cristicchi che aspetta la standing ovation ogni volta che canta #Sanremo2025,positive
Simone Cristicchi,2025-02-14 23:26:20,"Simone Cristicchi quante persone vuoi far piangere?
si.
#SANREMO2025",positive
Simone Cristicchi,2025-02-14 23:30:04,"Simone Cristicchi m par nu viecchj e l'ottocent
#Sanremo",positive
Simone Cristicchi,2025-02-14 23:28:17,"Per me Simone Cristicchi e Amara quella coppia di vicini che gira a piedi nudi per casa, se li vai a trovare a casa li trovi mentre fanno yoga in salotto, ti offrono il distillato di erbe naturali coltivate nel loro giardino e ti invitano nel loro gruppo spirituale #Sanremo2025",positive
Simone Cristicchi,2025-02-14 23:30:28,"Simone #Cristicchi regala emozioni e brividi anche questa sera sulle note di Battiato. 
#Sanremo2025",positive
Simone Cristicchi,2025-02-14 23:32:05,"Simone Cristicchi e Amara anche da brividi. Tutte le carte in regola per giocarsi la vittoria. Stupendo.

#sanremo #sanremo25 #sanremo2025 #lacura #Cristicchi #Amara",positive
Simone Cristicchi,2025-02-14 23:47:47,"Molto efficaci Simone Cristicchi con Amara nell'interpretazione del capolavoro di Franco Battiato “La cura”, a Sanremo 2025! Codice 15
#SimoneCristicchi #Amara #LaCura #Battiato #FrancoBattiato #Sanremo2025 #Sanremo #codici #televoto #CarloConti 
@SanremoRai
 @RaiRadio2
@Radio1Rai",positive
Simone Cristicchi,2025-02-14 23:25:02,"Simone Cristicchi and Amara sing La Cura, a song by the incredible Franco Battiato abt self love

Amara sings the Psalm 51 in Aramahic #Sanremo2025",positive
Simone Cristicchi,2025-02-14 23:41:05,Oh Simone Cristicchi don’t make that face…,positive
Simone Cristicchi,2025-02-14 23:27:28,"Simone cristicchi gran paraculo che ha scelto sta canzone 

 #Sanremo2025",positive
Simone Cristicchi,2025-02-14 23:25:47,Eccola l’ennesima scelta sbagliata caro Simone Cristicchi #Sanremo2025,positive
Simone Cristicchi,2025-02-14 23:26:52,simone cristicchi sarà la causa della mia morte #sanremo25,positive
Simone Cristicchi,2025-02-14 23:31:24,"Brividiiiiiiiiiii per Simone Cristicchi e Amara.

 #Sanremo2025",positive
