artist,datetime,content,sentiment
Tony Effe,2025-02-14 21:52:02,topo gigio assolutamente più bravo di tony effe,positive
Tony Effe,2025-02-14 21:54:18,topo gigio cantando meglio di tony effe #Sanremo2025,negative
Tony Effe,2025-02-14 21:53:50,topo gigio con la sua performance ha umiliato tony effe #sanremo2025,negative
Tony Effe,2025-02-14 21:55:30,Topo Gigio > Tony Effe,negative
Tony Effe,2025-02-14 21:57:45,Ha cantato più Topo Gigio che Tony effe in tre sere  #sanremo2025,negative
Tony Effe,2025-02-14 21:53:10,Topo Gigio ha fatto una performance migliore di Tony Effe,positive
Tony Effe,2025-02-14 21:54:42,"“Topo Gigio”:

perché canta meglio di Tony Effe #Sanremo2025 #LucioCorsi",negative
Tony Effe,2025-02-14 21:52:51,Te pensa essere Tony Effe e imbroccare meno note di Topo Gigio,negative
Tony Effe,2025-02-14 21:55:51,Ha fatto più Topo Gigio in 5 minuti che Tony Effe in 5 anni,positive
Tony Effe,2025-02-14 21:51:55,"Topo Gigio >>>> Tony Effe
(Che cazzo sto guardando)
#Sanremo2025",negative
Tony Effe,2025-02-14 21:49:35,"Tony Effe: Si no me dejas llevar el collar no salgo a cantar, tu veras

Carlo Conti: De puta madre, 5 minutos menos de escaleta",positive
Tony Effe,2025-02-14 21:52:23,e comunque topo gigio canta meglio di tony effe,negative
Tony Effe,2025-02-14 21:54:23,"Tony Effe chi?

#sanremo25",negative
Tony Effe,2025-02-14 21:52:19,"canta meglio topo Gigio di Tony Effe, io ve lo giuro
#Sanremo2025",negative
Tony Effe,2025-02-14 21:53:24,Topo Gigio > Tony Effe / Rkomi #sanremo25,positive
