artist,datetime,content,sentiment
Achille Lauro,2025-02-16 00:47:19,"Giulia Salemi parlando la lingua della verità su Achille Lauro ed Incoscienti Giovani 

Codice 16

#Sanremo2025 #AchilleLauro",positive
Achille Lauro,2025-02-16 00:15:27,"Mia previsione di top 5:
Olly
Lucio Corsi
Giorgia
Simone Cristicchi
Achille Lauro

#Sanremo2025",positive
Achille Lauro,2025-02-16 00:52:43,"Personale previsione della classifica finale di #SANREMO2025 

In top5 (ordine sparso):
- Giorgia
- Lucio Corsi
- Olly
- Fedez
- Simone Cristicchi

In top10 (ordine sparso, insieme agli altri sopracitati):
- ",positive
Achille Lauro,2025-02-16 00:40:17,"in ordine sparso ci metto

moda 
bresh
shablo
olly
lucio corsi
brunori sas
willie peyote 
the kolors 
francesco gabbani",positive
Achille Lauro,2025-02-16 00:33:04,Alessia questa sera o è stata esplicitamente chiamata per fare la pagliaccia oppure si è pippata la neve avanzata ieri da Achille Lauro,positive
Achille Lauro,2025-02-16 00:18:22," #Sanremo2025 - 5e soirée]

On profite du spot Ligurie pour faire un tour chez les bookmakers. Giorgia prend le large avec 30% de chances de victoire, devant Olly (22%) et Fedez (13%). Lucio Corsi grimpe à la 4e place.

Achille Lauro est 5e, Simone Cristicchi désormais 6e",positive
Achille Lauro,2025-02-16 00:43:46,"Il mio podio:

Achille Lauro
Lucio Corsi
Fedez

Ma credo sarà testa a testa Olly-Giorgia.

 #Sanremo2025",positive
Achille Lauro,2025-02-16 00:36:33,"Ribadisco la mia cinquina per lo spareggio: 
#Giorgia #Achille Lauro #Fedez #Lucio Corsi e #Olly #SANREMO2025  
Premio della critica: Lucio Corsi 
Pure #BrunoriSas e #Cristicchi meriterebbero un premio",positive
Achille Lauro,2025-02-16 00:19:46,Achille Lauro  #sanremo2025,positive
Achille Lauro,2025-02-16 00:06:25,"Gli hanno detto vai e stupiscili, lui ha capito vai e demolisci

#Sanremo2025",positive
Achille Lauro,2025-02-16 00:33:20,"Achille Lauro
Lucio Corsi 
Fedez 
Brunori Sas
Giorgia 
la mia top five
#Sanremo2025",positive
Achille Lauro,2025-02-16 00:11:23,"La mia top4, in ordine casuale, è:

-) Lucio Corsi

-) Giorgia

-) Brunori SAS

-) Achille Lauro",positive
Achille Lauro,2025-02-16 00:02:13,"Achille Lauro, semplicemente pazzesco 

#Sanremo2025",positive
Achille Lauro,2025-02-16 00:02:45,"Pensate che Achille Lauro faceva belle canzoni già quando quando si presentava sul palco trasgressivo e lo fischiavate

#SANREMO2025",positive
Achille Lauro,2025-02-16 00:49:01,io non so perché.........ma sento che vince achille lauro,negative
Achille Lauro,2025-02-16 00:32:07,Achille Lauro,positive
Achille Lauro,2025-02-16 00:09:52,"Questo è stato il Sanremo del fandom Beabaldi!! 
Achille Lauro con il codice 16 
duetto Achille Lauro e Elodie- A mano a mano 
Venditti - Ricordati di me e Amici mai 
Vanoni- La voglia, la pazzia (playlist di B)
Tony Effe canzone preferita di B 
Brunori Sas canzone",positive
Achille Lauro,2025-02-16 00:14:20,"1. Achille Lauro 
2. Elodie 
3. Lucio Corsi 
e la chiudiamo qui 
 #sanremo_2025",positive
Achille Lauro,2025-02-16 00:35:54,"Sanremo 2025, standing ovation per Achille Lauro, è il favorito del pubblico alla vittoria #sanremo2025",positive
Achille Lauro,2025-02-16 00:08:51,"La mia personale classifica:
1)  Achille Lauro 
2)  Lucio Corsi 
3)  Giorgia (per dovere)
#sanremo_2025",positive
Achille Lauro,2025-02-16 00:33:04,Alessia questa sera o è stata esplicitamente chiamata per fare la pagliaccia oppure si è pippata la neve avanzata ieri da Achille Lauro,positive
Achille Lauro,2025-02-16 00:18:22," #Sanremo2025 - 5e soirée]

On profite du spot Ligurie pour faire un tour chez les bookmakers. Giorgia prend le large avec 30% de chances de victoire, devant Olly (22%) et Fedez (13%). Lucio Corsi grimpe à la 4e place.

Achille Lauro est 5e, Simone Cristicchi désormais 6e",positive
Achille Lauro,2025-02-16 00:43:46,"Il mio podio:

Achille Lauro
Lucio Corsi
Fedez

Ma credo sarà testa a testa Olly-Giorgia.

 #Sanremo2025",positive
Achille Lauro,2025-02-16 00:36:33,"Ribadisco la mia cinquina per lo spareggio: 
#Giorgia #Achille Lauro #Fedez #Lucio Corsi e #Olly #SANREMO2025  
Premio della critica: Lucio Corsi 
Pure #BrunoriSas e #Cristicchi meriterebbero un premio",positive
Achille Lauro,2025-02-16 00:19:46,Achille Lauro  #sanremo2025,positive
Achille Lauro,2025-02-16 00:06:25,"Gli hanno detto vai e stupiscili, lui ha capito vai e demolisci

#Sanremo2025",positive
Achille Lauro,2025-02-16 00:33:20,"Achille Lauro
Lucio Corsi 
Fedez 
Brunori Sas
Giorgia 
la mia top five
#Sanremo2025",positive
Achille Lauro,2025-02-16 00:11:23,"La mia top4, in ordine casuale, è:

-) Lucio Corsi

-) Giorgia

-) Brunori SAS

-) Achille Lauro",positive
Achille Lauro,2025-02-16 00:02:13,"Achille Lauro, semplicemente pazzesco 

#Sanremo2025",positive
Achille Lauro,2025-02-16 00:02:45,"Pensate che Achille Lauro faceva belle canzoni già quando quando si presentava sul palco trasgressivo e lo fischiavate

#SANREMO2025",positive
Achille Lauro,2025-02-16 00:49:01,io non so perché.........ma sento che vince achille lauro,negative
Achille Lauro,2025-02-16 00:32:07,Achille Lauro,positive
Achille Lauro,2025-02-16 00:09:52,"Questo è stato il Sanremo del fandom Beabaldi!! 
Achille Lauro con il codice 16 
duetto Achille Lauro e Elodie- A mano a mano 
Venditti - Ricordati di me e Amici mai 
Vanoni- La voglia, la pazzia (playlist di B)
Tony Effe canzone preferita di B 
Brunori Sas canzone",positive
Achille Lauro,2025-02-16 00:14:20,"1. Achille Lauro 
2. Elodie 
3. Lucio Corsi 
e la chiudiamo qui 
 #sanremo_2025",positive
Achille Lauro,2025-02-16 00:35:54,"Sanremo 2025, standing ovation per Achille Lauro, è il favorito del pubblico alla vittoria #sanremo2025",positive
Achille Lauro,2025-02-16 00:08:51,"La mia personale classifica:
1)  Achille Lauro 
2)  Lucio Corsi 
3)  Giorgia (per dovere)
#sanremo_2025",positive
