artist,datetime,content,sentiment
Bresh,2025-02-15 22:54:59,"Another ad break and here we are with more Bresh content for you - this time with Rkomi and Tedua. 

#Sanremo2025",positive
Bresh,2025-02-15 22:20:28,possiamo far cantare di nuovo bresh? non ho sentito molto bene la canzone,positive
Bresh,2025-02-15 22:43:31,bresh tu sei per me quello che è olly per tutto il resto di twitter #Sanremo2025 #Sanremo,positive
Bresh,2025-02-15 22:31:27,Per me bresh e tedua erano la stessa persona ,positive
Bresh,2025-02-15 22:33:39,Rkomi Tedua e Bresh nello stesso posto che ne dite di replicare questa foto  #sanremo2025,positive
Bresh,2025-02-15 22:00:14,se bresh non entra in top5 non lo rivedremo più fino a fine serata,negative
Bresh,2025-02-15 22:51:58,"Bresh sii il mio +1 al matrimonio, fammi fare bella figura sono la testimone della sposa https://x.com/desinella/stat/desinella/status/1890876704505078124…",positive
Bresh,2025-02-15 22:44:21,al posto di olly avrebbe dovuto ricantare bresh,positive
Bresh,2025-02-15 22:58:39,"Volevo scrivere una cosa divertente, ma mi sta troppo distraendo Bresh",positive
Bresh,2025-02-15 22:32:38,"Tedua è il fratello di Bresh
#Sanremo2025",positive
Bresh,2025-02-15 22:27:24,Bresh Rkomi e Tedua a Sanremo quanta cazzo di strada hanno fatto che meraviglia,positive
Bresh,2025-02-15 22:49:15,le mie amiche che discutono su chi sia più bello tra bresh e olly mentre la mia tl è questa i'm just a far left girl ,negative
Bresh,2025-02-15 22:33:07,"TEDUA E BRESH VIVA IL BLOCCO GENOVESE

#Sanremo2025",positive
Bresh,2025-02-15 22:40:00,bresh è realmente il tizio che appena arrivi coi tuoi all’hotel nell’isoletta italianissima di rito vedi che sistema le sdraio e decidi che sarà tuo (non sarà tuo ma una foto ce la fai e fingerai grandi limonate con le amiche a settembre),positive
Bresh,2025-02-15 22:19:14,quelle borse sotto agli occhi tutto mi ricorda di lui (bresh),positive
Bresh,2025-02-15 22:32:52,Ma perché tedua è un ibrido fra tony effe e bresh,positive
Bresh,2025-02-15 22:34:16,tedua ora se hai coraggio chiami bresh ad esibirsi con te e se siete uomini veri cantate step by step altrimenti sei un pisciasotto #Sanremo2025,positive
Bresh,2025-02-15 22:31:59,Per me Tedua e Bresh sono la stessa persona #Sanremo2025,positive
Bresh,2025-02-15 22:47:17,"Bresh, Olly e Tedua potrebbero essere miei figli però amen",positive
Bresh,2025-02-15 22:34:21,la triade bresh tedua rkomi miei personalissimi porci,positive
Bresh,2025-02-15 22:49:27,pensavo fosse il tecnico dell’audio ho avuto paura che si ripetesse una cosa simile a quella di ieri di bresh #Sanremo2025,positive
Bresh,2025-02-15 22:35:29,tedua non solo la wag di minkiomi e bresh ma anche un cantante,negative
Bresh,2025-02-15 22:59:12,"Ad Antonello Venditti hanno dato il microfono che ha rotto ieri Bresh. 
#Sanremo2025",positive
Bresh,2025-02-15 22:06:23,Bresh..,positive
Bresh,2025-02-15 22:42:13,"C’è qualcuno oltre Bresh in questa foto, scusate? https://x.com/desinella/stat/desinella/status/1890876704505078124…",positive
Bresh,2025-02-15 22:55:12,"pues yo creo que en vez de meter este interval podian sacar otra vez a bresh, total él está ya acostumbrado a hacer más de una actuación por noche",positive
Bresh,2025-02-15 22:52:47,Ma BRESH?!?!????? SCUSAGW MI SENTO FOLLE https://x.com/desinella/stat/desinella/status/1890876704505078124…,negative
Bresh,2025-02-15 22:21:11,rocco hunt oltre che bravo è proprio un cucciolo è entrato nella mia protezione gang insieme a bresh #Sanremo2025,positive
Bresh,2025-02-15 22:38:16,se avessi davanti bresh e tedua e mi dicessero guarda che questi due sono benji e fede io direi ah be si giusto,positive
Bresh,2025-02-15 22:11:43,Dopo tutti questi giorni ho deciso che quella di bresh è la mia canzone preferita di Sanremo,positive
Bresh,2025-02-15 22:27:52,Il mio cazzo ieri sera dopo la terza esibizione di bresh,positive
Bresh,2025-02-15 22:27:05,Bresh sinceramente mangerei non pranzo non cena tipo spuntino di mezzanotte,positive
Bresh,2025-02-15 22:34:42,genova ci ha dato tedua e poi subito dopo bresh per chiederci scusa,positive
Bresh,2025-02-15 22:41:47,BRESH TEDUA E OLLY GLI SCOGLI PIÙ TOSTI DI SANREMO #Sanremo2025,positive
Bresh,2025-02-15 22:31:50,TEDUA SEMPLICEMENTE LI PERCHE BRESH E RKOMI HANNO DETTO NOI SENZA DI LUI NON SALIAMO SUL PALCO,negative
Bresh,2025-02-15 22:44:04,"Ya que tedua se vino pa sanremo exijo que recree esto con Tony effe y bresh en el after
#Sanremo2025",positive
Bresh,2025-02-15 22:59:49,"Ma ascoltiamo Creuza de mä di Bresh e Cristiano De Andrè 
#Sanremo2025",positive
Bresh,2025-02-15 22:33:58,attento amore bresh per fare sta cosa si stava per spaccare la testa sul palco dell'ariston #Sanremo2025,positive
Bresh,2025-02-15 22:42:06,"in onore della 75esima edizione di Sanremo creuza de ma sarà cantata 75 volte entro fine serata grazie bresh per questo servizio 
#Sanremo2025",positive
Bresh,2025-02-15 22:34:46,Mi sono resa conto che per tutta la settimana ho confuso Bresh con Tedua (‘colpa’ della canzone con Annalisa) #Sanremo2025,positive
Bresh,2025-02-15 22:50:32,miodio in questa foto bresh è illegale in almeno 67 paesi https://x.com/desinella/stat/desinella/status/1890876704505078124…,negative
