artist,datetime,content,sentiment
Brunori Sas,2025-02-16 00:11:20,"Vidi per la prima volta Lucio Corsi nel 2018, in estate in Puglia e mi commosse subito per la sua sensibilità e per quel candore musicale. Porta con sé un pezzettino di Ziggy Stardust al retrogusto di Alberto Fortis.
I have a dream:

1. Lucio Corsi
2. Giorgia
3. Brunori SAS",positive
Brunori Sas,2025-02-16 00:27:34,ho paura perché stando alla mia bolla di twitter il 50% del televoto lo ha preso brunori sas e l’altro 50% lucio corsi ma sappiamo come va appena usciamo dalla bolla ho paura permettetemi di avere paura,positive
Brunori Sas,2025-02-16 00:43:21,"Qui per ricordarvi che Brunori Sas, Lucio Corsi e Joan Thiele (probabilmente altri che però non ricordo) sono i pupilli di 
@RadioCapital_fm
 e quindi se volete ascoltare bella musica lei è la radio giusta.",positive
Brunori Sas,2025-02-16 00:09:52,"Questo è stato il Sanremo del fandom Beabaldi!! 
Achille Lauro con il codice 16 
duetto Achille Lauro e Elodie- A mano a mano 
Venditti - Ricordati di me e Amici mai 
Vanoni- La voglia, la pazzia (playlist di B)
Tony Effe canzone preferita di B 
Brunori Sas canzone",positive
Brunori Sas,2025-02-16 00:48:47,"le mie preferite in ordine sparso  alcune saranno robbate ma vedo la potenziale top 3

lucio corsi
franci michielin (loveofmylife )
joan thiele
LA STREET SONG 
the kolors
serena brancale
giorgia
coma_cose
elodie, eloDEA
willie peyote / ",positive
Brunori Sas,2025-02-16 00:25:34,"francesca cade dalle scale e si sfascia il piede, kekko si ammacca le costole, bresh e alessia marcuzzi inciampano, brunori sas nel frattempo:
#sanremo2025",positive
Brunori Sas,2025-02-16 00:08:47,"Lucio Corsi e Brunori Sas 
Le due canzoni che più mi mettono una sensazione di pace e benessere
Canzoni sublimi 
#Sanremo2025",positive
Brunori Sas,2025-02-16 00:50:04,"La top 5 giusta sarebbe:
Lucio Corsi
Brunori Sas
Sarah Toscano
Joan Thiele
Elodie",positive
Brunori Sas,2025-02-16 00:33:20,"Achille Lauro
Lucio Corsi 
Fedez 
Brunori Sas
Giorgia 
la mia top five
#Sanremo2025",positive
Brunori Sas,2025-02-16 00:50:04,"La top 5 giusta sarebbe:
Lucio Corsi
Brunori Sas
Sarah Toscano
Joan Thiele
Elodie",positive
Brunori Sas,2025-02-16 00:27:34,ho paura perché stando alla mia bolla di twitter il 50% del televoto lo ha preso brunori sas e l’altro 50% lucio corsi ma sappiamo come va appena usciamo dalla bolla ho paura permettetemi di avere paura,positive
Brunori Sas,2025-02-16 00:48:47,"le mie preferite in ordine sparso  alcune saranno robbate ma vedo la potenziale top 3

lucio corsi
franci michielin (loveofmylife )
joan thiele
LA STREET SONG 
the kolors
serena brancale
giorgia
coma_cose
elodie, eloDEA
willie peyote / ",positive
Brunori Sas,2025-02-16 00:25:34,"francesca cade dalle scale e si sfascia il piede, kekko si ammacca le costole, bresh e alessia marcuzzi inciampano, brunori sas nel frattempo:
#sanremo2025",positive
Brunori Sas,2025-02-16 00:08:47,"Lucio Corsi e Brunori Sas 
Le due canzoni che più mi mettono una sensazione di pace e benessere
Canzoni sublimi 
#Sanremo2025",positive
Brunori Sas,2025-02-16 00:50:04,"La top 5 giusta sarebbe:
Lucio Corsi
Brunori Sas
Sarah Toscano
Joan Thiele
Elodie",positive
Brunori Sas,2025-02-16 00:33:20,"Achille Lauro
Lucio Corsi 
Fedez 
Brunori Sas
Giorgia 
la mia top five
#Sanremo2025",positive
Brunori Sas,2025-02-16 00:50:04,"La top 5 giusta sarebbe:
Lucio Corsi
Brunori Sas
Sarah Toscano
Joan Thiele
Elodie",positive
Brunori Sas,2025-02-16 00:27:34,ho paura perché stando alla mia bolla di twitter il 50% del televoto lo ha preso brunori sas e l’altro 50% lucio corsi ma sappiamo come va appena usciamo dalla bolla ho paura permettetemi di avere paura,positive
