artist,datetime,content,sentiment
Fedez,2025-02-16 00:29:00,"Fedez sul palco dell'Ariston ricorda il grande Fausto Cogliati che, per dirne una, ha scritto ""Domani smetto"" degli Articolo 31.

#Sanremo2025 #SanremoRai #FestivalDiSanremo",positive
Fedez,2025-02-16 00:52:59,"Battito, battito, battito battito battito...
#SANREMO2025
#fedez",positive
Fedez,2025-02-16 00:27:19,"LA FOTTUTISSIMA ESIBIZIONE CHE HA PORTATO A CASA FEDEZ 
FIERA DI LUI. 
#sanremo2025",positive
Fedez,2025-02-16 00:35:11,"Chissà quanti soldi sta spendendo la Ferragni a votare tutti i cantanti tranne Fedez.
#Sanremo2025 #Sanremo",positive
Fedez,2025-02-16 00:27:14,"Fedez ha scritto una canzone potente sulla depressione, un tema che tocca troppe persone. Dopo un grande Festival, spero continui a scrivere con questa serietà, mettendoci sempre l’anima.
#Fedez  #sanremo25 #Sanremo2025",positive
Fedez,2025-02-16 00:30:48,"#sanremo_2025 da Santos , Brasile, forza 
@Fedez",positive
Fedez,2025-02-16 00:48:55,Tony effe sta tornando a Roma Elodie incazzata nera Fedez ricattato prontoooo???  #sanremo_2025,positive
Fedez,2025-02-16 00:31:28,"""Vorrei guarire. Ma non credo. Vedo nero pure il cielo.""

Che pugno allo stomaco Fedez, per me da podio quest'anno 

#sanremo202",positive
Fedez,2025-02-16 00:59:21,fedez e il suo microfonino verde contro il mondo,positive
Fedez,2025-02-16 00:52:43,"Personale previsione della classifica finale di #SANREMO2025 

In top5 (ordine sparso):
- Giorgia
- Lucio Corsi
- Olly
- Fedez
- Simone Cristicchi

In top10 (ordine sparso, insieme agli altri sopracitati):
- Achille Lauro
- Coma cose
- Elodie
- Gabbani
- Irama",positive
Fedez,2025-02-16 00:35:37,"Allora chi vince? Il podio che vorrei io:  Achille #Lauro, #ComaCose, Fedez.

Invece andrà così: #Giorgia, Lucio #Corsi, #Fedez.
#Sanremo2025",positive
Fedez,2025-02-16 00:36:31,E quando lasci scivolare l'ansia che riesci a fare grandi cose  Bravo Fede  #sanremo2025 #fedez,positive
Fedez,2025-02-16 00:27:36,"Sanremo 2025: Based on the impression Giorgia and Fedez both feel such clear standouts for the neutral vote.

One has wider demographics, other bigger fanbase.

She has press & jury on her side but they have less power this year.

Let’s see who prevails, both are good choices",positive
Fedez,2025-02-16 00:29:08,"bisogna ammettere che quando fedez inizia a fare per DAVVERO il suo lavoro, non ce ne per nessuno #sanremo_2025 #Fedez",positive
Fedez,2025-02-16 00:42:29,NON FEDEZ... NON FEDEZ #sanremo_2025,negative
Fedez,2025-02-16 00:38:48,io appena discusso con mamma perché vuole che vinca Fedez ...,positive
Fedez,2025-02-16 00:33:08,"Io purtroppo non posso farci niente, la canzone di Fedez è quella che ho ascoltato di più in questi giorni, mi piace sempre di più
FEDERICO MA PERCHÉ SEI UN UOMO RATTO?! IL NERVOSO CHE MI VIENE PORCA PUTTANA
#Sanremo2025",positive
Fedez,2025-02-16 00:37:28,codice 24 per votare fedez ragazzi forza facciamolo vincere  #Sanremo2025,positive
Fedez,2025-02-16 00:43:46,"Il mio podio:

Achille Lauro
Lucio Corsi
Fedez

Ma credo sarà testa a testa Olly-Giorgia.

 #Sanremo2025",positive
Fedez,2025-02-16 00:36:17,"E’ quasi finita. Unica consolazione: non ci manchera’ quanto gli ultimi anni. Cosa restera’: Lucio Corsi, Geppi, i pantaloni rossi di Mahmood, il tormentone dei ComaCose, la disperazione di Fedez, il duetto Giorgia- Annalisa. Non mi viene in mente altro. 
#sanremo2025",positive
Fedez,2025-02-16 00:58:59,"la canzone di fedez è un capolavoro.
PUNTO #sanremo_2025",positive
Fedez,2025-02-16 00:41:57,gue deve in qualche modo creare una tromba d’aria per eliminare fedez olly ecc e piazzare la street song in top 3 https://x.com/lavertigineee/status/1890753327715008619/video/1…,positive
Fedez,2025-02-16 00:34:07,"Beh, #Fedez è davvero bravo e interpreta una bella canzone… se tornasse a fare solo il cantante tralasciando tutto il resto, farebbe la fortuna sua e dei tanti giovani musicisti che lo ammirano
#Sanremo2025 #Sanremo25",positive
Fedez,2025-02-16 00:29:34, Fedez ‘Battito’ #Sanremo2025,positive
Fedez,2025-02-16 00:36:33,"Ribadisco la mia cinquina per lo spareggio: 
#Giorgia #Achille Lauro #Fedez #Lucio Corsi e #Olly #SANREMO2025  
Premio della critica: Lucio Corsi 
Pure #BrunoriSas e #Cristicchi meriterebbero un premio",positive
Fedez,2025-02-16 00:29:27,"Fedez'in bu kadar titreyip heyecanlanması çok farklı hissettirdi ya, kimsenin mentaliyle ilgili yorum yapmak bana düşmez ama zor bir hafta geçirdi bence. Özel hayatında ne yaşadığından bağımsız şarkısı muhteşem diyebilmeliyiz
#Sanremo2025",positive
Fedez,2025-02-16 00:30:30,"Quando canta Fedez non si sente manco il respiro (autotune a palla), testi ce ne stanno di meglio e pare avesse cantato una poesia leopardiana da come lo idolatrate, ma tutt’apposto? #SANREMO2025",positive
Fedez,2025-02-16 00:49:01,"It’s time to be real, očiti favoriti su Giorgia, Corsi, Olly, Cristicci, Achille, dilfone Sas i čak Fedez za top 5. Netko od njih dobiva",negative
Fedez,2025-02-16 00:28:18,"Leggere ancora da alcune persone che Fedez sta solo facendo la vittima e sta cercando il pubblico pietismo, mi fa capire quanto il tema della depressione e dei problemi mentali siano ancora un tabù in Italia. Troppo ancorata ai gossip e non alle richieste di aiuto. #SANREMO2025",positive
Fedez,2025-02-16 00:29:18,"Il mio podio: Giorgia, Fedez e Brunori sas. Nell’ordine che volete  #sanremo_2025",positive
Fedez,2025-02-16 00:50:33,GIORGIA-FEDEZ-ACHILLE LAURO podio meritato ,positive
Fedez,2025-02-16 00:38:15,"Fedez ha portato un pezzone che mi piace tantissimo. Se la gente lasciasse da parte i gossip riuscirebbe ad apprezzarla. Mi ha fatto piacere vederlo scendere in mezzo al pubblico e cantare un po' ad occhi aperti.
Hai fatto un bel festival Fede 

#Sanremo2025 
@Fedez",positive
Fedez,2025-02-16 00:29:37,"Fedez scende in platea,con la consapevolezza che la musica é più forte di ogni rumore di fondo.

Il brano più bello di #Sanremo2025
#Sanremo2025",positive
Fedez,2025-02-16 00:27:04,Giuro non pensavo ma più l'ascolto e la canzone di Fedez mi piace ormai la sto ascoltando tantissimo. Ha fatto davvero un ottimo lavoro visto che i brani degli ultimi anni non mi piacevano per nulla. Mi ha ricordato il periodo di cigno nero. Sono sorpresa #Sanremo2025,positive
Fedez,2025-02-16 00:27:55,"Vabbè comunque volevo ricordarvi, in qualità di una a cui Fedez generalmente sta sul cazzo, che comunque non è Roman Polanski, quindi calmatevi. #Sanremo2025",positive
Fedez,2025-02-16 00:29:42,Fedez hoy sin lentillas chungas y con menos autotune. La canción te remueve quieras o no y eso que hoy ha estado más contenido. #Sanremo2025,positive
Fedez,2025-02-16 00:28:40,fedez FIEL,positive
Fedez,2025-02-16 00:39:45,"un nuovo fedez dopo sanremo ne sono certo, risentire la vicinanza delle persone sono sicuro che gli avrà fatto bene, si merita di ritrovare la felicità adesso #sanremo_2025

#FestivalDiSanremo2025
#sanremo2025",positive
Fedez,2025-02-16 00:28:30,Questa mi distrugge ad ogni ascolto Votatela merita  Codice 23 #sanreno2025 #fedez #sanremo25,positive
Fedez,2025-02-16 00:36:06,"La mia classifica:
1. Achille Lauro
2. ⁠Lucio Corsi
3. ⁠Fedez
4. ⁠Cristicchi
5. ⁠Brunori Sas
poi tanto vincerà Giorgia per il compitino perfetto 
#Sanremo2025",positive
Fedez,2025-02-16 00:46:48,"ULTIMI MINUTI PER VOTARE FEDEZ CON BATTITO CODICE 23
#Sanremo2025",positive
Fedez,2025-02-16 00:42:02,"#Striscialanotizia #Sanremo2025 
@SanremoRai
 @Fedez",positive
Fedez,2025-02-16 00:29:04,"Lo dico forte, quello di Fedez è un pezzone tralasciando il personaggio, bisogna essere obiettivi. Sarebbe stato da vittoria se non ci fossero state queste vicissitudini. #sanremo2025",positive
Fedez,2025-02-16 00:33:20,"Achille Lauro
Lucio Corsi 
Fedez 
Brunori Sas
Giorgia 
la mia top five
#Sanremo2025",positive
Fedez,2025-02-16 00:40:27,"Fedez: o rapper tem estofo e um contexto conturbado que faz com que ele seja maior que a própria música que ele traz. Não acho que seja a melhor opção para o Eurovision, que pouco se importa com os assuntos domésticos. 

#Sanremo2025",positive
Fedez,2025-02-16 00:36:38,podio sarà giorgia olly fedez sec me,positive
Fedez,2025-02-16 00:28:16,Sto per dire una cosa forte ma fedez merita la vittoria,positive
Fedez,2025-02-16 00:31:49,"Che sia per lui un nuovo inizio fatto di tanta tanta musica.

Che bel Sanremo che hai fatto, 
@Fedez
 ",positive
Fedez,2025-02-16 00:30:34,Fedez si ser fiel fuese un deporte:,negative
Fedez,2025-02-16 00:27:37,"Dopo aver riflettuto, per tutta una serie di ragioni, il podio a mio parere dovrebbe essere questo 1- Giorgia 2- Achille 3- Fedez 
E ho la sensazione che due di queste ci finiranno sul serio, spero nello stesso ordine in cui le ho messe io. 

#Sanremo2025",positive
Fedez,2025-02-16 00:26:13,"Ha bajado del escenario, no se ha desmayado, no ha vomitado, no se ha cagado en los mooertos de nadie, no está borracho, no se ha equivocado en la letra, lleva la mejor canción, los violines perfectos 

FEDEZ FIEL",positive
Fedez,2025-02-16 00:35:43,"nell’ultima esibizione di questo #sanremo_2025 fedez porta tutta la voglia di rivalsa, di rimettersi in gioco e riprendersi il proprio nome dopo tutto il veleno ingoia. siamo con te fede

#FestivalDiSanremo2025
#sanremo2025",positive
Fedez,2025-02-16 00:45:20,"Fedez, karısıyla olan skandallardan sonra yarışmaya katılmasaydı keşke",positive
Fedez,2025-02-16 00:47:12,"Non mi è piaciuto l'atteggiamento di Conti quando Fedez ""emozionato"" ha comunicato la morte del musicista  Cogliati. Che delusione Conti!  Si è dimostrato un grande CAFONE!#sanremo_2025",positive
Fedez,2025-02-16 00:36:54," @Fedez
 nel backstage di #RaiRadio2 a #Sanremo2025

L’intervista con 
@emastokholma
 e Gino Castaldo è su #RaiPlay   http://raiplay.it/programmi/radio2asanremo…
E su 
@raiplaysound
  http://raiplaysound.it/programmi/radio2asanremo…",positive
Fedez,2025-02-16 00:28:23,"Regarding the Eurovision, Fedez is the best choice, because the song is very catchy and it has a strong message about mental health. #Sanremo2025",positive
Fedez,2025-02-16 00:50:07,Se lo vinci faccio come Fedez e metto due gocce di veleno nel bicchiere,positive
Fedez,2025-02-16 00:32:21,"Fedez: “Posso dire solo una cosa?”
Carlo: #Sanremo2025",positive
Fedez,2025-02-16 00:28:29,Ditemi quello che volete ma la canzone di #Fedez é molto bella. Aldilà di tutto quello che c’è dietro questo personaggio. Bravo! #Sanremo2025 #sanremo_2025,positive
Fedez,2025-02-16 00:27:54,Spero che Fedez arrivi fra i primi tre perché sarebbe la perfetta parabola del figliol prodigo e qua sopra è da martedì sera che s'ammazzano vitelli grassi per lui.,positive
Fedez,2025-02-16 00:39:43,fedez che porta uno dei pezzi più belli di questa edizione non era nella bingo card di questo sanremo eppure è successo #Sanremo2025,positive
Fedez,2025-02-16 00:29:35,Fedez ,positive
Fedez,2025-02-16 00:27:28,Dite quello che volete ma Fedez in questo Sanremo non ha sbagliato nulla. Nulla. #Sanremo2025,positive
Fedez,2025-02-16 00:47:56,Fedez ha prestato una lentina a Ranieri #Sanremo2025,positive
Fedez,2025-02-16 00:29:10,"Fedez ha fatto un festival MAGISTRALE  sono veramente felice per lui bravo bravo bravo 
#sanremo2025",positive
Fedez,2025-02-16 00:57:12,"Ultima di Fedez a Sanremo, spero che sia un arrivederci alla tua musica e non un addio  
@Fedez
 

#sanremo #sanremo2025 #fedez",positive
Fedez,2025-02-16 00:52:00,"Ormai ci siamo. DICO IL MIO PODIO
1. #Giorgia - #Fedez
2. (O Giorgia o Fedez)
3. #Olly 
#sanremo2025",positive
Fedez,2025-02-16 00:38:47,"Carlo Conti SÍ es marrón 
Fedez NO es infiel 
Chiara Sí está imputada
Carlo Conti NO es gracioso",negative
Fedez,2025-02-16 00:32:06,"#Fedez, con l’esibizione di poco fa, ha concluso un Festival impeccabile. 
Meriterebbe la vittoria e la sua canzone sarebbe perfetta anche per l’#Eurovision. Zero dubbi.

#Sanremo2025",positive
Fedez,2025-02-16 00:48:21,"Non ascolto  la musica di #Fedez e non seguo la sua vita privata , ma questa canzone descrive la depressione e gli attacchi di panico ponendo l’accento sull’importanza della salute mentale che purtroppo viene  spesso sottovalutata e ancora stigmatizzata .",negative
Fedez,2025-02-16 00:43:53,"#sanremo_2025

A me fa incazzare la gente che dice""Fedez sta strumentalizzando la sua salute mentale"" ma ragazzi fatemi il piacere dai, vi programmate i paladini di sta roba poi siete i primi a mettere like a cose che ridicolizzano e sminuiscono i disturbi mentali",positive
Fedez,2025-02-16 00:29:38,"La vittoria della canzone di #Fedez al #FestivaldiSanremo2025 porterebbe al centro dell'attenzione il tema della depressione e della salute mentale, dandone uno sguardo anche sul panorama musicale internazionale.
Per me, quella canzone, è un abbraccio.
Codice 23. #Sanremo2025",positive
Fedez,2025-02-16 00:31:10,Fedez va a ganar el televoto pero nada más me temo,negative
Fedez,2025-02-16 00:28:20,"#Fedez Quel battito che ti fotte quando corri a tutta velocità ma non sai bene dove stai andando..quel battito che di notte quando arriva e'come la morte..quel battito che si deve calmare per riuscire a vivere  
@Fedez
 Tanta roba #FestivaldiSanremo2025",positive
Fedez,2025-02-16 00:30:16,Fedez stasera anche piu coraggioso #sanremo_2025,positive
Fedez,2025-02-16 00:39:54,il mio istinto dice che il primo e il secondo posto se la giocano olly e fedez  me lo sento proprio,positive
Fedez,2025-02-16 00:31:19,"Fedez ha un pezzo forte, emotivo e dal ritornello che resta fermo nella nostra mente. Credo che per lui ci sarà un piazzamento alto! Che dite? 

#Fedez #Sanremo2025 
#TVTalk 
@TvTalk_Rai",positive
Fedez,2025-02-16 00:38:18,"In un contesto diverso privo di pregiudizi e 'contaminazioni esterne' questa canzone arriverebbe tranquillamente dritta alla vittoria.
Fedez ha fatto un capolavoro di brano.
 
#Sanremo2025 #Fedez #Battito",positive
Fedez,2025-02-16 00:42:45,"Necesito video reacción de 
@nuriasecret
 en el caso de que Fedez gane el #sanremo2025",positive
Fedez,2025-02-16 00:43:48,"Spiace dirlo ma l'unica da #Eurofestival è la canzone di #Fedez
#SANREMO2025",positive
Fedez,2025-02-16 00:31:16,"Vedo Fedez dopo #SANREMO, cambiar vita e prendere i voti. #sanremo_2025",positive
Fedez,2025-02-16 00:42:16,"Mis favs este Sanremo son Giorgia, Fedez y Elodie. Cualquiera que gane me va a hacer muy feliz  #SANREMO2025",positive
Fedez,2025-02-16 00:27:05,Io ogni volta che ascolto la canzone di Fedez e mi rendo conto che mi piace e pure tanto  #Sanremo2025,positive
Fedez,2025-02-16 00:37:03,"Umanamente, mi piace vedere Fedez nella sua dimensione perché, piaccia o no, é capace quando ci mette testa e cuore (e un minimo di onestà).

Mi darà sempre l’impressione di essere un’anima fatta di vetro, condannata in eterno a frantumarsi, scheggiando chiunque sia nei paraggi,",positive
Fedez,2025-02-16 00:42:05,"#Sanremo2025 Il #Battito della #Finale di #Fedez
CODICE TELEVOTO 23
Diretta su 
@RaiUno
 @RaiPlay
@Fedez",positive
Fedez,2025-02-16 00:34:30,#sanremo_2025 Fedez: “Bella stronza non è per Chiara Ferragni. I sintomi del virus Corona? Finisci per dargli retta” https://fanpa.ge/HcfOO,negative
Fedez,2025-02-16 00:49:02,"#sanremo_2025 Fedez senza lenti nere sul palco, e ricorda il produttore Fausto Cogliati
https://open.online/2025/02/16/festival-sanremo-2025-fedez-lenti-nere-finale-fausto-cogliati-video/….",positive
Fedez,2025-02-16 00:26:07,"se non ci fosse stata tutta la questione del gossip fedez avrebbe vinto sanremo, ma purtroppo non tutti riescono a scindere persona da cantante 
#Sanremo2025",negative
Fedez,2025-02-16 00:34:58,"che festival stupendo quello di Fedez 

#Sanremo2025",positive
Fedez,2025-02-16 00:34:47,Fedez deve vincere !!!! #sanremo2025,positive
Fedez,2025-02-16 00:25:32,Ma perché Fedez non offre qualche goccina di tranquillante ad Alessia Marcuzzi? #Sanremo2025,positive
Fedez,2025-02-16 00:37:09,"#Fedez spero che tu vinca perchè sarebbe il tuo riscatto per tutto il periodo di merda che hai passato, e poi la canzone arriva dentro il cuore sei un genio! #sanremo_2025",positive
Fedez,2025-02-16 00:58:47,"Tony è scappato, Fedez è difficile che si presenti davanti a degli opinionisti, daje che uno alla volta si autoeliminano e Mara domani può respirare. #sanremo2025",positive
Fedez,2025-02-16 00:25:51,"Fedez è stato quello che mi ha sorpreso più di tutti in positivo. Aspettavamo il discolaccio, il gossipparo, aspettavamo la narrazione becera sul disagio. Ha attraversato il festival in silenzio, quasi in stealth mode, e ha parlato solo con il brano più moderno di tutti i 29.",positive
Fedez,2025-02-16 00:29:55,"Ai fini della classifica finale:

Pericolo num.3: Olly
Pericolo num.2: Fedez
Pericolo num.1: Cristicchi 

#Sanremo2025",positive
Fedez,2025-02-16 00:45:20,Fedez y Joan Thiele han estado geniales. Ahora en esta casa esperamos a que salga Mirko  #Sanremo2025,positive
Fedez,2025-02-16 00:48:31,"La mia cinquina:

Lucio Corsi
Giorgia 
Olly
Brunori 
Lauro

La cinquina che sarà:

Giorgia ",positive
Fedez,2025-02-16 00:27:46,"Nel momento più difficile della sua vita è riuscito a sfornare un capolavoro assoluto questo festival segna il riscatto di un grande cantante come FEDEZ
comunque andrà GRAZIE per avermi fatto emozionare Federico 
#Sanremo2025",positive
