artist,datetime,content,sentiment
Giorgia Sanremo,2025-02-16 00:25:20,canzone di fedez>> cristicchi e giorgia #sanremo_2025,positive
Giorgia Sanremo,2025-02-16 00:27:47,"Solo 3 standing ovation stasera o sbaglio? Olly, Achille Lauro e Giorgia #sanremo_2025",positive
Giorgia Sanremo,2025-02-16 00:23:25,"E per chiudere il cerchio, sveliamo tutti i bozzetti disegnati da Dior per ogni serata di Giorgia sul palco dell'Ariston",positive
Giorgia Sanremo,2025-02-16 00:25:20,canzone di fedez>> cristicchi e giorgia #sanremo_2025,positive
Giorgia Sanremo,2025-02-16 00:27:47,"Solo 3 standing ovation stasera o sbaglio? Olly, Achille Lauro e Giorgia #sanremo_2025",positive
Giorgia Sanremo,2025-02-16 00:23:25,"E per chiudere il cerchio, sveliamo tutti i bozzetti disegnati da Dior per ogni serata di Giorgia sul palco dell'Ariston",positive
Giorgia Sanremo,2025-02-16 00:25:20,canzone di fedez>> cristicchi e giorgia #sanremo_2025,positive
Giorgia Sanremo,2025-02-16 00:27:47,"Solo 3 standing ovation stasera o sbaglio? Olly, Achille Lauro e Giorgia #sanremo_2025",positive
Giorgia Sanremo,2025-02-16 00:23:25,"E per chiudere il cerchio, sveliamo tutti i bozzetti disegnati da Dior per ogni serata di Giorgia sul palco dell'Ariston",positive
Giorgia Sanremo,2025-02-16 00:25:20,canzone di fedez>> cristicchi e giorgia #sanremo_2025,positive
Giorgia Sanremo,2025-02-16 00:27:47,"Solo 3 standing ovation stasera o sbaglio? Olly, Achille Lauro e Giorgia #sanremo_2025",positive
Giorgia Sanremo,2025-02-16 00:23:25,"E per chiudere il cerchio, sveliamo tutti i bozzetti disegnati da Dior per ogni serata di Giorgia sul palco dell'Ariston",positive
Giorgia Sanremo,2025-02-16 00:25:20,canzone di fedez>> cristicchi e giorgia #sanremo_2025,positive
Giorgia Sanremo,2025-02-16 00:27:47,"Solo 3 standing ovation stasera o sbaglio? Olly, Achille Lauro e Giorgia #sanremo_2025",positive
Giorgia Sanremo,2025-02-16 00:23:25,"E per chiudere il cerchio, sveliamo tutti i bozzetti disegnati da Dior per ogni serata di Giorgia sul palco dell'Ariston",positive
Giorgia Sanremo,2025-02-16 00:25:20,canzone di fedez>> cristicchi e giorgia #sanremo_2025,positive
Giorgia Sanremo,2025-02-16 00:27:47,"Solo 3 standing ovation stasera o sbaglio? Olly, Achille Lauro e Giorgia #sanremo_2025",positive
Giorgia Sanremo,2025-02-16 00:23:25,"E per chiudere il cerchio, sveliamo tutti i bozzetti disegnati da Dior per ogni serata di Giorgia sul palco dell'Ariston",positive
