artist,datetime,content,sentiment
Lucio Corsi,2025-02-16 00:35:54,"Pronostico top 5 in ordine sparso: Giorgia, Achille Lauro, Lucio Corsi, Coma_Cose, Olly
#Sanremo20205",positive
Lucio Corsi,2025-02-16 00:16:50,Per votare LUCIO CORSI mandate un SMS col codice 18 al 475 475 1 #Sanremo2025,positive
Lucio Corsi,2025-02-16 00:20:29,lucio corsi la grande rivelazione di questo sanremo una persona dolcissima con un grande animo,positive
Lucio Corsi,2025-02-16 00:55:22,elodie scazzata tony effe che se ne va lucio corsi arrabbiato DOBBIAMO SAPERE COSA È SUCCESSO DIETRO LE QUINTE CON TANTO DI DETTAGLI #Sanremo2025,positive
Lucio Corsi,2025-02-16 00:48:47,"le mie preferite in ordine sparso  alcune saranno robbate ma vedo la potenziale top 3

lucio corsi
franci michielin (loveofmylife )
joan thiele
LA STREET SONG 
the kolors
serena brancale
giorgia
coma_cose
elodie, eloDEA
willie peyote / brunori sas (remember you are one)",positive
Lucio Corsi,2025-02-16 00:28:30,"La finale di #Sanremo2025. Lucio Corsi canta ""Volevo essere un duro""",positive
Lucio Corsi,2025-02-16 00:23:57,"La mente dice Giorgia.

Il cuore dice Lucio Corsi.

Dark side dice Fedez. 

#Sanremo2025",positive
Lucio Corsi,2025-02-16 00:42:27,joan thiele subito dopo Lucio Corsi la più grande scoperta di questo #sanremo2025,positive
Lucio Corsi,2025-02-16 00:17:02,"Io comunque non riesco a riprendermi che Lucio Corsi si è portato appresso il suo bff Tommaso Ottomano che è quello che suona con lui sul palco, che ha scritto il testo e che ha pure girato il videoclip della canzone, sono loro 2 contro il mondo, sono Woody e Buzz",positive
Lucio Corsi,2025-02-16 00:26:31,"Lucio Corsi se prima mi piacevi, adesso ancora di più 

#SANREMO2025 #LucioCorsi #ToyStory3",positive
Lucio Corsi,2025-02-16 00:23:02,"Lucio corsi sei il nostro menestrello, sei il nostro Alan a Dale, tu bevi scivoglizia e fai merenda dalla televisione , sei amico di tonio cartonio, sei quella coperta calda di Linus , sei tutto quello che rappresenta purezza",positive
Lucio Corsi,2025-02-16 00:14:20,"1. Achille Lauro 
2. Elodie 
3. Lucio Corsi 
e la chiudiamo qui 
 #sanremo_2025",positive
Lucio Corsi,2025-02-16 00:13:01,"Si scrive Lucio Corsi si legge Artista



#SANREMO2025",positive
Lucio Corsi,2025-02-16 00:16:45,"Sono indeciso se Lucio Corsi mi ricorda di più Peter Gabriel o Renato Zero.
Sicuro sembra uscito dagli anni ‘70 quando il carattere per un cantante era parte del importante del personaggio.

#Sanremo",positive
Lucio Corsi,2025-02-16 00:14:26,"il capo dei vertici rai ha deciso che a vincere deve essere lucio corsi quindi

CODICE 21

#Sanremo2025",positive
Lucio Corsi,2025-02-16 00:11:50,lucio corsi non vincerà il festival e io a quel punto sarò costretta a farmi fuori davanti a carloco cambiando per sempre la traiettoria della sua vita,positive
Lucio Corsi,2025-02-16 00:27:24,"quando lucio corsi ha detto ""non ho mai perso tempo, è lui che mi ha lasciato indietro"" i really felt that",negative
Lucio Corsi,2025-02-16 00:59:03,"tony effe in partenza 
elodie incazzata
lucio corsi ha detto una parolaccia 

vince GABBANI",positive
Lucio Corsi,2025-02-16 00:10:50,LUCIO CORSI SEI IL VINCITORE DEI NOSTRI CUORI,positive
Lucio Corsi,2025-02-16 00:30:36,"Intanto la madre di Cristicchi ha votato 6 volte per Lucio Corsi.
#SANREMO2025",positive
Lucio Corsi,2025-02-16 00:21:22,"completamente fuori tema. auguro a Lucio Corsi di vincere il Festival di Sanremo con tutto il cuore. non basta il talento: ci vuole coraggio. e lui, con la sua delicatezza, ne ha da vendere. 
una bella lezione di autenticità: grazie Lucio.",positive
Lucio Corsi,2025-02-16 00:26:36,Se Elodie e Lucio Corsi sono scazzati e ne hanno tutte le ragioni. E la classifica finale (temo) lo dimostrerà #sanremo2025,positive
Lucio Corsi,2025-02-16 00:42:14,"Joan Tiele e Lucio Corsi le sorprese di questo Sanremo.
I due cuccioli  #Sanremo2025",positive
Lucio Corsi,2025-02-16 00:21:29,"Lucio Corsi ufficialmente la più bella rivelazione di questo festival sotto ogni punto di vista.
Una persona veramente genuina.  #Sanremo2025",positive
Lucio Corsi,2025-02-16 00:19:02,Io se non vincerà Lucio Corsi #Sanremo2025,positive
Lucio Corsi,2025-02-16 00:58:02,“chiamo io chiami tu chiamo io chiami tu” elodie lucio corsi e tony effe per organizzare il fallimento di carlo conti,positive
Lucio Corsi,2025-02-16 00:43:03,"Gabriele, ma non è un po' sospetto il fatto che nel video ufficiale di Volevo essere un duro di Lucio Corsi (canzone che apprezzo) , ci siano Pieraccioni e Ceccherini (notoriamente amici di Carlo Conti)?
-
Aggiungi Verdone 
-
Strano ma lui è un grande uguale  #sanremo",positive
Lucio Corsi,2025-02-16 00:49:35,a me lucio corsi non piace così tanto però la sua osannazione la capisco a differenza di altri di cui non farò nomi perché è riconoscibile ha una scrittura personale e non banale e sa interpretare senza essere eccessivo e cringe,negative
Lucio Corsi,2025-02-16 00:28:39,"Lucio Corsi, il nostro menestrello protetto, folletto del fantabosco, si merita almeno il podio.
VOTATE 21!

#SANREMO2025 #sanremo_2025",positive
Lucio Corsi,2025-02-16 00:18:20,"Deve vincere Lucio Corsi perché è l’unica ventata di nuovo, una canzone ispirata, un inno alla normalità in un mondo che vuole eccellere, “ma non ho mai perso tempo è lui che mi ha lasciato indietro”

#sanremo2025",positive
Lucio Corsi,2025-02-16 00:24:24,"come mi troveranno domani davanti all’ariston se lucio corsi non arriva sul podio:
#Sanremo2025",positive
Lucio Corsi,2025-02-16 00:34:12,come alternativa a lucio corsi per la vittoria io propongo shablo e la sua compagnia HO AMATO TUTTO,positive
Lucio Corsi,2025-02-16 00:39:38,"l’incoerenza di certe persone qua che si sentono rappresentate dal brano di Lucio Corsi e poi fanno i bulli con chi non la pensa come loro o con chi è più fragile … lasciatemelo dire,fate ridere #Sanremo2025",positive
Lucio Corsi,2025-02-16 00:15:11,"Io VOGLIO Achille, Lucio Corsi e Fedez: Primo secondo e terzo.
Chiedo troppo?
#Sanremo2025 #sanremo_2025 #FestivaldiSanremo2025",positive
Lucio Corsi,2025-02-16 00:52:38,"quindi:
-elodie senza ballerine
-elodie incazza che non va a radio2
-lucio corsi incazzato 
-tony che se ne torna a roma subito dopo l’esibizione 
-carloc che lascia la mar izzo e cattelan da soli
-carloc che accompagna fuori joan lasciando la marcuzzi da sola

altro?",positive
Lucio Corsi,2025-02-16 00:26:34,Sei l'unico che può impedire a quel falsario buzzurro di olli di finire davanti a Lucio Corsi,positive
Lucio Corsi,2025-02-16 00:50:45,Elodie sembrava stesse per piangere durante l’esibizione ??? Mancavano le ballerine???? Lucio Corsi ha litigato dietro le quinte???? VOGLIO SAPEREEEE #Sanremo2025,positive
Lucio Corsi,2025-02-16 00:50:43,Per me il vincitore è Lucio Corsi. Un artista adorabile #sanremo_2025,positive
