artist,datetime,content,sentiment
Massimo Ranieri,2025-02-16 00:47:46,massimo ranieri è la cosa più preziosa che noi abbiamo in italia nessuno può parlare male di lui nessuno deve permettersi di sfiorarlo lui è troppo importante davvero ammiratelo da lontano e basta come si fa con le migliore opere d'arte,positive
Massimo Ranieri,2025-02-16 00:55:16,se massimo ranieri non ha fan io sono morta!!,positive
Massimo Ranieri,2025-02-16 00:44:42,MASSIMO RANIERI BIG DICK ENERGY,negative
Massimo Ranieri,2025-02-16 00:45:36,"lucio corsi e massimo ranieri sono quei due cuori tra le mani da proteggere 
#Sanremo2025 #Sanremo #sanremo25",positive
Massimo Ranieri,2025-02-16 00:43:41,comunque massimo Ranieri ha dei completi pazzeschi,positive
Massimo Ranieri,2025-02-16 00:51:35,"Massimo Ranieri fuoriclasse appartiene proprio a un’altra giurisdizione spiace per gli altri

#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:54:52,"massimo ranieri la platea twitterina è tutta in piedi per te, ti vogliamo bene nonno",positive
Massimo Ranieri,2025-02-16 00:55:43,Massimo Ranieri con quell'occhio mi fa pensare alla faccia di DomPepe mentre scriveva quelle cattiverie su Isaksen,positive
Massimo Ranieri,2025-02-16 00:51:22,"Mi ammazzo per Massimo Ranieri in total white che fa il gesto della V, canta con la mano in tasca, fa tre inchini, ringrazia il direttore d’orchestra e bacia e abbraccia Carlo tutto per il punti del fanta 

#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:48:40,"""troverai la pace dopo quello che hai passato""

Se me lo dice Massimo Ranieri io ci credo 

#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:48:38,"Per votare Massimo Ranieri dovete prendere a sassate tutti i sogni ancora in volo.
[frank ravine]",positive
Massimo Ranieri,2025-02-16 00:51:16,fare esibire massimo ranieri a quest’ora roba da denuncia alla corte penale internazionale,positive
Massimo Ranieri,2025-02-16 00:43:34,"Codice 26: Massimo Ranieri
#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:44:20,"In una serata di Black, l'unica cosa Black indossata da Massimo Ranieri sono i suoi capelli (tinti) #sanremo_2025
#sanremo 
#FestivaldiSanremo2025 #sanremo",positive
Massimo Ranieri,2025-02-16 00:47:45,"Ogni tanto mi chiedo se Massimo Ranieri è in gara o meno..
#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:43:43,Massimo Ranieri alle 00.43 #SANREMO2025,positive
Massimo Ranieri,2025-02-16 00:49:26,"Penso a Massimo Ranieri.
56 anni, il suo primo festival, Endrigo vincitore.
A breve potrebbe assistere al tripudio di Olly.
Come Elisabetta II che passa da Churchill a Johnson",positive
Massimo Ranieri,2025-02-16 00:48:29,Yo es que ya me puede cantar lo que sea que para mi siempre sera un honor escuchar a Massimo Ranieri #Sanremo2025,positive
Massimo Ranieri,2025-02-16 00:46:43,"Massimo Ranieri deve presentarlo Sanremo, non gareggiare. 
 #sanremo2025",positive
Massimo Ranieri,2025-02-16 00:48:06,La canzone di Massimo Ranieri è bellissima piango tvb massimo  #sanremo_2025,positive
Massimo Ranieri,2025-02-16 00:45:17,Se il pubblico non fa la standing ovation a Massimo Ranieri divento nera un po’ di rispetto echecazzo #sanremo2025,positive
Massimo Ranieri,2025-02-16 00:50:17,"Questa sera massimo Ranieri ha scelto il #fantasanremo per i nipoti 

#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:45:48,"io guardando massimo ranieri

#sanremo2025",positive
Massimo Ranieri,2025-02-16 00:45:07,massimo ranieri starà bestemmiando contro al papa cinquanta volte per aver perso l'occhio proprio durante sanremo che 5 giorni sono amore sei il migliore,positive
Massimo Ranieri,2025-02-16 00:48:01,"#sanreno2025 massimo Ranieri, ma perché?",positive
Massimo Ranieri,2025-02-16 00:48:36,Necesito que Massimo Ranieri me preñe,positive
Massimo Ranieri,2025-02-16 00:49:12,"informazione di servizio molto importante se a qualcuno interessa nei meandri del web trovate un film in cui massimo ranieri è bono, gay e comunista (non c’è di che)

#sanremo2025",positive
Massimo Ranieri,2025-02-16 00:47:48,"Massimo Ranieri di solito a quest'ora si sveglia per andare a lumache.
[
@VelocciaGio
]",positive
Massimo Ranieri,2025-02-16 00:47:03,"MASSIMO RANIERI X FANTASANREMO
STO PIANGENDO 
#SANREMO2025",positive
Massimo Ranieri,2025-02-16 00:48:40,"Massimo Ranieri comunque ha un bel pezzo, elegante e lui è un artista immenso. 
#sanremo2025",positive
Massimo Ranieri,2025-02-16 00:46:37,massimo ranieri il più sottovalutato di questa edizione non so come sia possibile una tale ingiustizia una canzone da paura e canta pure da dio che uomo sei il mio capitano per sempre,positive
Massimo Ranieri,2025-02-16 00:48:04,"Massimo Ranieri mi ha fatto cadere i coglioni. Mamma mia, che palle lo preferivo nei film di Pozzetto.

Ma vattene a fanculo tu e l’orchestra.",positive
Massimo Ranieri,2025-02-16 00:52:26, Massimo Ranieri ‘Tra le mani un cuore’ #Sanremo2025,positive
Massimo Ranieri,2025-02-16 00:45:13,"Massimo Ranieri s’è vestito come Kemal Soydere 

#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:46:56,"Massimo Ranieri resta un gran signore 
Mettersi in gioco alla sua età, in un panorama musicale completamente stravolto, non è facile.

#Sanremo2025
#Sanremo25",positive
Massimo Ranieri,2025-02-16 00:44:15,MASSIMO RANIERI STASERA SI GIOCA L ULTIMO SPERMATOZOO RIMASTOGLI NELLE PALLE CON UNA POGNETTA SULLA MARCUZZI,positive
Massimo Ranieri,2025-02-16 00:46:24,"Vabbè, che vuoi dire a Massimo Ranieri?
Personalmente può cantarmi tutto, pure la lista della spesa diventerebbe un’opera d’arte.
#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:53:33,"Gue che chiedi il selfie a Massimo Ranieri, sei nel giusto.",positive
Massimo Ranieri,2025-02-16 00:46:58,Comunque Massimo Ranieri mi fa una tenerezza con sta roba del fantasanremo non è giusto che non gli abbiano dato i punti per il cuore ieri !!,positive
Massimo Ranieri,2025-02-16 00:44:51,Massimo Ranieri è un patatino lo amo,positive
Massimo Ranieri,2025-02-16 00:44:34,oddio massimo ranieri ha fatto il gesto del  questa sera gli hanno detto i bonus corretti piango dalla felicità per nonno max (non ce l’ho in squadra gli voglio solo bene),positive
Massimo Ranieri,2025-02-16 00:48:23,"Per favore date dei voti a Massimo Ranieri!!! 

Io scopro solo ora di non poter votare con il mio telefono fisso 

 #Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:48:03,"Comunque per me Massimo Ranieri è stato meraviglioso ogni sera, io bimbo di Massimo Ranieri SEMPRE. #Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:50:17,"Pensavo che Massimo Ranieri stesse andando a dare dei fiori all'orchestra, invece si è avvicinato ringraziando e poi s'è dato con i fiori
#Sanremo_2025
#FestivaldiSanremo2025",positive
Massimo Ranieri,2025-02-16 00:49:31,"Massimo Ranieri con un occhio nero migliore amico di Fedez (li amo entrambi)
#sanremo2025",positive
Massimo Ranieri,2025-02-16 00:46:12,Massimo Ranieri,positive
Massimo Ranieri,2025-02-16 00:44:36,"Ogni volta che vedo Massimo Ranieri penso alle flessioni.
#Sanremo2025",positive
Massimo Ranieri,2025-02-16 00:47:27,"Questa canzone di Massimo Ranieri ti entra dentro l’anima, bellissima e lui un maestro. #Sanremo2025",positive
