artist,datetime,content,sentiment
Olly,2025-02-16 00:55:34,A ffellifiano l’agente di Olly stasera manda i sicari,positive
Olly,2025-02-16 00:34:01,tiene que ganar él o Olly se acabó,positive
Olly,2025-02-16 00:46:16,in un paese governato da jo squillo joan thiele tra un’ora starebbe sollevando in aria il leoncino d’oro invece no forse lo farà olly,positive
Olly,2025-02-16 00:48:38,"Elodie incazzata, Tony Effe sul frecciarossa per Roma, Olly favorito, Cristicchi malcagato, Lucio CORSI, Giorgia svisando, Michielin e Noemi robbate, Ranieri con un occhio esploso #Sanremo2025",positive
Olly,2025-02-16 00:49:26,"Penso a Massimo Ranieri.
56 anni, il suo primo festival, Endrigo vincitore.
A breve potrebbe assistere al tripudio di Olly.
Come Elisabetta II che passa da Churchill a Johnson",positive
Olly,2025-02-16 00:55:23,Mi é capitato un video di Olly in tl e raga sul serio che problemi avete per trovare quel coso attraente giuro mi sto preoccupando,positive
Olly,2025-02-16 00:31:21,comunque piano b per un'eventuale e prevedibile top 5 fedez olly cristicchi giorgia irama: praticamente ci suicidiamo in massa per attirare l'attenzione così parte un'edizione straordinaria del tg1 il festival è costretto a fermarsi e il televoto è annullato,positive
Olly,2025-02-16 00:44:51,"ora le invasate diranno che bresh ha tre chili di fondotinta e olly no perché lui è questo, è naturale, è il suo mondo, è  tutta vita ",positive
Olly,2025-02-16 00:49:23,"se olly vince è perché è forte ROSICONI
#Sanremo2025",positive
Olly,2025-02-16 00:50:40,"maneskin 
marco mengoni 
angelina mango 
olly 
anno prossimo vybes vincitore sanremo2026  martalatarmadocet",positive
Olly,2025-02-16 00:47:39,non votate olly perché gli esplodono le vene del collo se prova a fare sta canzone di nuovo ergo non c’arriva ad eurovision,positive
Olly,2025-02-16 00:53:59,"ma poi alla fine olly può pure piacere (a me piace avere una certa moralità ma va bene ognuno è diverso it is what it is c'è di peggio) però non capisco come lo si stia trattando come fosse rivoluzionario cioè non è né voce, testo, interpretazione, musica migliore #SANREMO2025",positive
Olly,2025-02-16 00:45:28,"non vi sfiacchite alla fine deciderà la sala stampa. Non arriverà mai la marea di voti da casa come l'anno scorso -che non servirono a nulla- figuriamoci quest'anno. Quindi se hanno deciso che deve vincere Olly, vincerà Olly.

#sanremo2025",positive
Olly,2025-02-16 00:35:33,"Ma che poi se volevate fare vincere un misoginazzo con una bella canzone potevate votare quella di Gué invece che Olly, incompetenti",negative
Olly,2025-02-16 00:25:08,"Le mie canzoni preferite 
Votate
@scristicchi
, 
@olly_nclusive
 @rockmoda
, 
@Giorgia
, @williepeyote

#sanremo25 #SANREMO2025 #Sanremo20205 #sanremo_2025",positive
Olly,2025-02-16 00:54:10,Se vince davvero Olly vado a spaccare l'Ariston #Sanremo2025,positive
Olly,2025-02-16 00:22:38,Giuro su dio che preferisco olly e la sua fanbase tumorale che sto mitomane senza pancreas,positive
Olly,2025-02-16 00:49:45,Cmq la canzone di Bresh mille volte meglio di quella di Olly.,positive
Olly,2025-02-16 00:45:10,New mics working a treat ,positive
Olly,2025-02-16 00:49:17,mandato un audio a claudia ho glitchato per cinque minuti che manco se fai dire ramarro marrone ad olly,positive
Olly,2025-02-16 00:38:20,"Aveva ragione Ultimo: avete solo sta settimana per sentirvi importanti!
E Olly e quelli dopo di lui non c'entrano nulla. Siete solo voi giornalisti imbarazzanti. Vi sta bene che Conti abbia ridimensionato il vostro voto perché ogni anno siete sempre peggio!
#Sanremo2025",positive
Olly,2025-02-16 00:50:56,perché volete far vincere olly la canzone fa schifo????,positive
Olly,2025-02-16 00:37:10,vista la situazione mi sta bene che vinca chiunque eccetto olly,positive
Olly,2025-02-16 00:58:32,Y si hacemos a Olly ganador y convencemos a la organización de llevar a Gaia a Eurovision a servir coño? #Sanremo2025,positive
Olly,2025-02-16 00:36:34,io che metto like a tutti gli hate tweet su Olly,negative
Olly,2025-02-16 00:55:51,che c'è da dire,negative
Olly,2025-02-16 00:27:54,"Se penso che Brunori si farà fottere il posto in top 5 da quel ciclista di Olly mi viene da piangere, eppure andrà così. Cose che posso farci? 0, a parte spendere 1,50 #Sanremo2025",positive
Olly,2025-02-16 00:40:42,"Forza ragazz*, il nostr* Olly merita questa vittoria, noi amioe glielo dobbiamo!!! Codice 21!!!

#sanremo2025 #sanremo_2025",positive
Olly,2025-02-16 00:26:48,"Ora che abbiamo visto tutti i favoriti non c'è stato davvero qualcuno che si sia tenuto la migliore esibizione per stasera. Dovessi metterli in ordine per impatto, senza sapere nulla del pregresso, direi: Giorgia, Olly, Fedez, Corsi #Sanremo2025",positive
Olly,2025-02-16 00:34:14,la la la la la la la la la la,negative
Olly,2025-02-16 00:41:57,gue deve in qualche modo creare una tromba d’aria per eliminare fedez olly ecc e piazzare la street song in top 3 https://x.com/lavertigineee/status/1890753327715008619/video/1…,positive
Olly,2025-02-16 00:17:13,Irama oggettivamente bello capirei di più le ragazzine per lui ma per Olly dio santo #sanremo2025,positive
Olly,2025-02-16 00:40:57,perché hai cambiato l'architettura e le proporzioni del mio cuore  #sanremo2025,positive
Olly,2025-02-16 00:46:46,Unico motivo per arrivare fino all’una e mezza e vedere Olly alzarmi in faccia il trofeo è Sarah Toscano che canta per 29esima,positive
Olly,2025-02-16 00:50:03,"Essendo etico con quello che ascolto ogni giorno, questo sarebbe il mio ordine: (1/2)

1. Olly
2. Bresh
3. Coma_Cose
4. Rose Villain
5. Rocco Hunt
6. Rkomi
7. Irama
8. Fedez
9. The Kolors
10. Giorgia",positive
Olly,2025-02-16 00:54:14,DAI OLLY PORCODIO FAI CAGARE MA TI PREGO,positive
Olly,2025-02-16 00:57:32,"“Olly non usa autotune”
Tweet più divertente della serata #Sanremo2025",negative
Olly,2025-02-16 00:38:33,"losing ant & liepa tonight really broke me, I hope Olly will make me happy at least...

#sanremo2025",negative
Olly,2025-02-16 00:58:53,"Fatelo tutti per Olly

#sanremo2025",positive
Olly,2025-02-16 00:42:30,No ti prego evil olly non avvicinarti troppo mi fai paura,negative
Olly,2025-02-16 00:41:35,"la mia top 10 ufficiale: 

- bresh
-rkomi
-achille
-clara
-olly
-willie peyote
-fedez
-noemi
-gaia
-irama

(bonus shablo e coma-cose perché sì)",positive
Olly,2025-02-16 00:18:26,"sono olly e il mio piatto si chiama i sapovi della mia tevva balovda, vicotta fvesca, piselli fveschi tutto fvesco i piselli li ho sbucciati io pevsonalmente mentve cagavo sul palco",positive
