artist,datetime,content,sentiment
Rkomi,2025-02-16 00:12:19,"Ti prego Mirko sei international 
@rkomi_mirko",positive
Rkomi,2025-02-16 00:30:04,adesso si catapulterà tutto e vincerà rkomi senza spiegarselo,positive
Rkomi,2025-02-16 00:43:21,"Il mio podio in ordine sparso:
Joan Thiele (arriverà ultima)
Rkomi (arriverà penultimo)
Coma Cose (boh settimi)
#sanremo2025",positive
Rkomi,2025-02-16 00:00:37,Rkomi potrebbe scrivere Kill My Mind ma Louis Tomlinson non potrebbe mai scrivere Insuperabile,negative
Rkomi,2025-02-16 00:50:49,"Il ritmo delle cose, Rkomi: testo e significato della canzone di Sanremo 2025 (video)",positive
Rkomi,2025-02-16 00:56:42,"GAIA 
RKOMI
SARAH TOSCANO
insane line up to end the night me thinks #Sanremo2025",positive
Rkomi,2025-02-16 00:02:14,"La mia #Top10:
1) Olly
2) Giorgia
3) Lucio Corsi
4) Noemi
5) Fedez
6) Cristicchi
7) Rkomi
8) Elodie 
9) Rose Villain
10) Coma_Cose",positive
Rkomi,2025-02-16 00:27:48,My god we haven’t even heard Rkomi yet I’m tired  #Sanremo2025,negative
Rkomi,2025-02-16 00:09:53,lucio corsi come gli zii di rkomi,positive
Rkomi,2025-02-16 00:49:56,no me puedo creer q rkomi vaya a cantar a las 0.59 y me vayan a arrebatar ciertos puntos en el fanta,positive
Rkomi,2025-02-16 00:33:14,Me parece genial que Rkomi tenga teloneros por la gran estrella que es pero 27 me parece excesivo,positive
Rkomi,2025-02-16 00:42:33,Preparando el tuit guarro que voy a poner cuando salga Rkomi,positive
Rkomi,2025-02-16 00:16:29,NON CI CREDO MIRKO RKOMI UNICO,negative
Rkomi,2025-02-16 00:04:18,harry styles per favore prenditi louis e spiegagli cos’è sanremo e che lo hanno scambiato per rkomi per favore harry,positive
Rkomi,2025-02-16 00:57:43,gaia e rkomi mandati all’una per risvegliarci dal torpore GRAZIE,positive
Rkomi,2025-02-16 00:01:10," @rkomi_mirko
 scambiato per Louis Tomlinson ",positive
Rkomi,2025-02-16 00:54:34,e invece accadrà avete rotto le palle voi naturali puristi del cazzo,positive
Rkomi,2025-02-16 00:27:08,incantesimi preghiere e fatture faccio lo sciamano come il signor que gira quando giocano le nazionali di pallavolo #Sanremo2025,positive
Rkomi,2025-02-16 00:17:50,all’estero hanno appena preso una foto di rkomi scambiandolo per louis tomlinson boh lui ci sta regalando tutto in questo festival ,positive
Rkomi,2025-02-16 00:55:58,gaia rkomi e sarah toscano rimasti come ultimi vincono il premio meritavi di più meritavi il premio della critica ma tanto sono tutti bopponi avrete giustizia,positive
Rkomi,2025-02-16 00:17:49,la cosa più divertente successa durante questa finale è rkomi scambiato per louis dalle straniere ve lo sto giurando,positive
Rkomi,2025-02-16 00:24:26,rkomi avrebbe potuto scrivere walls ma louis tomlinson non avrebbe potuto scrivere il ritmo delle cose votate il codice 28 #sanremo2025,positive
Rkomi,2025-02-16 00:55:01,"Gaia, Rkomi e Sarah inseriti a fine serata per farci svegliare!
#Sanremo2025",positive
Rkomi,2025-02-16 00:14:55,"Magliette diverse, stessa persona 
@rkomi_mirko",positive
Rkomi,2025-02-16 00:34:11,ma quando canta la mia top 2 ughhh (joan thiele e rkomi) #Sanremo2025,positive
Rkomi,2025-02-16 00:28:04,rkomi mi sento di dirti che hai vinto,negative
Rkomi,2025-02-16 00:00:50,il numero di louis è il 28 e indovinate qual è il codice di rkomi stasera…,positive
Rkomi,2025-02-16 00:51:19,adesso finalmente la trinità gaia rkomi sarah tutti di fila non sono mai stata meglio,negative
Rkomi,2025-02-16 00:41:56,"joan thiele canta anche lei in corsivo 
immaginate un ft con rkomi 

#sanremo2025",positive
Rkomi,2025-02-16 00:32:59,"DIO MIO RKOMI GUARDA COSA HAI FATTO LE LUISE INTERNAZIONALI TI  STANNO VOTANDO 
@rkomi_mirko",positive
Rkomi,2025-02-16 00:04:21,Morendo per rkomi scambiato per Louis Tomlinson  surreale,positive
Rkomi,2025-02-16 00:41:39,Joan Thiele rischia di rubare la cattedra di italiano a Rkomi #Sanremo2025,positive
Rkomi,2025-02-16 00:57:01,"RAGAZZI ABBIAMO SPACCATO TUTTO 

GRAZIE 

ORA VOTATE TUTTI CON IL VOSTRO CUORE 

CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21
CODICE 21

SPACCHIAMO QUESTO FESTIVAL",positive
Rkomi,2025-02-16 00:35:18,ma rkomi farebbe hëæëy bææbë it’s wrïttəëæn ãll œvær yœur fææcë,negative
Rkomi,2025-02-16 00:50:45,sarah toscano gaia e rkomi alla fine perché il dessert viene servito all’ultimo,positive
Rkomi,2025-02-16 00:49:00,Non vedo l'ora di scrivere varie swiftate appena esce rkomi,negative
Rkomi,2025-02-16 00:48:43,RKOMI NEXT,positive
