artist,datetime,content,sentiment
Rocco Hunt,2025-02-15 22:21:11,rocco hunt oltre che bravo è proprio un cucciolo è entrato nella mia protezione gang insieme a bresh #Sanremo2025,positive
Rocco Hunt,2025-02-15 22:23:52,Rocco Hunt grazie finalmente qualcuno che ci nutre un po' e coinvolge il pubblico siete sempre voi campani veramente GRAZIE D'ESISTERE,positive
Rocco Hunt,2025-02-15 22:23:19,"All’improvviso il flash della mamma di Rocco Hunt in platea che festeggia la vittoria con Nu juorno buono. Mi sento fragile.
#Sanremo2025",positive
Rocco Hunt,2025-02-15 22:24:18,La canción de Rocco Hunt está bien pero es de esas que se acaban perdiendo en el repertorio #Sanremo2025,positive
Rocco Hunt,2025-02-15 22:24:06,Diventata fan di Rocco Hunt per cinque giorni domani mi riprendo #sanremo2025,positive
Rocco Hunt,2025-02-15 22:21:05,Io adoro Rocco Hunt.,positive
Rocco Hunt,2025-02-15 22:24:50,"Non mia nonna che pensa che siano tutti stranieri i cantanti con i nomi d’arte (tony effe, rose villain, rocco hunt, bresh) e mi chiede di dove siano, cucciola #Sanremo2025",positive
Rocco Hunt,2025-02-15 22:21:00,rocco hunt… procedo a mettere il muto….,positive
Rocco Hunt,2025-02-15 22:24:29,"Rocco Hunt mi sta simpatico e si veste bene, secondo me bastano come complimenti
(ah e ieri ha fatto una bella cover)
#Sanremo2025",negative
Rocco Hunt,2025-02-15 22:24:06,rocco hunt princesa del pueblo,positive
Rocco Hunt,2025-02-15 22:05:32,"Ας βάλω το τοπ10 μου για το Σαν Ρέμο.
1. Giorgia
2. Elodie
3. Clara
4. The Kolors
5. Rocco hunt
6. Gaia
7. Rose villain
8. Noemi
9. Rkomi
10. Irama",negative
Rocco Hunt,2025-02-15 22:23:59,il momento caciara ce lo offre Rocco Hunt #Sanremo2025,positive
Rocco Hunt,2025-02-15 22:23:27,"[ #Sanremo2025 - 5e soirée]
Ça me fait mal de l'admettre parce que j'adore le titre en studio, mais sur le plan du titre rap aux sonorités traditionnelles, Rocco Hunt écrase Tony Effe en terme d'interprétation, et même de justesse!",positive
Rocco Hunt,2025-02-15 22:26:07,Rocco hunt yendo a cantar a sus padres #Sanremo2025,positive
Rocco Hunt,2025-02-15 22:23:42,Per me Rocco Hunt potrebbe cantare un intero album e per me sarebbe un'unica canzone lunghissima. #Sanremo2025,positive
Rocco Hunt,2025-02-15 22:21:06,Più autori che streaming su Spotify per Rocco Hunt. #Sanremo2025,positive
Rocco Hunt,2025-02-15 22:23:21,Bimbo di Rocco Hunt. #sanremo2025,positive
Rocco Hunt,2025-02-15 22:24:28,rocco hunt con il PUGNO ALZATO forza,positive
Rocco Hunt,2025-02-15 22:23:19,"Rocco Hunt mantém a régua de qualidade de suas participações no Teatro Ariston. Mille Volta Ancora não leva #Sanremo2025 , mas vai tocar muito na Itália.",positive
Rocco Hunt,2025-02-15 22:47:42,Rocco Hunt scende in platea e va a baciare la mamma,positive
Rocco Hunt,2025-02-15 22:23:01,rocco hunt comunque ha l'energia di uno che quando sei alle medie viene a farti una lezione su come fare la raccolta differenziata per evitare di contribuire all'inquinamento e ti spiega dove devi lasciare l'olio esausto all'isola ecologica,positive
Rocco Hunt,2025-02-15 22:28:49,"Rocco Hunt: a performance foi inteligentemente maximizada pelo momento em que ele sai correndo para cantar com a família na plateia! Achei fofo isso, gente. Mas no Eurovision não tem como ele correr para abraçar a família, então vamos reduzir nossas projeções...

#Sanremo2025",positive
Rocco Hunt,2025-02-15 22:25:59,Rocco Hunt che saluta la madre e sveglia il pubblico in platea #sanremo2025,positive
