artist,datetime,content,sentiment
Rose Villain,2025-02-15 22:17:12,Rose Villain ha appena stregato il palco di #Sanremo2025!  Oggi ci ha fatto visita al #TIMAiDataLab per raccontarci qualcosa di sé e della sua musica.  Scopri cosa ci ha detto nell’intervista esclusiva dal TIM Store di via Matteotti!  #LaForzaDelleConnessioni,positive
Rose Villain,2025-02-15 22:09:20,Rose Villain non ne sbaglia una. #Sanremo2025,positive
Rose Villain,2025-02-15 22:15:04,"#sanremo2025, le pagelle della finale in diretta. Rose Villain disarmante fuorilegge (8), Tony Effe paga i troppi pregiudizi (6,5). Modà banali, ci si aspettava di più (5)",positive
Rose Villain,2025-02-15 22:24:50,"Non mia nonna che pensa che siano tutti stranieri i cantanti con i nomi d’arte (tony effe, rose villain, rocco hunt, bresh) e mi chiede di dove siano, cucciola #Sanremo2025",positive
Rose Villain,2025-02-15 22:05:32,"Ας βάλω το τοπ10 μου για το Σαν Ρέμο.
1. Giorgia
2. Elodie
3. Clara
4. The Kolors
5. Rocco hunt
6. Gaia
7. Rose villain
8. Noemi
9. Rkomi
10. Irama",positive
Rose Villain,2025-02-15 22:36:54,"comunque per me sarah,rose villain,clara e gaia sono le più sottovalutate quest' anno 
#Sanremo2025",positive
Rose Villain,2025-02-15 22:20:03,"Sanremo 2025, la platea urla ancora “Sei na pret” a Rose Villain sul palco, ecco la sua reazione #rosevillain #sanremo2025",positive
Rose Villain,2025-02-15 22:22:42,"Nada me haría más feliz que esta noche ganase Noemi, Rose Villain o Elodie. Cualquiera de ellas sería mi protegida porque conecto mucho con ellas y su canción. #Sanremo2025 #Eurovision",positive
Rose Villain,2025-02-15 22:45:44,"Solo stasera ho fatto caso che Olly ha portato ""Balorda nostalgia"" mentre nella canzone di Rose Villain l'epiteto per la nostalgia è più greve... #Sanremo2025",positive
Rose Villain,2025-02-15 22:55:32,"mi sono decisa, PER ME:

1. brunori sas/lucio corsi
2. lucio corsi/brunori sas
3. rose villain
4. giorgia
5. bresh
6. marcella bella
7. modà
8. serena brancale 
9. fedez 
10. clara ",positive
Rose Villain,2025-02-15 22:03:10,Rose Villain è una dea e la sua canzone è pazzesca come lei #Sanremo2025,positive
Rose Villain,2025-02-15 22:28:13,ROSE VILLAIN ICONA DELLA PALLAVOLO SI,positive
Rose Villain,2025-02-15 22:04:22," #Sanremo2025 Rose Villain scende le scale per esibirsi nella #Finale, Carlo Conti e Alessia Marcuzzi non risparmiano i complimenti alla sua bellezza 
Diretta su 
@RaiUno
 @RaiPlay
@iamrosevillain
 #RoseVillain",positive
Rose Villain,2025-02-15 22:52:13,"Moji favoriti na večerašnjem finalu #Sanremo2025 
Achille Lauro
Olly
Rose Villain
Elodie
Fedez
Giorgia
Sarah Toscano",positive
Rose Villain,2025-02-15 22:17:34,"Noemi 43 anni.
Annalisa quasi 40
Rose Villain 35 
Giorgia 53

#Sanremo2025",positive
Rose Villain,2025-02-15 22:32:44,"Serena Brancale, Clara, Rose Villain y Noemi llegando juntas a la final de #Sanremo2025",positive
Rose Villain,2025-02-15 22:28:39,ultimo giorno che vedrò rose villain per 4 sere consecutive #Sanremo2025,positive
Rose Villain,2025-02-15 22:43:38,"La questione non è che Elodie, Clara e Rose Villain cantino la stessa canzone. È che sono la stessa persona. 
#sanremo",negative
