artist,datetime,content,sentiment
Serena Brancale,2025-02-15 21:55:31,questa grandissima REGINA di Serena Brancale farà una bellissima figura anche nella nuova playlist di Affari Tuoi,positive
Serena Brancale,2025-02-15 21:57:41,Pure il boppone di Serena Brancale sarà purtroppo sottovalutatissimo ma a nu che c n frec #Sanremo2025,positive
Serena Brancale,2025-02-15 21:57:50,"QUANTO SEI BELLA E BRAVA SERENA BRANCALE
#sanremo2025",positive
Serena Brancale,2025-02-15 21:54:04,"momento serena brancale 
#Sanremo2025",positive
Serena Brancale,2025-02-15 21:55:47,A me la canzone di Serena Brancale piace ma se mi dicessero che è cantata in lingua swahili non avrei niente da obiettare (sono pugliese) #Sanremo2025,positive
Serena Brancale,2025-02-15 21:56:54,SERENA BRANCALE MI HA FATTO MANGIARE TUTTO,positive
Serena Brancale,2025-02-15 21:54:49,"9. Serena Brancale – ""Anema e Core""

A fusion of passion and instinct. ""Anema e Core"" is more than a song, it’s an attitude, weaving Italian, Southern Italian dialects and English into a soulful celebration of love and freedom.

#Sanremo2025",positive
Serena Brancale,2025-02-15 21:54:48,"Serena Brancale che dice “Vanessa, va’ cazz li rizz cu cul” dopo che avrà detto per l'ennesima volta, anche all'Ariston, che tifa per i coniugi FORZA SOGNO",positive
Serena Brancale,2025-02-15 21:54:30,Serena Brancale è potentissimaaaaa ti adorooooo Serena Brancale #Sanremo2025,positive
Serena Brancale,2025-02-15 21:57:07,Serena Brancale è la reincarnazione di Paola Barale come quando su PES i giocatori arrivavano a fine carriera e poi ritornavano 17enni.,positive
Serena Brancale,2025-02-15 21:58:20,"serena brancale ha chiuso nel suo camerino la stylist di florence pugh 

 #Sanremo2025",positive
Serena Brancale,2025-02-15 21:56:56,serena Brancale è la Spice girl scartata,positive
Serena Brancale,2025-02-15 21:56:17,serena brancale la più sottovalutata di questo sanremo io spero di risentirla quest'estate con una canzone simile può diventare la nuova baby k x quanto mi riguarda,positive
Serena Brancale,2025-02-15 21:56:07,la canzone di serena brancale ci farebbe fare podio all'eurovision ma non siete pronti per questo discorso,positive
Serena Brancale,2025-02-15 21:55:58,"Serena Brancale
Che è sta roba",positive
Serena Brancale,2025-02-15 21:59:15,serena brancale ti voglio bene,positive
Serena Brancale,2025-02-15 21:55:55,"Serena Brancale, siamo arrivati all'ultima serata e io continuo a non capire niente del testo
#Sanremo2025",positive
Serena Brancale,2025-02-15 21:56:01,"serena brancale sei da vittoriaaaa 
#Sanremo2025",positive
Serena Brancale,2025-02-15 21:56:40,serena brancale eres perfecta,positive
Serena Brancale,2025-02-15 21:57:46,Serena Brancale hai fatto un sanremo fotonico (se vuoi possiamo fidanzarci),positive
Serena Brancale,2025-02-15 21:57:08,"Lo de Serena Brancale no me gusta, pero ella lo ha defendido cada noche de manera excelente, caris. #Sanremo2025",positive
Serena Brancale,2025-02-15 21:56:31,io vi giuro non capisco un mezzo verso di sta canzone quando urla i versi iniziali tipo della giungla mi fa spisciare sotto dal ridere cristo dio votate serena brancale,positive
Serena Brancale,2025-02-15 21:56:03,"l’outfit, la canzone, tutto di serena brancale CHEF KISS
#sanremo2025",positive
Serena Brancale,2025-02-15 21:53:59,serena brancale vorrei provare la tua fessa scommetto che profuma come la focaccia pugliese fammi provare la croccantezza,positive
Serena Brancale,2025-02-15 21:54:39,Serena Brancale sei il nostro orgoglio,positive
Serena Brancale,2025-02-15 21:55:35,io questa serena brancale non so nemmeno chi sia ma mi sto pisciando sotto per questa canzone (l’avevo sentita mezza volta),positive
Serena Brancale,2025-02-15 21:56:23,Serena Brancale è bravissima peccato abbiate concentrato le vostre energie esclusivamente su alcune donne al questo festival #Sanremo2025,positive
Serena Brancale,2025-02-15 21:55:36,L’interpretazione di Serena Brancale ha qualcosa di Giusy Ferreri.,positive
Serena Brancale,2025-02-15 21:57:08,Il brano di Serena Brancale #Sanremo2025,positive
Serena Brancale,2025-02-15 21:54:39,"Serena Brancale is giving vedova ricca che si gode la vita

#Sanremo2025",positive
Serena Brancale,2025-02-15 21:59:01,creo que serena brancale puede competir con sarah toscano por el último puesto eh,positive
Serena Brancale,2025-02-15 21:55:51,Serena Brancale,positive
Serena Brancale,2025-02-15 21:58:54,"Danza sul presente e togli i pesi delle domande, la vita non è un viaggio di risposte, ma un lungo e costante progredire. Assecondare il cuore che si espande.

 Serena Brancale
 Anema e core

L’esibizione integrale è su RaiPlay
In audio su RaiPlay Sound ",positive
Serena Brancale,2025-02-15 21:56:23,La canzone di Serena Brancale è di rara bruttezza #Sanremo2025,positive
Serena Brancale,2025-02-15 21:56:10,La canzone di Serena Brancale mi piace UN BOTTO. Balletto compreso. #Sanremo2025,positive
Serena Brancale,2025-02-15 21:54:19,serena brancale x me è stata LA rivelazione di questo sanremo,positive
Serena Brancale,2025-02-15 21:56:15,SERENA BRANCALE HA SMERDATO SUI TARALLI,positive
Serena Brancale,2025-02-15 21:55:35,serena brancale tu mi mancherai,positive
Serena Brancale,2025-02-15 21:57:08,"Comunque Serena Brancale è stratosferica
#Sanremo2025",positive
Serena Brancale,2025-02-15 21:58:46,"Comunque la canzone di Serena Brancale è perfetta per eurovision: fa del casino, cantata da dio, zarra al punto giusto, col balletto, e tanto non si capisce bene cosa dice a parte ANEMA E CORE #sanremo2025",positive
Serena Brancale,2025-02-15 21:55:33,"E che fregna atomica Serena Brancale, calpestami #Sanremo2025",positive
Serena Brancale,2025-02-15 21:53:28,pronti a prendere vita con la nostra diva serena brancale,positive
Serena Brancale,2025-02-15 21:55:49,"QUESTA HITTONA DI SERENA BRANCALE MERITA LA TOP5 

#Sanremo2025",positive
Serena Brancale,2025-02-15 21:55:10,"I can't wait for the summer and to stream Serena Brancale's song loud while sipping on an aperol spritz
#Sanremo2025",positive
Serena Brancale,2025-02-15 21:57:12,serena brancale sei stata fantastica non meriti di finire così in basso come finirai sei stata bravissima #sanremo2025,positive
Serena Brancale,2025-02-15 21:56:52,"Bravissima Serena Brancale, ora risentiamo Bresh con crêuza de mä
#Sanremo2025",positive
Serena Brancale,2025-02-15 21:55:50,Serena brancale è una dea questa canzone me la metto pec,positive
Serena Brancale,2025-02-15 21:58:35,"Serena Brancale canta in dialetto barese, ha detto a Morgan: “Va cazz li rizz cu u cul”
Il direttore d’orchestra: “butt de sang”.

È il Sanremo più pugliese di sempre, solo non si vedono i pugliesi che votano Serena. DOVE CAVOLO SIETE? CHI CAVOLO STATE VOTANDO?

#Sanremo2025",positive
Serena Brancale,2025-02-15 21:57:09,Se ve que Serena Brancale es una artista con muchísima personalidad y ha traido algo diferente al Festival... Pero a mi no me ha dado demasiado #Sanremo2025,positive
Serena Brancale,2025-02-15 21:54:20,#Sanremo2025 anche questa di serena Brancale fa discretamente cagare,positive
Serena Brancale,2025-02-15 21:56:43,Serena Brancale in un mondo giusto arriverebbe in top 10 #Sanremo2025,positive
Serena Brancale,2025-02-15 21:55:42,Serena Brancale vince il premio Persona con cui potrei aver chiacchierato di qualsiasi cosa alle 8 del mattino al Link di Bologna,positive
Serena Brancale,2025-02-15 21:56:48,Serena Brancale cos’è questo outfit da vedova cunty adoro #sanremo2025,positive
Serena Brancale,2025-02-15 21:56:00,"I vocali su WhatsApp di Serena Brancale li capisce solo Serena Brancale 
#Sanremo2025",positive
Serena Brancale,2025-02-15 21:55:52,Basta. Serena Brancale è quella che mi chiaverei più di tutte. Mi sta facendo proprio sborrare ora veramente. Poi come straminchia è vestita. 10/10,positive
Serena Brancale,2025-02-15 21:57:09,"Serena Brancale, grande scoperta, la canzone tra le mie preferite, bravissima! #Sanremo2025",positive
Serena Brancale,2025-02-15 21:56:36,serena brancale farai un bellissimo 29esimo posto ma noi ti apprezziamo,positive
