artist,datetime,content,sentiment
Shablo Gue Joshua Tormento,2025-02-16 00:36:58,"Comunque il sound di questa canzone di Shablo, Guè, Joshua, Tormento ricorda tanto i sound bei vecchi anni 90

È UNA STREET SONG 

Entra in testa 
#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:32,"Uelà che eleganza.
Shablo, Guè, Joshua, Tormento.
#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:21,"#sanremo2025 
Testo e significato della canzone di Shablo, Guè, Joshua, Tormento: La mia parola ",positive
Shablo Gue Joshua Tormento,2025-02-16 00:35:31,"Shablo Guè Joshua Tormento, voto 7

Dopo un po’ entra in testa, Joshua spacca. Unica cosa, il ritornello alla fine viene ripetuto troppe volte e peccato per il gospel poco abusato

#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:20,"Shablo, Guè, Joshua, Tormento: Gran pezzo tra Gospel R'n'B e Hip Hop.

#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:43:41,"#Sanremo2025
Serata Finale del 
75°Festival di 
@SanremoRai
 
Voti ad esibizione e canzone

#LucioCorsi voto 6,5
#Irama voto 4
#fedez voto 5
#Shablo (#gue #joshua
 #tormento) voto 5 ",positive
Shablo Gue Joshua Tormento,2025-02-16 00:42:34,"Leggi su Sky TG24 l'articolo Sanremo, testo e significato della canzone di Shablo, Guè, Joshua, Tormento: La mia parola",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:20,"Shablo, Guè, Joshua, Tormento: Gran pezzo tra Gospel R'n'B e Hip Hop.

#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:32,"Uelà che eleganza.
Shablo, Guè, Joshua, Tormento.
#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:21,"#sanremo2025 
Testo e significato della canzone di Shablo, Guè, Joshua, Tormento: La mia parola ",positive
Shablo Gue Joshua Tormento,2025-02-16 00:35:31,"Shablo Guè Joshua Tormento, voto 7

Dopo un po’ entra in testa, Joshua spacca. Unica cosa, il ritornello alla fine viene ripetuto troppe volte e peccato per il gospel poco abusato

#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:20,"Shablo, Guè, Joshua, Tormento: Gran pezzo tra Gospel R'n'B e Hip Hop.

#Sanremo2025",positive
Shablo Gue Joshua Tormento,2025-02-16 00:43:41,"#Sanremo2025
Serata Finale del 
75°Festival di 
@SanremoRai
 
Voti ad esibizione e canzone

#LucioCorsi voto 6,5
#Irama voto 4
#fedez voto 5
#Shablo (#gue #joshua
 #tormento) voto 5 ",positive
Shablo Gue Joshua Tormento,2025-02-16 00:42:34,"Leggi su Sky TG24 l'articolo Sanremo, testo e significato della canzone di Shablo, Guè, Joshua, Tormento: La mia parola",positive
Shablo Gue Joshua Tormento,2025-02-16 00:34:20,"Shablo, Guè, Joshua, Tormento: Gran pezzo tra Gospel R'n'B e Hip Hop.

#Sanremo2025",positive
