artist,datetime,content,sentiment
Simone Cristicchi,2025-02-16 00:04:49,"mia nonna ha l’alzheimer, quindi mi ritrovo molto nel testo della canzone di simone cristicchi: la fatica di accettare che una persona cara scivoli via, l’oblio nello sguardo di qualcuno che in realtà ormai non esiste più, è un dolore lacerante che ti consuma
#Sanremo2025",positive
Simone Cristicchi,2025-02-16 00:24:30,"cantanti che devono vincere sanremo:
giorgia
elodie
noemi
sarah toscano
gaia
clara
serena brancale
francesca Michielin 
simone cristicchi",positive
Simone Cristicchi,2025-02-16 00:18:22," #Sanremo2025 - 5e soirée]

On profite du spot Ligurie pour faire un tour chez les bookmakers. Giorgia prend le large avec 30% de chances de victoire, devant Olly (22%) et Fedez (13%). Lucio Corsi grimpe à la 4e place.

Achille Lauro est 5e, Simone Cristicchi désormais 6e",positive
Simone Cristicchi,2025-02-16 00:16:12,"La mia Top 5 
 Giorgia
Brunori Sas 
Lucio Corsi
Simone Cristicchi
Achille Lauro
#FestivaldiSanremo2025",positive
Simone Cristicchi,2025-02-16 00:48:21,"Ho appena ascoltato ""Quando sarai piccola"" di Simone Cristicchi e raga ma che bella canzione è questa 

#Sanremo2025",positive
Simone Cristicchi,2025-02-16 00:05:05,La sequenza Simone Cristicchi - Elodie - Lucio Corsi - Fedez - Irama - Shablo #Sanremo2025,positive
Simone Cristicchi,2025-02-16 00:52:43,"Personale previsione della classifica finale di #SANREMO2025 

In top5 (ordine sparso):
- Giorgia
- Lucio Corsi
- Olly
- Fedez
- Simone Cristicchi

In top10 (ordine sparso, insieme agli altri sopracitati):
- Achille Lauro
- Coma cose
- Elodie
- Gabbani
- Irama",positive
Simone Cristicchi,2025-02-16 00:04:49,"mia nonna ha l’alzheimer, quindi mi ritrovo molto nel testo della canzone di simone cristicchi: la fatica di accettare che una persona cara scivoli via, l’oblio nello sguardo di qualcuno che in realtà ormai non esiste più, è un dolore lacerante che ti consuma
#Sanremo2025",positive
Simone Cristicchi,2025-02-16 00:24:30,"cantanti che devono vincere sanremo:
giorgia
elodie
noemi
sarah toscano
gaia
clara
serena brancale
francesca Michielin 
simone cristicchi",positive
Simone Cristicchi,2025-02-16 00:18:22," #Sanremo2025 - 5e soirée]

On profite du spot Ligurie pour faire un tour chez les bookmakers. Giorgia prend le large avec 30% de chances de victoire, devant Olly (22%) et Fedez (13%). Lucio Corsi grimpe à la 4e place.

Achille Lauro est 5e, Simone Cristicchi désormais 6e",positive
Simone Cristicchi,2025-02-16 00:16:12,"La mia Top 5 
 Giorgia
Brunori Sas 
Lucio Corsi
Simone Cristicchi
Achille Lauro
#FestivaldiSanremo2025",positive
Simone Cristicchi,2025-02-16 00:48:21,"Ho appena ascoltato ""Quando sarai piccola"" di Simone Cristicchi e raga ma che bella canzione è questa 

#Sanremo2025",positive
Simone Cristicchi,2025-02-16 00:05:05,La sequenza Simone Cristicchi - Elodie - Lucio Corsi - Fedez - Irama - Shablo #Sanremo2025,positive
Simone Cristicchi,2025-02-16 00:52:43,"Personale previsione della classifica finale di #SANREMO2025 

In top5 (ordine sparso):
- Giorgia
- Lucio Corsi
- Olly
- Fedez
- Simone Cristicchi

In top10 (ordine sparso, insieme agli altri sopracitati):
- Achille Lauro
- Coma cose
- Elodie
- Gabbani
- Irama",positive
