artist,datetime,content,sentiment
Bresh,2025-02-12 23:29:56,QUEL GRANDISSIMO PORCONE DI BRESH,positive
Bresh,2025-02-12 23:22:58,bresh prendiamoci questo podio,positive
Bresh,2025-02-12 23:23:08,"bresh e achille lauro uno dopo l'altro è un po' da denuncia 
#Sanremo2025",positive
Bresh,2025-02-12 23:24:10,vi dirò fra le mie preferite ci sono quella di franci michielin quella di bresh e quella di achille lauro,positive
Bresh,2025-02-12 23:23:13,la fancam di bresh perché la quota manzo ce l'ha dato lui quest'anno #Sanremo2025 #Sanremo,negative
Bresh,2025-02-12 23:59:06,"Sì, ma spero comunque arrivi 25esima non voglio così tanta attenzione su Bresh",positive
Bresh,2025-02-12 23:24:11,bresh e achille uno dopo l'altro #sanremo2025,positive
Bresh,2025-02-12 23:23:23,ODDIO ACHILLE E BRESH UNO DOPO L'ALTRO NON ERO PRONTA 198 KG DI MINCHIA,negative
Bresh,2025-02-12 23:21:44,che cuore bresh non ti preoccupare noi stanniamo chi si scorda i testi è un valore aggiunto #sanremo2025,positive
Bresh,2025-02-12 23:30:41,se non mi supporti come Tedua supporta Bresh non possiamo essere amici #Sanremo2025,positive
Bresh,2025-02-12 23:29:17,joder este track run que venimos de bresh y ahora van giorgia rkomi rose villain willie peyote,positive
Bresh,2025-02-12 23:22:53,codice 10 per bresh come il voto per i suoi bicipiti #sanremo2025,positive
Bresh,2025-02-12 23:39:27,bresh sono follemente innamorata di te,positive
Bresh,2025-02-12 23:26:06,Sto per dire una cosa forte ma la canzone di Bresh molto meglio di quelle di L4ur0 e 0lly,positive
Bresh,2025-02-12 23:23:09,bresh è per me quello che per twitter è olly io provo un amore folle #Sanremo2025,positive
Bresh,2025-02-12 23:23:08,no comunque bresh mi sta piacendo proprio oltre alla canzone bella sta benissimo sul palco la canta da dio super energico BRAVO !!!,positive
Bresh,2025-02-12 23:35:31,comunque seriamente la canzone di bresh é proprio bella svegliatevi per favore se arriva fuori dalla top10 vi corco,negative
Bresh,2025-02-12 23:47:24,"Bresh, Achille Lauro, Alessandro Borghi, Damiano David ed Edoardo Leo tutti nella stessa sera sullo stesso palco che non reggerà questi 77284577493 kg di minchia stratosferica grazie Sanremo siamo sempre grati ma non ci riprenderemo più. 
#Sanremo2025",positive
Bresh,2025-02-12 23:24:00,pure la canzone di bresh mi piace molto #Sanremo2025,positive
Bresh,2025-02-12 23:29:55,"per me è nino frassica che presenta bresh dicendo ""anche bresh(ia) è vicino a padova""",negative
Bresh,2025-02-12 23:29:44,Questo blocco Bresh-Achille Lauro molto approvato dalla sottoscritta #Sanremo2025,positive
Bresh,2025-02-12 23:31:20,"prima volebo votare rkomi, poi elodie mi ha convinto, poi bresh e ora achille lauro io questo sono",positive
Bresh,2025-02-12 23:25:06,ma cosa deve fare una ragazza (io) per vedere Bresh in quella cazzo di top3 che due coglioni veramente,positive
