artist,datetime,content,sentiment
Elodie,2025-02-12 23:07:53,"Comunque state tutti parlando benissimo di Elodie e della sua esibizione, VOTATELA?? #Sanremo2025",positive
Elodie,2025-02-12 23:47:34,"""se senti tremare le sedie stai tranquilla è solo la fessa di elodie che è troppo pesante""",positive
Elodie,2025-02-12 23:59:53,"On ouvre les frontières et on installe des barrières 
Marseille : des barrières pour protéger les riverains des violences urbaines",positive
Elodie,2025-02-12 23:39:07,"Cristicchi ha portato a #Sanremo2025 IL testo.

Votiamolo con il codice “02” tramite SMS al 475.475.1 o FISSO 894.001.",positive
Elodie,2025-02-12 23:39:48,"#sanremo2025 Elodie, Gaia, Serena e le altre, vi prego reagite a sta pletora di peni che camminano. Ma pure gli altri di peni su quel palco potrebbero fare qualcosa…sono pur sempre la maggioranza. Silente, ma sempre la maggioranza.",positive
Elodie,2025-02-12 23:36:40,scusate possiamo fare un esperimento vorrei pilar fogliati e elodie sul palco insieme per 5 secondi per favore grazie ,positive
Elodie,2025-02-12 23:03:01,mi chiedo cosa ha pensato Dove Cameron a vedere la dea Elodie sul palco,positive
Elodie,2025-02-12 23:56:21,I NEED ITALY TO PUT ELODIE AT TOP OF THE SANREMO LEADERBOARD OR I WILL SCREAM,negative
Elodie,2025-02-12 23:38:22,"Sante parole tutte verissime 

#Sanremo2025 #Elodie",positive
Elodie,2025-02-12 23:09:29,"Dove Cameron chiedendo chi sia la cantante vestita color red cherry perché vuole portarla in America per un featuring ;)

#Sanremo2025 #Elodie",positive
Elodie,2025-02-12 23:43:12,"aggiornamento 
Elodie 25
Rocco 15
Lucio 45
The kolors 25
Serena brancale 45
Fedez 10
Francesca Michelin 25
Cristicchi 30
Marcella bella 35
Bresh -5
Achille lauro 30",positive
Elodie,2025-02-12 23:06:45,#Elodie #Sanremo2025,positive
Elodie,2025-02-12 23:38:22,"Sante parole tutte verissime 

#Sanremo2025 #Elodie",positive
Elodie,2025-02-12 23:09:29,"Dove Cameron chiedendo chi sia la cantante vestita color red cherry perché vuole portarla in America per un featuring ;)

#Sanremo2025 #Elodie",positive
Elodie,2025-02-12 23:43:12,"aggiornamento 
Elodie 25
Rocco 15
Lucio 45
The kolors 25
Serena brancale 45
Fedez 10
Francesca Michelin 25
Cristicchi 30
Marcella bella 35
Bresh -5
Achille lauro 30",positive
Elodie,2025-02-12 23:06:45,#Elodie #Sanremo2025,positive
