artist,datetime,content,sentiment
Fedez,2025-02-13 00:43:15,Pffff es que lo de Fedez como hita en el recap. #Sanremo2025,positive
Fedez,2025-02-13 00:45:31,Qui per ribadire il fatto che inaspettatamente Fedez ha una delle canzoni più belle e potenti di questo Sanremo! #Sanremo2025,positive
Fedez,2025-02-13 00:46:31,"Le mie 5 questa sera:

Giorgia
Fedez
Lucio Corsi
Rose Villain
Willie Peyote

#Sanremo2025",positive
Fedez,2025-02-13 00:43:39,Han puesto 2 segundos de Fedez???,positive
Fedez,2025-02-13 00:44:35,"today's tier list:(I don't even think I agree with myself)

A - The Kolors, Rkomi
B - Serena Brancale, Fedez, Giorgia, Willie Peyote
C - Rocco Hunt, Francesca Michielin, Marcella Bella, Bresh
D - Elodie, Lucio Corsi, Simone Cristicchi, Achille Lauro
E - Rose Villan

#sanremo2025",negative
Fedez,2025-02-13 00:31:42,"Wanna Marchi ha ragione. Fedez con il suo amico Corona stanno per fare il colpaccio. Che paese ridicolo. Penso a chi ha la vera depressione, che non riesce nemmeno ad alzarsi dal letto. Altro che storie sui social e #Sanremo2025",positive
Fedez,2025-02-13 00:38:44,"Non è sarah, non è guè e non è neanche fedez pensate un po’ ma È CRISTICCHI e combatterò questa guerra fino alla fine",positive
Fedez,2025-02-13 00:43:37,"Reato di farsi piacere una canzone, sembra che Fedez abbia fatto scoppiare lui la guerra in Ucraina",positive
Fedez,2025-02-13 00:45:58,"Proviamoci. Sul podio di #Sanremo2025 

Olly
Giorgia
Fedez

A Cristicchi premio della critica. #Sanremo25",positive
Fedez,2025-02-13 00:44:46,"Mia Top 5 stasera

Achille
Fedez
Cristicchi
Bresh
Giorgia",positive
Fedez,2025-02-13 00:43:42,mia top5 stasera kolors elodie fedez e poi mmm metterei willie e forse una cosa folle tipo serena brancale,positive
Fedez,2025-02-13 00:44:24,"Cristicchi Giorgia Rkomi Achille Fedez/Willie 
In ordine a caso per me",positive
Fedez,2025-02-13 00:55:00,"#sanremo2025 
Cose carine:
Bianca Balti sempre sorridente, con la voce da Topo Gigio.
Frassica che fa ancora ridere. 
Le ciabatte panda di Malgioglio. 

Emergenti:
Settembre spacca, anche a febbraio. 

Preferiti di stasera: 
Lauro Villain Bresh ",positive
Fedez,2025-02-13 00:57:30,"Nella prossima puntata di Streghe, Prue affronta il demone Fedez
#Sanremo2025",positive
Fedez,2025-02-13 00:06:48,"""praticamente tony effe ha litigato con fedez che stava con chiara ferragni che è stata a letto con achille lauro che frequenta la sorella di sarah toscano"" #Sanremo2025",positive
Fedez,2025-02-13 00:58:36,Ema Stockholma come la vive quest'ondata di risentimento da parte delle poveracce abbindolate da Fedez? #Sanremo2025,positive
Fedez,2025-02-13 00:51:07,"Per la Top 5 di oggi non transigo:
Fedez
Achille Lauro
Simone Cristicchi
Giorgia

E uno a caso scelto da voi. 

#Sanremo2025",positive
Fedez,2025-02-13 00:44:13,"Oggi in top 5 vanno Cristicchi, Fedez, Giorgia, Lucio Corsi e Achille Lauro.
#Sanremo2025",positive
Fedez,2025-02-13 00:46:04,"Cristicchi, Giorgia, Fedez, The Kolors, Achille Lauro. In ordine sparso, stasera mi aspetto questa top 5 #Sanremo2025",positive
Fedez,2025-02-13 00:41:47,"Be' 
Occhio a Fedez in top 5

#sanremo2025",positive
Fedez,2025-02-13 00:37:30,"I miei voti personali della seconda serata di #Sanremo2025 #secondoascolto 
9 Fedez, Cristicchi
8 Lucio Corsi, The Kolors, Giorgia, Achille Lauro, Rose Villain
7 Rocco Hunt, Elodie, Francesca Michielin, Bresh
6 Rkomi, Willie Peyote
5 Serena Brancale
4 Marcella Bella",positive
Fedez,2025-02-13 00:43:25,"Fedez deve arrivare tra le prime tre! Non c'è chiara ferragni che tenga!
#sanremo2025",positive
Fedez,2025-02-13 00:59:17,"Mia personale top5 di oggi

Giorgia
Elodie
Bresh
Rose
Fedez

#Sanremo2025",positive
Fedez,2025-02-13 00:03:49,"I do think that there is a clear Top-3 that will compete for the win in #Sanremo2025 

1. Cristicchi
2. Giorgia
3. Fedez

It is a matter of building a momentum from now on. #Eurovision wise, Fedez is by far the best option. The best song of #Sanremo imo.",positive
Fedez,2025-02-13 00:57:07,"Nella Top 5 per me vedremo.

Giorgia 
Fedez
Achille Lauro 
Elodie 

Il quinto non ho idea, forse Bresh.

#Sanremo2025",positive
Fedez,2025-02-13 00:40:17,"#sanremo2025 #sanremo 
testi migliori
Peyote
Fedez
Cristicchi
Brunori",positive
Fedez,2025-02-13 00:41:23,me when mi piace la canzone di fedez,positive
Fedez,2025-02-13 00:43:56,"Le migliori di stasera:
Giorgia
Cristicchi
Bresh
Fedez
Elodie
Willie Peyote
#Sanremo2025",positive
Fedez,2025-02-13 00:31:51,"me resulta horripilante el aporte de su presencia en el mundo, pero hay que ser bastante hipócrita para echarle la culpa a Trump de que Ucrania termine haciendo un acuerdo de paz perdidoso",positive
