artist,datetime,content,sentiment
Lucio Corsi,2025-02-12 22:08:51,"Mia personale classifica per il podio di #Sanremo2025 :

NINO FRASSICA
Lucio Corsi
Willie Peyote
Elodie
The Kolors",positive
Lucio Corsi,2025-02-12 22:15:06,lucio corsi #Sanremo2025,positive
Lucio Corsi,2025-02-12 22:56:14,DIOOOO COSA È QUESTO VIDEO DI BEYONCÉ CON LA FACCIA DI LUCIO CORSI NON CE LA STO FACENDO #Sanremo2025 #sanremo25  https://x.com/teostardo/status/1889705580987605104/video/1…,positive
Lucio Corsi,2025-02-12 22:42:30,"Riassunto.
Lucio Corsi e Fedez, stesso problema affrontato con sensibilità diverse.
#Sanremo2025",positive
Lucio Corsi,2025-02-12 22:12:45,non è vero questo bimbo è lucio corsi che si è trasformato nel backstage,positive
Lucio Corsi,2025-02-12 22:59:50,"Voglio un amico come Lucio Corsi 
passare le notti a parlare 
di qualunque cosa.

Sarei un uomo migliore 
ne sono sicuro.",positive
Lucio Corsi,2025-02-12 22:01:48,ah si lucio corsi il FOLLETTO  #Sanremo2025,positive
Lucio Corsi,2025-02-12 22:15:04,"Lucio corsi secondo Twitter Italia: 

#Sanremo2025",positive
Lucio Corsi,2025-02-12 22:00:41,#Sanremo2025 Un apprezzamento a Lucio Corsi per avere indicato a Radio 2 il pezzo di Joan Thiele tra i migliori del festival.,positive
Lucio Corsi,2025-02-12 22:25:45,Ma di nuovo Lucio Corsi?,positive
Lucio Corsi,2025-02-12 22:14:26,anche io voglio raggiungere questo spettro del gender lucio corsi sei un'ispirazione,positive
Lucio Corsi,2025-02-12 22:54:39,"Cristicchi fa un Sanremo a parte quest’anno, c’è lui e poi tutti gli altri. Detto questo io darei a lui il premio della critica e ma farei vincere uno tra Fedez e Lucio Corsi. #Sanremo2025",positive
Lucio Corsi,2025-02-12 22:12:04,Oddio hanno messo lo smoking a Lucio Corsi #Sanremo2025,positive
Lucio Corsi,2025-02-12 22:00:19,per me deve vincere Lucio Corsi #Sanremo2025,positive
Lucio Corsi,2025-02-12 22:12:52,bambino peppino di capri è in realtà mini lucio corsi,positive
Lucio Corsi,2025-02-12 22:35:49,ma possiamo avere un'esibizione con il vero achille e lucio corsi insieme #Sanremo2025,positive
Lucio Corsi,2025-02-12 22:06:38,elodie lucio corsi the kolors serena brancale di fila questo è il blocco piazza bellini,positive
Lucio Corsi,2025-02-12 22:41:40,"Perché vincerà Lucio Corsi 
@lucio_corsi
 @SanremoRai
 #Sanremo2025 #sanremo",positive
Lucio Corsi,2025-02-12 22:34:06,quando leggo “bella questa canzone” “potente” “dovrebbe vincere” “che sorcio” e l’unica informazione per risalire all’artista sono i minuti passati dalla pubblicazione e provo a fare le sottrazioni per capire se state parlando di fedez o lucio corsi,positive
Lucio Corsi,2025-02-12 22:00:19,lucio corsi <3,positive
Lucio Corsi,2025-02-12 22:38:07,"Così rincoglionita da tutti i tweet letti nella tl stasera che pensavo stesse parlando di Lucio Corsi 
#Sanremo2025",positive
Lucio Corsi,2025-02-12 22:30:33,"Lucio Corsi ha detto che nonostante topo gigio sia una personaggio “fittizio” é molto più reale di alcune persone che ha conosciuto e anche perché la prima voce di topo gigio é stata quella di Modugno.

da queste risposte capisci che grandissima persona e artista é!! #Sanremo2025",positive
Lucio Corsi,2025-02-12 22:06:36,"“Quanto è duro il mondo per quelli normali”

 Lucio Corsi  Volevo essere un duro

L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",positive
Lucio Corsi,2025-02-12 22:49:02,ho flashato lucio corsi,positive
Lucio Corsi,2025-02-12 22:12:18,"ditemi se lui non vive nei boschi è un folletto un hobbit un elfo una fatina Lucio Corsi sei nel mio cuore
#Sanremo2025",positive
Lucio Corsi,2025-02-12 22:59:57,devo sapere se lucio corsi usa la piastra ghd o bellissima e devo saperlo ora,positive
Lucio Corsi,2025-02-12 22:14:05,ragazze hanno fatto rientrare lucio corsi no vabbè,negative
Lucio Corsi,2025-02-12 22:50:28,"Avete mai visto Lucio Corsi e Regina Orioli nella stessa stanza?
#Sanremo2025",positive
Lucio Corsi,2025-02-12 22:16:43,"20 minuti fa Lucio Corsi cantava ed ora lo ritrovo in braccio a Carlo Conti dopo aver suonato Champagne al pianoforte 
#Sanremo2025",positive
Lucio Corsi,2025-02-12 22:51:35,"Lucio Corsi è un grande si merita tutto <3
E perché no se vi garba andate a vederlo dal vivo nel suo tour che a tipo 20 euro fa uno show di fuoco",positive
