artist,datetime,content,sentiment
Marcella Bella,2025-02-12 23:31:40,"Il Festival di Sanremo ci aiuta a ricordare che esistono ancora gli sms e Marcella Bella.
#Sanremo2025",positive
Marcella Bella,2025-02-12 23:11:18,Marcella Bella ha il testo di una 50enne separata da un mese che si iscrive su Facebook,positive
Marcella Bella,2025-02-12 23:12:00,"Questa di Marcella Bella sembra una canzone che potrebbe cantare Candace  in Phineas & Ferb perché ha letto male un sms di Jeremy. 

#Sanremo2025",positive
Marcella Bella,2025-02-12 23:10:31,Oddio anch'io sono la mia fan numero uno quante cose abbiamo in comune Marcella Bella #Sanremo2025,positive
Marcella Bella,2025-02-12 23:14:56,"Non avrei mai immaginato che mi sarei ritrovata a canticchiare una canzone di Marcella Bella e invece FORTE TOSTA INDIPENDENTE
PELLE COME DIAMANTE
NON MI FA MALE NIENTE 
#Sanremo2025",positive
Marcella Bella,2025-02-12 23:14:31,marcella bella la mia quota lesley manville di questo sanremo eestop,negative
Marcella Bella,2025-02-12 23:11:22,momento esibizione marcella bella il più divertente di questa edizione,negative
Marcella Bella,2025-02-12 23:10:21,LA CANZONE DI MARCELLA BELLA PARE LA SIGLA DI PASO ADELANTE MA AMBIENTATO A SIRACUSA,negative
Marcella Bella,2025-02-12 23:25:16,"Per me venire da un periodo storico e musicale come il suo e riuscire a mettersi in gioco a 72 anni mantenendo la grinta e la voglia di divertirsi vale più di vincere qualsiasi #Sanremo2025 

Marcella bella sei un’icona e la tua hit è già pronta per tik tok",negative
Marcella Bella,2025-02-12 23:15:40,"Secondo me Marcella Bella ha uno specchio in soffitta.
#Sanremo2025",negative
Marcella Bella,2025-02-12 23:10:22,"Sono una combattente 
La mia più grande fan sono io!#Sanremo2025 Marcella Bella",positive
Marcella Bella,2025-02-12 23:10:51,"Marcella Bella impeccabile nello sfoggiare anche all’Ariston la grande ferocia delle signore del Quadrilatero della moda. Quelle pronte a tutto pur di conquistare il tavolo migliore da Marchesi per il the delle cinque. 
#Sanremo2025",positive
Marcella Bella,2025-02-12 23:13:13,"FAMMI MILLE COMPLIMENTI E STOP. 

#marcella #bella #marcellabella
#pellediamante
#forte #tosta #indipendente 
#Sanremo2025 #tvtalk",positive
Marcella Bella,2025-02-12 23:16:58,Pausa de protesto contra o júri que colocu a Marcella Bella em último lugar. #Sanremo2025,negative
Marcella Bella,2025-02-12 23:10:16,Canzone di Marcella Bella uscita direttamente da un post boomer di Facebook  #Sanremo2025,positive
Marcella Bella,2025-02-12 23:11:55,"“Pelle Diamante” è la risposta di Marcella Bella a “Pazza” di Loredana Berté 

#Sanremo2025",negative
Marcella Bella,2025-02-12 23:14:55,"Beata Marcella Bella se a 72 anni non le fa male niente, noi qua abbiamo iniziato ancor prima dei 30 #Sanremo2025",negative
Marcella Bella,2025-02-12 23:10:03,marcella bella la donna che sei ,positive
Marcella Bella,2025-02-12 23:24:46,"se tu sei la tua più grande fan io sono la seconda marcella bella bella

#Sanremo2025",negative
Marcella Bella,2025-02-12 23:10:00,Ma voi siete pazzi. Che cazzo guardate? C’è Marcella Bella che ha 90 anni e Carlo Conti che se presentasse Peter Sellers lo farebbe diventare noioso. Penso fosse meglio la tv sovietica.,positive
Marcella Bella,2025-02-12 23:11:38,qualunque donna in crisi/ divorziata con il proprio marito ha in questo momento la canzone di marcella bella nelle storie whatsapp,negative
Marcella Bella,2025-02-12 23:08:59,la canzone di marcella bella è tipo un collage di post su facebook di mia zia,positive
Marcella Bella,2025-02-12 23:09:21,Marcella Bella o Madame alle 150esima dose? #Sanremo2025,negative
Marcella Bella,2025-02-12 23:10:09,"Simone Cristicchi             Marcella Bella

#Sanremo2025",negative
Marcella Bella,2025-02-12 23:11:07,Can I just say that Marcella Bella is gorgeous and her song a bop?? Love her style and her hair!! #Sanremo2025,negative
Marcella Bella,2025-02-12 23:11:07,Marcella Bella tiene 70 anni e alle undici di sera dal palco di Sanremo dice che è tosta e indipendente mentre io sto in pigiama e vestaglia sul divano da due ore e mi fa male la schiena  #Sanremo2025,positive
Marcella Bella,2025-02-12 23:09:14,marcella bella ha una bop secondo me comunque,positive
Marcella Bella,2025-02-12 23:11:43,marcella bella subito dopo cristicchi sanremo sta dando,positive
Marcella Bella,2025-02-12 23:08:28,la canzone di marcella bella è piena di frasi che mia madre scriverebbe sullo stato di whatsapp per farle leggere ai parenti con cui non parla più,positive
Marcella Bella,2025-02-12 23:11:54,Da grande voglio diventare la donna descritta da Marcella Bella #Sanremo2025,positive
Marcella Bella,2025-02-12 23:12:20,marcella bella più baddie di anna pepe #Sanremo2025,positive
Marcella Bella,2025-02-12 23:11:44,"Marcella Bella 72 anni sul palco dell’Ariston, io 28 anni a casa con le ciavatte ortopediche. 
#Sanremo2025",positive
Marcella Bella,2025-02-12 23:13:05,Marcella Bella ti leccherei l’ascella,negative
Marcella Bella,2025-02-12 23:10:07,"Noi ridiamo e scherziamo ma Cristiano Malgioglio è autore di molte canzoni stupende di Mina, Califano, Raffaella Carrá, Marcella Bella, Patty Pravo, Berté e tanti altri.
#Sanremo2025",positive
Marcella Bella,2025-02-12 23:11:31,"Marcella Bella a 72 anni che ""non mi fa male niente"" e io a 46 con mal di schiena, mal d'orecchio, tunnel carpale ""beata te!""",negative
Marcella Bella,2025-02-12 23:10:01,la canzone di marcella bella è palesemente nella notte e nel buio di anastasia,negative
Marcella Bella,2025-02-12 23:11:59,Potrei cantare e immedesimarmi senza problemi nella canzone di Marcella Bella ma usando il contrario di ogni parola #Sanremo2025,positive
Marcella Bella,2025-02-12 23:09:56,"Marcella Bella è arrivata all'Ariston su una DeLorean.
[
@ciliegiodinoce
]",positive
Marcella Bella,2025-02-12 23:12:58,la canzone di Marcella Bella andrà fortissimo tra le 50enni divorziate di Facebook e tra nelle mie cuffie anche se non lo a metterò mai a nessuno #Sanremo2025,positive
Marcella Bella,2025-02-12 23:09:08,Voi state sottovalutando questa icona di marcella bella,positive
Marcella Bella,2025-02-12 23:09:59,"Marcella Bella che aspetta di cantare dopo che Malgioglio sbaglia il cognome, chiede origini, codice fiscale e accento del direttore d'orchestra.

#Sanremo2025",positive
Marcella Bella,2025-02-12 23:17:52,marcella bella in un'intervista rai ha dichiarato che ha scritto pelle diamante ispirandosi a rita de crescenzo ancora non ci credo,positive
Marcella Bella,2025-02-12 23:10:40,"questo tentativo di ricchiepoverizzazione di marcella bella miseramente fallito, quota over occupata abusivamente sorry

#sanremo2025",negative
Marcella Bella,2025-02-12 23:11:21,"With a lot of ballads this year, it's refreshing to get this Marcella Bella banger! #Sanremo2025",negative
Marcella Bella,2025-02-12 23:14:57,"Marcella Bella ha 72 anni e non le fa male niente e io ho appena preso un Brufen per la cervicale.

#MarcellaBella #Sanremo2025",negative
Marcella Bella,2025-02-12 23:12:27,"La canzone di Marcella Bella racconta di quando ha rifiutato la badante.
[
@ReNudo79
]",negative
Marcella Bella,2025-02-12 23:09:43,MARCELLA BELLA MADRE,negative
Marcella Bella,2025-02-12 23:11:04,"Stasera siamo a un passo dalla reunion di Cristiano Malgioglio, Marcella Bella e Alba Parietti.
Manca solo la regina della platea dell’Ariston

#Sanremo2025",positive
Marcella Bella,2025-02-12 23:16:07,Marcella Bella #Sanremo2025,positive
Marcella Bella,2025-02-12 23:14:56,  09 / Marcella Bella - “Pelle Diamante” #SanRemo2025,positive
Marcella Bella,2025-02-12 23:11:01,la marcella bella,negative
Marcella Bella,2025-02-12 23:10:46,"Io al secondo spritz la canzone di Marcella Bella te la canto sculettando 
#Sanremo2025",positive
Marcella Bella,2025-02-12 23:07:51," È il momento di riascoltare #MarcellaBella in gara a #Sanremo2025 con Pelle diamante 

 Continua a votare #PelleDiamante di Marcella Bella nella classica di #RadioFestival  https://play.rtl.it/radiofestival/",positive
Marcella Bella,2025-02-12 23:11:14,"Marcella Bella ha cercato su Facebook la pagina ""Donne, dolci  ma anche diavolette "", ha fatto copia e incolla dei primi 15 post e ne è uscita questa schifezza  #Sanremo2025",positive
Marcella Bella,2025-02-12 23:11:51,Marcella Bella ha ringrazt o bellissima orchestr e chiste ragazze,negative
