artist,datetime,content,sentiment
Rkomi,2025-02-13 00:17:48,malgioglio vs  pronunciare rkomi  top 3 delle mie cose preferite di questa sera  sksksjsk #Sanremo2025,positive
Rkomi,2025-02-13 00:37:38,"lei devastata dopo aver visto
nino frassica che presenta il libro su “grisdiano”
carloco che spiega a malgioglio come pronunciare “rkomi”
rkomi che canta in corsivo
nino frassica con un mocio in mano
malgioglio con uno strascico assurdo
#Sanremo2025",positive
Rkomi,2025-02-13 00:55:41,E DAJEEEE DI TENDENZA #Sanremo2025,positive
Rkomi,2025-02-13 00:10:47,"Pezzone lo de Rkomi, en el sentido musical y en el corporal #Sanremo2025",negative
Rkomi,2025-02-13 00:47:50,SANTINO PORTA FORTUNA A TE STESSO (WILLIE) E A RKOMI IL CUCCIOLO. #Sanremo2025,negative
Rkomi,2025-02-13 00:10:32,Rkomi non ne può più di sentire il suo nome pronunciato male e anche chi c’è l’ha in squadra al FantaSanremo #Sanremo2025,negative
Rkomi,2025-02-13 00:10:14,Rkomi se la prossima volta gli ripetono di nuovo che ha troppi autori si mette a piangere e a chiedere in ginocchio scusa a tutti #Sanremo2025,positive
Rkomi,2025-02-13 00:30:33,ma seriamente… come fa rkomi a cantare in corsivo in quel modo… è proprio non ironicamente uno stile creativo il suo #sanremo2025,positive
Rkomi,2025-02-13 00:33:54,"io quando ho visto Rkomi scendere dalle scale

 #Sanremo2025",negative
Rkomi,2025-02-13 00:48:24,Allora a me piace Rkomi è normale?,negative
Rkomi,2025-02-13 00:11:11,"eres el mejor lo eres todo para mí me como tus mierdas pero sabías q al fanta se juega todos los días y no solo el primero? 
@rkomi_mirko",positive
Rkomi,2025-02-13 00:15:32,"rkomi “vorrei dare questi fiori alla signora”  
nel frattempo carlo conti che va a prendere la signora per riportarla sul palco #Sanremo2025",positive
Rkomi,2025-02-13 00:43:08,"Quando senti quanti sono gli autori di #Rkomi 
#sanremo #sanremo25 #sanreno2025 #satiremo",positive
Rkomi,2025-02-13 00:10:01,Faccio coming out: mi piace la canzone di Rkomi. #Sanremo2025,positive
Rkomi,2025-02-13 00:15:21,"Rkomi rompimi come i tuoi giochi preferiti.
#Sanremo2025",positive
Rkomi,2025-02-13 00:15:34,"Sanremo 2025, seconda puntata in diretta: Rkomi, Il ritmo delle cose",negative
Rkomi,2025-02-13 00:39:48,non so cosa stia succedendo stasera con rkomi e la fonetica indoeuropea ma i miei 9cfu di glottologia su per il culo stanno tremando dal ridere,negative
Rkomi,2025-02-13 00:11:03,E LA QUOTA CUCCIOLO VA A RKOMI MIO DIO MA LO AVETE VISTO  #Sanremo #Sanremo2025,positive
Rkomi,2025-02-13 00:51:39,"la mia top five:
1) Willie Peyote
2) Rkomi
3) Fedez
4) Rocco Hunt
5) The Kolors
 #Sanremo2025",positive
Rkomi,2025-02-13 00:48:46,"top 5 de la serata

1. elodie
2. giorgia
3. francesca michielin
4. rose villain
5. rkomi",negative
Rkomi,2025-02-13 00:23:01,"qualora ve lo steste domandando la canzone di rkomi parla dell'industria musicale e di come usa e getta le e gli artistx, quindi oltre ad essere musicalmente bella e ben cantata è anche un pezzo con un senso io non voglio dire che dovreste votare 13 ma ecco.... #Sanremo2025",negative
Rkomi,2025-02-13 00:21:18,"Oggi ho messo rkomi come capitano della mia squadra, si è presentato total black e malgioglio ha sbagliato pure il suo nome io domani non apro l’app del fantasanremo",negative
Rkomi,2025-02-13 00:24:25,"Ho trovato altre tre persone a cui piace la canzone di Rkomi, sto per piangere, pensavo piacesse solo a me e invece forse gente che sa apprezzarla oltre a me e Mirko c’è 
#Sanremo2025",positive
Rkomi,2025-02-13 00:22:49," #Rkomi dal backstage di #Sanremo2025, con 
@emastokholma
 e Gino Castaldo su #RaiRadio2 

Sul canale 202  Sul canale 202 e su RaiPlay  http://raiplay.it/programmi/radio2asanremo…",positive
Rkomi,2025-02-13 00:14:30,rkomi  #Sanremo2025,positive
Rkomi,2025-02-13 00:10:51,Rkomi ormai ha deciso di vestirsi solo come Bangchan  #Sanremo2025,positive
Rkomi,2025-02-13 00:13:23,"Ricordiamoci del pezzo di Rkomi, perché secondo me non lo abbiamo apprezzato abbastanza. #Sanremo2025",negative
