artist,datetime,content,sentiment
Rose Villain,2025-02-13 00:17:08,rose villain troppo bona anche con questo vestito orribile,positive
Rose Villain,2025-02-13 00:15:21,bianca balti che fa irruzione sul palco per dire che bona a rose villain mi sento rappresentata,positive
Rose Villain,2025-02-13 00:16:45,Vorrei chiavare con Rose Villain,positive
Rose Villain,2025-02-13 00:19:13,"un quarto della bellezza di rose villain me la meritavo
#Sanremo2025",positive
Rose Villain,2025-02-13 00:17:08,rose villain sei la bellissima e hai fatto una hit,positive
Rose Villain,2025-02-13 00:18:23,rose villain si stava vestendo però non ha fatto tempo a mettersi l'abito ed è rimasta con la sottoveste #Sanremo2025,positive
Rose Villain,2025-02-13 00:18:57,"#Sanremo2025 #eurovision 

Rose Villain che continua a sfornare bop su bop. E Fuorilegge non fa eccezione. E pure a mezzanotte e un quarto abbondante mostra che sul palco ci sa stare eccome.",positive
Rose Villain,2025-02-13 00:19:29,"La verità è che Rose Villain è una DEA fuorilegge 
#Sanremo2025",positive
Rose Villain,2025-02-13 00:18:40,Meno male che rose villain è topa perché la canzone non si può proprio sentire.,negative
Rose Villain,2025-02-13 00:19:28,"Rose Villain sempre deliziosa

#Sanremo2025",positive
Rose Villain,2025-02-13 00:20:31,Rose villain bravissima bellissima peccato che mi stia sul cazzo in una maniera assurda #Sanremo2025,positive
Rose Villain,2025-02-13 00:21:45,"la face card di rose villain, fuorilegge 
#Sanremo2025",positive
Rose Villain,2025-02-13 00:18:50,"Fuorilegge   Click boom

e quella capacità di Rose Villain di portare sul palco dell’Ariston 18 canzoni in una 
#sanremo2025",positive
Rose Villain,2025-02-13 00:20:05,Rose Villain allora io,positive
Rose Villain,2025-02-13 00:33:16,rose villain como vas a ser tan artista,positive
Rose Villain,2025-02-13 00:17:07,Rose Villain per coconuda #Sanremo2025,positive
Rose Villain,2025-02-13 00:18:12,rose villain sei bellissima,positive
Rose Villain,2025-02-13 00:15:33,"BIANCA BALTI CHE FA IRRUZIONE SUL PALCO PER DIRE “CHE BONA” A ROSE VILLAIN E PER PRESENTARLA SIETE LE DIVEEEEEE

#Sanremo2025",positive
Rose Villain,2025-02-13 00:18:45,Per Rose Villain divento fuorilegge e peccatore #Sanremo2025,negative
Rose Villain,2025-02-13 00:16:35,"conti quando bianca balti è corsa a salutare rose villain: 

 #Sanremo2025",positive
Rose Villain,2025-02-13 00:18:53,Una bella ragazza come Rose Villain non si meritava un vestito così brutto #Sanremo2025,positive
Rose Villain,2025-02-13 00:15:33,Rose Villain tutta bagnata la vorrei asciugare con la mia lingua,positive
Rose Villain,2025-02-13 00:19:15,"L'ingiustizia che viene fatta a Rose Villain ogni volta che canta. Ha una voce pazzesca sopra una canzone terribile. Che peccato indecifrabile. 
#Sanremo2025",positive
Rose Villain,2025-02-13 00:19:06,La canzone de Rose Villain è agghiacciante,positive
Rose Villain,2025-02-13 00:27:53,"questa parte ghospel di fuori legge con la potenza vocale di rose villain fa letteralmente venire la pelle d’oca, ha una voce pazzesca
#Sanremo2025",positive
Rose Villain,2025-02-13 00:19:18,"Lo ammetto, vorrei vedere Rose Villain portare su quel palco una ballatona senza il risvolto bop nel ritornello, magari sarebbe meno moderna ma mi piacerebbe vederla in questa veste dato che la voce ce l'ha eccome
 #Sanremo2025",positive
Rose Villain,2025-02-13 00:15:51,"rose villain 5 secondi prima di esibirsi

#sanremo25 #sanremo2025",positive
Rose Villain,2025-02-13 00:19:42,"I cannot describe in words how much I adore this Rose Villain song and indeed Rose Villain herself 

Absolute queen #Sanremo2025",positive
Rose Villain,2025-02-13 00:48:46,"top 5 de la serata

1. elodie
2. giorgia
3. francesca michielin
4. rose villain
5. rkomi",positive
Rose Villain,2025-02-13 00:19:44,"Rose Villain is too underrated, her performance is one I can’t keep my eyes off, she owns the stage  #sanremo2025",positive
Rose Villain,2025-02-13 00:31:13,Qualcuno dica a Zeudi che Rose Villain è una SIGNORA di 35 anni,positive
Rose Villain,2025-02-13 00:18:42,io comunque la cotta di zeudi per rose villain…….la comprendo…….,positive
Rose Villain,2025-02-13 00:17:44,e se dicessi fuorilegge di rose villain mimmone coded?,negative
Rose Villain,2025-02-13 00:25:48,Rose Villain e le sue mamme artistiche ,negative
Rose Villain,2025-02-13 00:18:21,The way there’s no way Rose Villain is winning but a girl can dream  #sanremo25,negative
Rose Villain,2025-02-13 00:17:24,ROSE VILLAIN CALPESTAMI GRAZIE #sanremo2025,positive
