artist,datetime,content,sentiment
Serena Brancale,2025-02-12 22:08:45,Il sound di Serena Brancale ,positive
Serena Brancale,2025-02-12 22:10:24,"Con sti quadricipiti se Antonio Conte la mette a fare il quinto tutta fascia Serena Brancale diventa la nuova Bale

#Sanremo2025",positive
Serena Brancale,2025-02-12 22:12:14,serena brancale farai un 23esimo posto ma con un doppio disco di platino te lo prometto,positive
Serena Brancale,2025-02-12 22:15:46,"Apprezzo questo omaggio di Serena Brancale a Maria De Filippi.

#Sanremo2025",positive
Serena Brancale,2025-02-12 22:08:32,serena brancale,positive
Serena Brancale,2025-02-12 22:10:43,"Serena Brancale mi ricorda un sacco 
@rottmelnew
 
#Sanremo2025",positive
Serena Brancale,2025-02-12 22:08:36,Dovete sapere che questa canzone di Serena Brancale mi fa muovere troppo il culo e poi lei una dea pazzesca,positive
Serena Brancale,2025-02-12 22:11:30,Che brava Serena Brancale #Sanremo2025,positive
Serena Brancale,2025-02-12 22:10:11,allora se serena brancale non arriva in top 20 vi dovete vergognare,negative
Serena Brancale,2025-02-12 22:08:58,bellissima serena brancale,positive
Serena Brancale,2025-02-12 22:09:23,"ogni volta che sento l’intro di serena brancale già vedo nello sfondo mufasa. insieme a simba
#sanremo2025",positive
Serena Brancale,2025-02-12 22:53:09,Serena Brancale,positive
Serena Brancale,2025-02-12 22:09:33,non so come dirlo ma nella mia testa serena brancale è tipo un horcrux di angela dei ricchi e poveri non so come spiegarmi meglio di così spero che mi capiate,positive
Serena Brancale,2025-02-12 22:09:42,serena brancale non anema e core ma anema e fess (quella che io le dedico),positive
Serena Brancale,2025-02-12 22:29:22,sparare a vista agli stylist che stanno curando i look di serena brancale e francesca michielin penso indossino le cose più brutte che abbia mai visto in vita mia,positive
Serena Brancale,2025-02-12 22:08:42,"Nessuno: #Sanremo2025
L’inizio della canzone di Serena Brancale:",positive
Serena Brancale,2025-02-12 22:10:47,"Se sei di cattivo umore guarda e ascolta Serena Brancale e passa tutto! 

#Sanremo2025",positive
Serena Brancale,2025-02-12 22:09:34,Serena Brancale sei la regina delle nevi Tilda Swinton nelle cronache di Narnia ti amo,positive
Serena Brancale,2025-02-12 22:10:12,serena brancale tu e la tua canzone avete madrato come poche cose su quel palco,positive
Serena Brancale,2025-02-12 22:10:23,"Madonna ha preso la sostanza ed è uscita Serena Brancale 

#Sanremo2025",positive
Serena Brancale,2025-02-12 22:09:30,serena brancale il tuo drip è troppo potente la tua pugliesità è troppo pugliese i boombadsh ti uccidersnno serena fermati,positive
Serena Brancale,2025-02-12 22:11:49,"Serena Brancale è quella che in palestra ti chiede continuamente: ""Quanto ti manca per finire? Ci alterniamo?"" con la faccia incazzata.
[
@fabriziottavian
]",positive
Serena Brancale,2025-02-12 22:10:55,Serena Brancale è la vera rivelazione di questo festival bisogna dirlo,positive
Serena Brancale,2025-02-12 22:53:56,"io purtroppo ho bisogno di una telecamera puntata su dove cameron per la reaction a serena brancale e marcella bella 
(non capisce una parola) 
(vuole tornare in america)
#sanremo2025",positive
Serena Brancale,2025-02-12 22:09:16,quanto si vede che serena brancale viene dal jazz è letteralmente un disco sembra in playback mamma!,positive
Serena Brancale,2025-02-12 22:11:04,"Serena Brancale canta napoletano anche se e' barese, a Checco Zalone ha portato bene.
#Sanremo2025",positive
Serena Brancale,2025-02-12 22:11:41,"serena brancale un mix tra malika ayane, lady gaga e rita de crescenzo #sanremo2025",positive
Serena Brancale,2025-02-12 22:08:22,"serena brancale penso di amarti anche se hai una tinta orrenda

#sanremo2025",positive
Serena Brancale,2025-02-12 22:11:05,Io ballo con Serena Brancale #Sanremo2025,positive
Serena Brancale,2025-02-12 22:11:47,"Tanta vitalità nella canzone di Serena Brancale, e la frase ""Un bacio che s'adda verè"" si stampa in testa e la canticchi per tutto il tempo 
 #Sanremo2025",positive
Serena Brancale,2025-02-12 22:37:05,"serena brancale in due giorni ha assunto le sembianze di:
- malika ayane
- floriana secondi
#Sanremo2025",positive
Serena Brancale,2025-02-12 22:09:09,Ho capito qual è il mio problema con Serena Brancale (sembra una che per quanto friendly  poi vota Fratelli d’Italia). #Sanremo2025,positive
Serena Brancale,2025-02-12 22:11:21,"Nelle sonorità  della canzone di Serena Brancale ci sono tantissime contaminazioni e ispirazioni. È molto più di quello che sembra. E lei è brava brava.

#Sanremo2025",positive
Serena Brancale,2025-02-12 22:10:32,SERENA BRANCALE comm 'o fai tu nisciun brava a me 'sto brano fa impazzire ,positive
Serena Brancale,2025-02-12 22:10:43,serena brancale step on me,positive
Serena Brancale,2025-02-12 22:57:57,serena brancale alla seconda dose,positive
Serena Brancale,2025-02-12 22:11:33,"Cosa penso quando sento la canzone di Serena Brancale:
#Sanremo2025 #sanremo25",positive
Serena Brancale,2025-02-12 22:11:14,Serena Brancale. Tu ci hai donato la hit che fa muovere il culo. Sei una diva cazzo #Sanremo2025,positive
Serena Brancale,2025-02-12 22:09:31,serena brancale #needthat,positive
Serena Brancale,2025-02-12 22:08:36,grandissima Serena Brancale #Sanremo2025,positive
Serena Brancale,2025-02-12 22:08:30,ODDIO SERENA BRANCALE LA REGINA DEL SUD ITALIA E DELLE FESTE DI PAESE #Sanremo2025,positive
Serena Brancale,2025-02-12 22:11:51,la DIVA di serena brancale che fa vedere in primo piano la collana gialla per i punti al fantasanremo #Sanremo2025,positive
Serena Brancale,2025-02-12 22:10:14,"A differenza di Maria Tomba (tvb), Serena Brancale vuole proprio che io le guardi le poppe

#Sanremo2025",positive
Serena Brancale,2025-02-12 22:32:35,"E comunque brava Serena Brancale.
#sanremo2025 #sanremo",positive
Serena Brancale,2025-02-12 22:09:34,"Serena Brancale non so se vincerai il festival ma sicuramente i culi degli italiani ballando alla sagra della porchetta ameranno la tua canzone

#Sanremo2025",positive
Serena Brancale,2025-02-12 22:13:25,Serena Brancale sei la madre,positive
Serena Brancale,2025-02-12 22:12:21,serena brancale TOP!!!,positive
