artist,datetime,content,sentiment
Simone Cristicchi,2025-02-12 23:12:11,Le pagelle della seconda serata di Sanremo. Simone Cristicchi e la linea sottile fra amore e la romanticizzazione del dolore,positive
Simone Cristicchi,2025-02-12 23:00:59,"Io mentre ascoltavo Simone Cristicchi vs io che ascolto Big Mama 
#Sanremo2025 
https://x.com/bragherissima/status/1764731193860165744/video/1…",positive
Simone Cristicchi,2025-02-12 23:06:25,"il blocco che passa da Simone Cristicchi a Marcella Bella 

#Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:00:20,"il passaggio da Nino Frassica a Simone Cristicchi 
#Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:36:11,Lacrime e standing ovation per Simone Cristicchi a  #Sanremo2025,positive
Simone Cristicchi,2025-02-12 23:26:59,"A poche ore dall'inizio di Sanremo 2025 abbiamo incontrato Simone Cristicchi, che ci ha parlato della sua ""Quando Sarai Piccola"".

L'intervista è su http://Allmusicitalia.it
#QuandoSaraiPiccola #Sanremo2025 #SimoneCristicchi
https://allmusicitalia.it/interviste/sanremo-2025-simone-cristicchi-quando-sarai-piccola-lintervista.html…",positive
Simone Cristicchi,2025-02-12 23:01:41,  08 / Simone Cristicchi - “Quando Sarai Piccola” #SanRemo2025,positive
Simone Cristicchi,2025-02-12 23:10:09,"Simone Cristicchi             Marcella Bella

#Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:11:36,"Altra standing ovation, #Cristicchi conquista l'Ariston https://iltempo.it/personaggi/2025/02/12/news/sanremo-2025-simone-cristicchi-significato-canzone-quando-sarai-piccola-41600879/… #Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:08:36,"Ore 22,47:anche oggi piantino fatto.CAPOLAVORO D'AMORE DI SIMONE CRISTICCHI.POETA. #Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:02:02,"Standing ovation all'Ariston per Simone Cristicchi, il pubblico in lacrime dopo l'esibizione #Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:08:36,"Ore 22,47:anche oggi piantino fatto.CAPOLAVORO D'AMORE DI SIMONE CRISTICCHI.POETA. #Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:12:11,Le pagelle della seconda serata di Sanremo. Simone Cristicchi e la linea sottile fra amore e la romanticizzazione del dolore,positive
Simone Cristicchi,2025-02-12 23:00:59,"Io mentre ascoltavo Simone Cristicchi vs io che ascolto Big Mama 
#Sanremo2025 
https://x.com/bragherissima/status/1764731193860165744/video/1…",positive
Simone Cristicchi,2025-02-12 23:06:25,"il blocco che passa da Simone Cristicchi a Marcella Bella 

#Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:00:20,"il passaggio da Nino Frassica a Simone Cristicchi 
#Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:36:11,Lacrime e standing ovation per Simone Cristicchi a  #Sanremo2025,positive
Simone Cristicchi,2025-02-12 23:26:59,"A poche ore dall'inizio di Sanremo 2025 abbiamo incontrato Simone Cristicchi, che ci ha parlato della sua ""Quando Sarai Piccola"".

L'intervista è su http://Allmusicitalia.it
#QuandoSaraiPiccola #Sanremo2025 #SimoneCristicchi
https://allmusicitalia.it/interviste/sanremo-2025-simone-cristicchi-quando-sarai-piccola-lintervista.html…",positive
Simone Cristicchi,2025-02-12 23:01:41,  08 / Simone Cristicchi - “Quando Sarai Piccola” #SanRemo2025,positive
Simone Cristicchi,2025-02-12 23:10:09,"Simone Cristicchi             Marcella Bella

#Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:11:36,"Altra standing ovation, #Cristicchi conquista l'Ariston https://iltempo.it/personaggi/2025/02/12/news/sanremo-2025-simone-cristicchi-significato-canzone-quando-sarai-piccola-41600879/… #Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:08:36,"Ore 22,47:anche oggi piantino fatto.CAPOLAVORO D'AMORE DI SIMONE CRISTICCHI.POETA. #Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:02:02,"Standing ovation all'Ariston per Simone Cristicchi, il pubblico in lacrime dopo l'esibizione #Sanremo2025",positive
Simone Cristicchi,2025-02-12 23:08:36,"Ore 22,47:anche oggi piantino fatto.CAPOLAVORO D'AMORE DI SIMONE CRISTICCHI.POETA. #Sanremo2025",positive
