artist,datetime,content,sentiment
The Kolors,2025-02-13 00:46:04,"Cristicchi, Giorgia, Fedez, The Kolors, Achille Lauro. In ordine sparso, stasera mi aspetto questa top 5 #Sanremo2025",positive
The Kolors,2025-02-13 00:43:33,"[ #Sanremo2025 - 2e soirée]

Quels sont vos favoris de la soirée ? 

Ici, gros coup de cœur pour Fedez, gros crush sur The Kolors, Serena Brancale et Giorgia, ému par Cristicchi, touché en plein  par Michielin, et puis Elodie, ô Elodie...",positive
The Kolors,2025-02-13 00:04:37,"Da BigMama al piccolo Alessandro Gervasi. Poi Settembre, Hunt e The Kolors: Napoli brilla a Sanremo",positive
The Kolors,2025-02-13 00:49:30,"Comunque niente male anche i The Kolors, sono bravi e divertenti, Stash ha proprio una bella voce.
Voto 8
#Sanremo2025",positive
The Kolors,2025-02-13 00:42:17,top 3 stasera willie peyote lucio corsi the kolors invia tweet,positive
The Kolors,2025-02-13 00:20:56,Urlare alla Sandro Ciotti SANTODDIO ERA ORA! per il décolleté di Rose Villain dopo quindici serate in cui era più vestita di Messner sul k2,positive
The Kolors,2025-02-13 00:41:31,"top 5 segunda serata

1. elodie
2. rose villain
3. rkomi
4. fedez
5. the kolors",positive
The Kolors,2025-02-13 00:41:55,Io ogni volta mi dimentico che ci stanno pure i The Kolors in gara non sto scherzando #Sanremo2025,positive
The Kolors,2025-02-13 00:42:16,REPLAY DEI THE KOLORS BOTTA DI COC4 ANCHE STASERA STASH SEI LA CANZONE ITALIANA,positive
The Kolors,2025-02-13 00:01:57,"Elodie 25
Lucio 45
Rocco 15
The kolors 25
Brancale 45
Fedez 10
Francesca 25
Cristicchi 30
Marcella 45
Bresh 5 
Achille 30
Giorgia 20",positive
