artist,datetime,content,sentiment
Willie Peyote,2025-02-13 00:39:13,willie peyote sto scrivendo delle lettere d'amore per te #Sanremo2025 #Sanremo,positive
Willie Peyote,2025-02-13 00:56:39," @willie_peyote
 dal backstage di #Sanremo2025, con 
@emastokholma
 e Gino Castaldo su #RaiRadio2 

Sul canale 202  Sul canale 202 e su RaiPlay   http://raiplay.it/programmi/radio2asanremo…",positive
Willie Peyote,2025-02-13 00:34:51," È il momento di riascoltare #WilliePeyote in gara a #Sanremo2025 con Grazie ma no grazie 

 Continua a votare #GrazieMaNoGrazie di Willie Peyote nella classica di #RadioFestival  https://play.rtl.it/radiofestival/",positive
Willie Peyote,2025-02-13 00:37:58,"Non so se ieri sera l'avevo un po' ignorato perché era nel blocco forte incuneato in mezzo a due pesi supermassimi, ma stasera mi sta arrivando Willie Peyote e credo possa scampare la bottom 5 che già paventavo #Sanremo2025",positive
Willie Peyote,2025-02-13 00:34:22,willie peyote vieni qua ti devo dire una cosa importante https://x.com/m4lditalisiada/status/1443141643692093440/video/1…,positive
Willie Peyote,2025-02-13 00:37:54,la frase che dovrebbe dire luca ravenna nella canzone di willie peyote è come la sorpresa ad andrea zelletta nel gfvip5,positive
Willie Peyote,2025-02-13 00:46:31,"Le mie 5 questa sera:

Giorgia
Fedez
Lucio Corsi
Rose Villain
Willie Peyote

#Sanremo2025",positive
Willie Peyote,2025-02-13 00:36:49,fra poco carlo conti faceva scoppiare nino frassica per avergli fatto perdere 5 minuti per la presentazione di willie peyote  #sanremo25 #Sanremo2025,positive
Willie Peyote,2025-02-13 00:13:54,fate entrare di nuovo nino frassica fategli introdurre willie peyote basta,positive
Willie Peyote,2025-02-13 00:39:33,"io quando sale willie peyote sul palco 
#Sanremo2025",negative
Willie Peyote,2025-02-13 00:34:15,Avrei sinceramente preferito il rapper Scraffio a Willie Peyote,negative
Willie Peyote,2025-02-13 00:38:48,"Raga, Willie Peyote con sto pezzo per me è si. Meglio anche di ""Mai dire mai"" #Sanremo2025",positive
Willie Peyote,2025-02-13 00:35:30,"Finalmente liberato Willie Peyote, sto aspettando da una serata sana",positive
Willie Peyote,2025-02-13 00:33:25,"WILLIE PEYOTE mia top 5 dei prefe
#Sanremo2025",positive
Willie Peyote,2025-02-13 00:35:30," @Willie_Peyote
 - Grazie ma No Grazie

#Sanremo2025",positive
Willie Peyote,2025-02-13 00:15:35,“praticamente diodato doveva fare il passaggio del testimone e ha scelto brunori e willie peyote ma massimo ranieri ha cercato di rapire di nuovo aldo” #Sanremo2025,positive
Willie Peyote,2025-02-13 00:35:42,ho forse un problema se willie peyote mi fa un certo effetto? daddy,positive
Willie Peyote,2025-02-13 00:37:51,WILLIE PEYOTE LA SCOLIOSI PER IL BAFFO PIU PESANTE SU QUEL PALCO #Sanremo2025,positive
Willie Peyote,2025-02-13 00:39:06,willie peyote  per la vittoria (categoria padre),positive
Willie Peyote,2025-02-13 00:21:37,"Las doce y veinte y solo falta por cantar Willie Peyote, no nos hemos visto en otra",positive
Willie Peyote,2025-02-13 00:36:50,Detesto il fatto che mi piaccia Willie Peyote ma qui non diciamo le bugie #Sanremo20205 #SCOSSA,positive
Willie Peyote,2025-02-13 00:35:26,Riascoltata per bene quella di Willie Peyote guardagna 10000000000 punti #Sanremo2025,positive
Willie Peyote,2025-02-13 00:34:53,Tutte le cose a cui dice «no grazie» Willie Peyote a Sanremo2025,positive
Willie Peyote,2025-02-13 00:39:16," @willie_peyote
 canta ""Grazie ma no grazie"" sul palco del Festival di 
@SanremoRai
Ti è piaciuta l'esibizione?

Tra poco nel backstage di #RaiRadio2 a #Sanremo2025  Sul canale 202  E su 
@RaiPlay
  http://bit.ly/GuardaCheRadio",negative
Willie Peyote,2025-02-13 00:36:37,"Willie Peyote un grandissimo SI

#Sanremo2025",positive
Willie Peyote,2025-02-13 00:37:12,"per me willie peyote è decisamente sì, fresco il brano, originale il testo, bella l’esibizione soprattutto bellissime le due dive dietro stile muse di hercules",negative
Willie Peyote,2025-02-13 00:39:41,Io fascinato da Willie Peyote. È bono e va detto #Sanremo2025,positive
Willie Peyote,2025-02-13 00:46:44,"top 5 de la serata:

1. elodie
2. bresh
3. willie peyote
4. lucio corsi
5. rkomi",positive
Willie Peyote,2025-02-13 00:41:29,io per willie peyote provo cose che nessuno ha ancora menzionato nn so se l’unica,negative
Willie Peyote,2025-02-13 00:39:50,perché nessuno parla di willie peyote io mangerei subito #sanremo2025,positive
Willie Peyote,2025-02-13 00:35:32,finalmente mio fratello in cristo willie peyote #Sanremo2025,positive
Willie Peyote,2025-02-13 00:34:45,LA CIOLONA ENORME WILLIE PEYOTE,positive
Willie Peyote,2025-02-13 00:35:50,willie peyote mio padre #sanremo2025,negative
Willie Peyote,2025-02-13 00:37:40,"willie peyote ti amo che grandissimo bop ingiustamente sottovalutato 
#sanremo2025",positive
Willie Peyote,2025-02-13 00:50:35,"Che voto dai alla canzone di Willie peyote?
Io:
 #Sanremo2025",positive
Willie Peyote,2025-02-13 00:34:13,MIO NONNO NINO FRASSICA CHE PRESENTA MIO FRATELLO WILLIE PEYOTE NON ERA NEL MIO BINGO,negative
Willie Peyote,2025-02-13 00:41:36," #Sanremo2025 #WilliePeyote in gara con ""Grazie ma no grazie"" 
Codice televoto 15
@willie_peyote
Diretta su su 
@RaiUno
 @RaiPlay
 @RaiRadio2",positive
Willie Peyote,2025-02-13 00:35:02,Willie Peyote  #Sanremo2025,positive
Willie Peyote,2025-02-13 00:15:35,"Grazie ma no grazie, Willie Peyote: testo e significato della canzone di Sanremo 2025 (video)",positive
Willie Peyote,2025-02-13 00:37:09,willie peyote io te la darei veramente tutta me ne coltiverei altra solo per dartene altra a km zero per te solo il meglio di me,positive
Willie Peyote,2025-02-13 00:24:38,but can we move on to Willie Peyote and then move on to sleeping please ,positive
Willie Peyote,2025-02-13 00:23:57,willie peyote che aspetta dietro le quinte che finisca sta sceneggiata  #Sanremo2025,positive
Willie Peyote,2025-02-13 00:38:48,Grande Willie Peyote,positive
Willie Peyote,2025-02-13 00:37:14,willie peyote compagno brigatista #Sanremo2025,positive
Willie Peyote,2025-02-13 00:35:27,"WILLIE PEYOTE TI VOGLIO TROPPO BENEE

#Sanremo2025",positive
Willie Peyote,2025-02-13 00:37:45,che smash willie peyote #sanremo2025,positive
Willie Peyote,2025-02-13 00:38:05,"stiamo parlando troppo poco di questo boppone di willie peyote
#Sanremo2025",positive
Willie Peyote,2025-02-13 00:47:44,willie peyote deve finire in top3 ragazze non disuniamoci,positive
Willie Peyote,2025-02-13 00:33:21,"WILLIE PEYOTE MARRIED TO ADRIANO PAPPALARDO STO 

#sanremo #sanremo25 #sanremo2025",positive
Willie Peyote,2025-02-13 00:39:40,Il modo in cui farei cose a willie peyote #Sanremo2025,negative
Willie Peyote,2025-02-13 00:35:20,"pronti a muovere il culo con la hit di willie peyote:

#sanremo2025",negative
Willie Peyote,2025-02-13 00:35:32,Ah sì bello il testo della canzone di willie peyote #Sanremo2025,positive
Willie Peyote,2025-02-13 00:40:24,"“Dovresti dare meno ascolto ai sentimenti che non sono mai dei buoni investimenti” 

 Willie Peyote  Grazie ma no grazie

L’esibizione integrale è su RaiPlay 
In audio su RaiPlay Sound  

#Sanremo2025",positive
Willie Peyote,2025-02-13 00:45:22,Il movimento che fa Willie Peyote quando dice “grazie ma no grazie” mi fa provare cose,positive
Willie Peyote,2025-02-13 00:39:28,"comunque willie peyote stra sottovalutato, spacca un sacco la sua canzone",positive
Willie Peyote,2025-02-13 00:38:42,"Willie Peyote impeccabile 
#Sanremo20205",negative
Willie Peyote,2025-02-13 00:40:30,"I have no Willie Peyote screenshots because I spent Grazie Ma Non Grazie dancing around the kitchen with my kids. 12/10, no notes. #Sanremo2025",positive
Willie Peyote,2025-02-13 00:53:55,"Il martellante stacco di Gabry Ponte è più Gioca Jouer o più jingle Amaro del Capo?
In ogni caso una tarantella sotto steroidi.

In questa valle Sanremese tutta basi discotecare o belcanto retrò, il funk di Willie Peyote suona benefico (anche) musicalmente.

#Sanremo2025
#tvtalk",positive
Willie Peyote,2025-02-13 00:40:41,¿Cuantos chupitos Willie Peyote?,negative
Willie Peyote,2025-02-13 00:21:17,"Giorgia, Rkomi, Willie Peyote. E sto",negative
Willie Peyote,2025-02-13 00:34:36,sinc io ho una visione con willie peyote,positive
Willie Peyote,2025-02-13 00:38:40,Willie Peyote promosso,negative
Willie Peyote,2025-02-13 00:36:14,bravo Willie Peyote,positive
Willie Peyote,2025-02-13 00:34:10,"Carlo Conti quando deve annunciare Willie Peyote sul palco dell'Ariston  
#Sanremo2025",positive
Willie Peyote,2025-02-13 00:39:57,Quello di Willie Peyote un pezzone #Sanremo2025,positive
Willie Peyote,2025-02-13 00:50:24,"""dovresti andare a lavorare e non farti manganellare nelle piazze
grazie ma no grazie
questa gente non fa un cazzo li mantengo tutti io con le mie tasse
grazie ma no grazie""
pezzone di Willie Peyote con la chicca Ravenna nel coro
#Sanremo2025 #sanremo25
#Sanremo #WilliePeyote",negative
Willie Peyote,2025-02-13 00:36:23,"""Dovresti andare a lavorare e non farti manganellare nelle piazze, grazie ma no grazie, questa gente non fa un cazzo li mantengo tutti io con le mie tasse, grazie ma no grazie""

Willie Peyote la tocca pianissimo
#Sanremo2025",positive
Willie Peyote,2025-02-13 00:46:13,"Non l’avevo ancora fatto quindi rimedio: la canzone di Willie Peyote mi piace un sacco, è proprio ciò che mi aspettavo quindi bravo pazzesco talentuoso tutto 

#SANREMO2025",positive
Willie Peyote,2025-02-13 00:42:17,top 3 stasera willie peyote lucio corsi the kolors invia tweet,positive
Willie Peyote,2025-02-13 00:37:53,willie peyote sei la rivoluzione (è semplicemente una canzone che non ti fa cascare le palle),positive
