artist,datetime,content,sentiment
Brunori Sas,2025-02-13 22:29:39,"Io ve lo dico: se Dario Brunori Sas alias the daddiest of the daddies non sta in top 5 a fine serata faccio il panico 

#Sanremo2025",positive
Brunori Sas,2025-02-13 22:27:03,"Best of luck to Olly, but I don't think it should be his year. I'd rather Brunori Sas's song winning Sanremo this year (or even the one of the guy with black contact lenses) #sanremo2025",negative
Brunori Sas,2025-02-13 22:15:41,Oddio c’è un calabrese nella mia stanza (brunori sas),positive
Brunori Sas,2025-02-13 22:00:17,"top 5 in ordine sparso completamente random andrebbero tutti al primo posto per me 
brunori sas 
joan thiele 
rkomi 
sarah toscano 
lucio corsi

bonus gaia - clara (E PURE SERENA BRANCALE MIA CUGGGGINA)",positive
Brunori Sas,2025-02-13 22:29:07,A me MI garba parecchio Brunori sas.,positive
Brunori Sas,2025-02-13 22:25:06,"Per me ok la standing ovation a Olly ma allora perchè no a Brunori Sas?
VOGLIO SAPERLO #SANREMO2025",positive
Brunori Sas,2025-02-13 22:29:21,"se devono vincere quelli che sono “favoriti” a vincere … tutta la vita brunori sas x primo posto 
CODICE 02 02 02 02 
#SANREMO2025",positive
Brunori Sas,2025-02-13 22:27:37,quest’anno o vince joan thiele o vince brunori sas o lucio corsi non c’è via di mezzo per me non esiste altro finale,positive
Brunori Sas,2025-02-13 22:29:15,Comunque questa terza serata mi ha fatto capire che preferisco la canzone di Brunori Sas a quella di Cristicchi #sanremo2025,positive
Brunori Sas,2025-02-13 22:04:35,Tutti uniti per BRUNORI SAS #Sanremo2025,positive
Brunori Sas,2025-02-13 22:57:10,"Le mie preferite (non richieste) al secondo ascolto.

Brunori sas
Giorgia
Lucio Corsi
Bresh
Joan Thiele
Shablo boys
Kolors",positive
Brunori Sas,2025-02-13 22:00:16,"Raga possiamo mettere Brunori Sas in top 5 per favore? 
#sanremo25 
#Sanremo2025
#Sanremo",positive
Brunori Sas,2025-02-13 22:24:44,"canzone carina di olly, una delle sue classiche. ma c’è veramente roba più interessante che nessuno sta cagando tipo francesca michielin??? brunori sas????? gaia?????",positive
Brunori Sas,2025-02-13 22:24:11,"La top five di sabato sera: Achille Lauro, Giorgia, Simone Cristicchi, Olly e uno tra Brunori Sas e Fedez. #Sanremo2025",positive
Brunori Sas,2025-02-13 22:03:00,"«Sono cresciuto in una terra crudele dove la neve si mescola al miele
E le persone buone portano in testa corone di spine
E ho imparato sin da bambino la differenza fra il sangue e il vino
E che una vita si può spezzare per un pezzo di carne o di pane»
(Brunori Sas) #Sanremo2025",positive
Brunori Sas,2025-02-13 22:54:00,brunori sas perché si tost comm nu sass boh sì dai send tweet,negative
Brunori Sas,2025-02-13 22:29:15,Comunque questa terza serata mi ha fatto capire che preferisco la canzone di Brunori Sas a quella di Cristicchi #sanremo2025,positive
Brunori Sas,2025-02-13 22:27:03,"Best of luck to Olly, but I don't think it should be his year. I'd rather Brunori Sas's song winning Sanremo this year (or even the one of the guy with black contact lenses) #sanremo2025",negative
Brunori Sas,2025-02-13 22:27:37,quest’anno o vince joan thiele o vince brunori sas o lucio corsi non c’è via di mezzo per me non esiste altro finale,positive
Brunori Sas,2025-02-13 22:27:37,quest’anno o vince joan thiele o vince brunori sas o lucio corsi non c’è via di mezzo per me non esiste altro finale,positive
Brunori Sas,2025-02-13 22:29:15,Comunque questa terza serata mi ha fatto capire che preferisco la canzone di Brunori Sas a quella di Cristicchi #sanremo2025,positive
Brunori Sas,2025-02-13 22:04:35,Tutti uniti per BRUNORI SAS #Sanremo2025,positive
Brunori Sas,2025-02-13 22:57:10,"Le mie preferite (non richieste) al secondo ascolto.

Brunori sas
Giorgia
Lucio Corsi
Bresh
Joan Thiele
Shablo boys
Kolors",positive
Brunori Sas,2025-02-13 22:00:16,"Raga possiamo mettere Brunori Sas in top 5 per favore? 
#sanremo25 
#Sanremo2025
#Sanremo",positive
Brunori Sas,2025-02-13 22:24:44,"canzone carina di olly, una delle sue classiche. ma c’è veramente roba più interessante che nessuno sta cagando tipo francesca michielin??? brunori sas????? gaia?????",positive
Brunori Sas,2025-02-13 22:24:11,"La top five di sabato sera: Achille Lauro, Giorgia, Simone Cristicchi, Olly e uno tra Brunori Sas e Fedez. #Sanremo2025",positive
Brunori Sas,2025-02-13 22:03:00,"«Sono cresciuto in una terra crudele dove la neve si mescola al miele
E le persone buone portano in testa corone di spine
E ho imparato sin da bambino la differenza fra il sangue e il vino
E che una vita si può spezzare per un pezzo di carne o di pane»
(Brunori Sas) #Sanremo2025",positive
Brunori Sas,2025-02-13 22:54:00,brunori sas perché si tost comm nu sass boh sì dai send tweet,negative
Brunori Sas,2025-02-13 22:29:15,Comunque questa terza serata mi ha fatto capire che preferisco la canzone di Brunori Sas a quella di Cristicchi #sanremo2025,positive
Brunori Sas,2025-02-13 22:27:03,"Best of luck to Olly, but I don't think it should be his year. I'd rather Brunori Sas's song winning Sanremo this year (or even the one of the guy with black contact lenses) #sanremo2025",negative
Brunori Sas,2025-02-13 22:27:37,quest’anno o vince joan thiele o vince brunori sas o lucio corsi non c’è via di mezzo per me non esiste altro finale,positive
