artist,datetime,content,sentiment
Clara Sanremo,2025-02-13 21:08:27,"LA MAMMA, LA LEONESSA, LA MATRIARCA, LA BASTARDA, LA PANTERA, LA TIGRESSA, LA GLITCHOSA CLARA #sanremo #sanremo2024",positive
Clara Sanremo,2025-02-13 21:18:40,E «il cielo fa come un glitch»,negative
Clara Sanremo,2025-02-13 21:00:03,che slay quest'outfit di clara #sanremo,positive
Clara Sanremo,2025-02-13 21:08:27,"LA MAMMA, LA LEONESSA, LA MATRIARCA, LA BASTARDA, LA PANTERA, LA TIGRESSA, LA GLITCHOSA CLARA #sanremo #sanremo2024",positive
Clara Sanremo,2025-02-13 21:18:40,E «il cielo fa come un glitch»,negative
Clara Sanremo,2025-02-13 21:00:03,che slay quest'outfit di clara #sanremo,positive
Clara Sanremo,2025-02-13 21:08:27,"LA MAMMA, LA LEONESSA, LA MATRIARCA, LA BASTARDA, LA PANTERA, LA TIGRESSA, LA GLITCHOSA CLARA #sanremo #sanremo2024",positive
Clara Sanremo,2025-02-13 21:18:40,E «il cielo fa come un glitch»,negative
Clara Sanremo,2025-02-13 21:00:03,che slay quest'outfit di clara #sanremo,positive
Clara Sanremo,2025-02-13 21:08:27,"LA MAMMA, LA LEONESSA, LA MATRIARCA, LA BASTARDA, LA PANTERA, LA TIGRESSA, LA GLITCHOSA CLARA #sanremo #sanremo2024",positive
Clara Sanremo,2025-02-13 21:18:40,E «il cielo fa come un glitch»,negative
Clara Sanremo,2025-02-13 21:00:03,che slay quest'outfit di clara #sanremo,positive
