artist,datetime,content,sentiment
Francesco Gabbani,2025-02-14 00:39:11,"Come una poesia dentro l’eternità Grazie di cuore. 
VOTATE CON IL CODICE 13!

 894.001 telefono fisso
 475.475.1 SMS
https://francescogabbani.snrm.it

#VivaLaVita #Sanremo2025 
@SanremoRai",positive
Francesco Gabbani,2025-02-14 00:02:14,"Comunque Francesco Gabbani è bell'uomo.
#Sanremo2025",positive
Francesco Gabbani,2025-02-14 00:00:49,"Francesco Gabbani

#Sanremo2025",positive
Francesco Gabbani,2025-02-14 00:02:07,"#Sanremo2025
A me piace tanto Francesco Gabbani ",positive
Francesco Gabbani,2025-02-14 00:05:40,Francesco Gabbani ha contemporaneamente la faccia di un animatore villaggio vacanze e di uno che ammazza sua moglie,positive
Francesco Gabbani,2025-02-14 00:02:55,io francesco gabbani lo abbraccerei fortissimo #Sanremo2025,positive
Francesco Gabbani,2025-02-14 00:01:01,"io ogni volta che sento “FRANCESCO GABBANI” 

#Sanremo2025",positive
Francesco Gabbani,2025-02-14 00:01:08,"FRANCESCO GABBANI MY  FAVOURITE BABYGIRL, DILF OF MY DREAMS AND MY ONE TRUE LOVE
#SANREMO2025",positive
Francesco Gabbani,2025-02-14 00:05:07,"e come le convinci tu le donne francesco gabbani...

#Sanremo2025",negative
Francesco Gabbani,2025-02-14 00:56:03,"Sanremo 2025 Serata 3 TOP14

14. Brunori Sas
13. Massimo Ranieri
12. Shablo ft. Gué, Joshua, Tormento
11. Modà
10. Tony Effe
9. Francesco Gabbani
8. Joan Thiele
7. Coma_Cose
6. Clara
5. Sarah Toscano
4. Irama
3. Noemi
2. Olly
1. Gaia - Chiamo io chiami tu",negative
Francesco Gabbani,2025-02-14 00:01:52,Completamente dimenticata della presenza di francesco gabbani,positive
Francesco Gabbani,2025-02-14 00:03:13,francesco gabbani è quella persona che la vedi e trasmette felicità serenità ti svolta la giornata,negative
Francesco Gabbani,2025-02-14 00:02:11,"secondo il mio spoti dovrebbe vincere francesco gabbani, non so quante volte ho streammato",negative
Francesco Gabbani,2025-02-14 00:01:28," #Sanremo #Sanremo2025

Do you always start singing ""Tutta l'Italia"" too early when the screen is dark? Because I do.

Back at the Ariston, Carlo is joined by Katia Le Bon Folessa, our newlywed co-host. They introduce Francesco Gabbani, and ""Viva la Vita"".",positive
Francesco Gabbani,2025-02-14 00:05:06,"Francesco Gabbani un evergreen moderno: non è la sua canzone più forte del repertorio ma lo ascolto sempre volentieri 
#Sanremo2025",positive
Francesco Gabbani,2025-02-14 00:01:29,Francesco Gabbani vene premiato con il premio ENEL durante la terza serata di #Sanremo2025,positive
Francesco Gabbani,2025-02-14 00:02:21,Eros Ramazzotti esci da questo francesco gabbani #Sanremo2025,negative
Francesco Gabbani,2025-02-14 00:09:24,"La solita, consueta, necessaria riflessione per cui, se il regolamento attuale ci fosse già stato nel 2016, Francesco Gabbani (all'epoca 35enne) non avrebbe neppure lontanamente potuto partecipare... #Sanremo2025",positive
Francesco Gabbani,2025-02-14 00:26:01,"#Sanremo2025 
My predictions for tonight's Top 5
Olly
Brunori Sas
Irama 
Noemi
Francesco Gabbani",positive
Francesco Gabbani,2025-02-14 00:08:02," #Sanremo2025 Francesco #Gabbani in gara con ""Viva la vita""
Codice televoto 13
@frankgabbani",positive
Francesco Gabbani,2025-02-14 00:04:13,es tan gracioso que la canción de Francesco Gabbani comparte unos pensamientos que comparto poquísimo y aún así me está poniendo los pelos como escarpias,positive
Francesco Gabbani,2025-02-14 00:05:52,Such a distinguished performance from Francesco Gabbani. Love watching him #Sanremo2025,positive
Francesco Gabbani,2025-02-14 00:03:41,"#Sanremo2025 #eurovision 

Viva la vita è senz'altro la meno forte delle quattro di Sanremo per Francesco Gabbani. Che, comunque, da buon animale da palco sa come interpretarla.

Cioè, è un po' in rapporto a Viceversa come Ti muovi-Fai rumore per Diodato l'anno scorso",positive
Francesco Gabbani,2025-02-14 00:16:45,"Votazioni personali della terza serata di #Sanremo2025
9 Noemi, Brunori Sas
8 Ranieri
7 Olly, Modà, Francesco Gabbani, Gaia
6 Irama, Tony Effe, Clara
5 Sarah Toscano, Joan Thiele, Shablo

Classifica personale (media voti esibizioni) dopo le prime 3 serate
Cristicchi 9, Fedez 9",positive
Francesco Gabbani,2025-02-14 00:15:42,via sanremorai,positive
Francesco Gabbani,2025-02-14 00:01:35,"“Francesco Gabbani”

#sanremo #Sanremo2025",negative
Francesco Gabbani,2025-02-14 00:08:29,"Francesco Gabbani
Foto 
@FabrDiRuscio
 

#francescogabbani #sanremo #sanremo25 #FestivaldiSanremo2025",negative
Francesco Gabbani,2025-02-14 00:03:13,"Come per Irama anche Francesco Gabbani  semi flop a sto giro, nessuno ne parla della sua canzone ed ovviamente per la prima volta non sarà sul podio. Se si fosse conservato Spazio tempo per Sanremo era da vittoria. #sanremo25 #Sanremo2025",positive
Francesco Gabbani,2025-02-14 00:05:13,"Se non ti scalda il cuore la canzone di Francesco Gabbani vuol dire che non hai il cuore (che forse ha Ranieri in mano). Voto 8

#Sanremo2025",negative
Francesco Gabbani,2025-02-14 00:08:32,Francesco Gabbani ha una canzone dolcissima migliora ad ogni ascolto #Sanremo2025,positive
Francesco Gabbani,2025-02-14 00:00:14,orcodio francesco gabbani che celebra la bellezza della vita a mezzanotte spaccata io mi sa tanto che la faccio finita,positive
Francesco Gabbani,2025-02-14 00:00:37,REAL FRANCESCO GABBANI HOURS,positive
Francesco Gabbani,2025-02-14 00:09:07,  13 / Francesco Gabbani - “Viva la vita” #SanRemo2025,positive
Francesco Gabbani,2025-02-14 00:01:11,"Ed ecco la canzone di Francesco Gabbani, finalmente  è la sua prima canzone che mi piace.#Sanremo2025",positive
Francesco Gabbani,2025-02-14 00:06:14,,NOT_AVAILABLE
Francesco Gabbani,2025-02-14 00:20:53,"LA MIA CLASSIFICA DELLA 3ª SERATA

Sarah Toscano
Gaia
Clara 
 Noemi
 Coma_Cose

06 Olly
07 Massimo Ranieri
08 Joan Thiele
09 Brunori Sas
10 ",positive
Francesco Gabbani,2025-02-14 00:20:53,"I miei preferiti stasera:

Brunori Sas
Noemi
Sarah Toscano
Irama
Francesco Gabbani

#Sanremo2025",negative
Francesco Gabbani,2025-02-14 00:06:45,"Francesco Gabbani nel 2020 ha fatto scoprire il suo lato serio al pubblico di Sanremo, nel 2025 può farlo scoprire al pubblico dell'Eurovision.

#Sanremo2025 #SanremoRai #FestivalDiSanremo",positive
Francesco Gabbani,2025-02-14 00:03:38,"e come le convinci tu le donne francesco gabbani 

#Sanremo2025",negative
Francesco Gabbani,2025-02-14 00:08:51,NON CI INTERESSA SE NON VI PIACE FRANCESCO GABBANI NON È UNA COSA DA DIRE PUBBLICAMENTE È UNA VERGOGNA NON C'È DA ANDARNE FIERI SIETE CRESCIUTI MALE #Sanremo2025,positive
Francesco Gabbani,2025-02-14 00:10:13,Ma che sorriso bello ha Francesco Gabbani  #sanremo25,negative
