artist,datetime,content,sentiment
Irama,2025-02-14 00:06:32,"l’outfit la canzone l’emozione TUTTO
irama ha servito
#sanremo2025",positive
Irama,2025-02-14 00:03:08,se stasera ci ritroviamo gabbani e irama in top 5 mi faccio esplodere dalla balconata dell'ariston,positive
Irama,2025-02-14 00:22:49,"I mei top 4 di stasera (che non saranno mai quelli scelti da giuria e televoto):
- Noemi
- Coma_cose
- Irama 
- Gaia

Sul quinto nome ho troppi pari merito ",positive
Irama,2025-02-14 00:24:33,"Il mio top-5 di oggi; 

1. Olly
2. Brunori Sas
3. Shablo 
4. Irama 
5. Francesco Gabbani 

#Sanremo2025",positive
Irama,2025-02-14 00:02:16,Stasera Filippo in arte IRAMA ha servito tutto il servibile ma voi non siete pronti a questa discussione bravo bravo prendiamoci la top 5 CONTINUATE A VOTARE CODICE 12 CODICE 12 su su   #sanremo2025,positive
Irama,2025-02-14 00:08:14,"Irama pronto per entrare negli Avengers

#sanremo25",positive
Irama,2025-02-14 00:17:03,la manera en la que despues de tantas participaciones de Irama en Sanremo puedo ya confirmar que el mundo no esta preparado para él,positive
Irama,2025-02-14 00:15:55,"Canta Aquaman 
#sanremo #Sanremo2025 #sanremo25 #satiremo 
#Irama",positive
Irama,2025-02-14 00:01:12,fui tomar banho e perdi o irama #pqp,negative
Irama,2025-02-14 00:45:10,"IRAMA HA FATTO USCIRE LA VERSIONE SPAGNOLA DI LENTAMENTE io sto urlando !!!

#Sanremo2025",positive
Irama,2025-02-14 00:30:38,I miss the one time irama actually cane and served one of the best sanremo songs ever,positive
Irama,2025-02-14 00:06:27,confessione del giorno: se irama avesse 0 haters sarei morta bnotte,negative
Irama,2025-02-14 00:40:49,Irama comunque queste sono le mie pagelle se ti interessa,positive
Irama,2025-02-14 00:13:12,come Irama contorto dell'edera,positive
Irama,2025-02-14 00:38:01,"Mis favorit@s para ganar #Sanremo2025 son:

Fedez 
Olly 
Irama 
Elodie 
Giorgia 
Gaia 

Tres chicos y tres chicas. Con preferencia absoluta por Fedez.",positive
Irama,2025-02-14 00:48:27,Ancora qui pensando alla potenza di stasera di IRAMA #sanremo2025 #sanremo25,positive
Irama,2025-02-14 00:32:37,"Se Irama si presenta anche al prossimo festival di Sanremo:
#Sanremo2025",positive
Irama,2025-02-14 00:06:05,Mi è appena venuto un flash di quando Irama duettò con Grignani nella serata cover e questo ha iniziato a fare il pazzo a correre ovunque e Irama porello a disagio #Sanremo2025,positive
Irama,2025-02-14 00:26:10,"Brunori Sas, Olly, Irama, Tony Effe, Gabbani... dopo i risultati di ieri stasera mi aspetto questa top 5... spero di sbagliarmi . #Sanremo2025",positive
Irama,2025-02-14 00:18:14,"Irama quando in conferenza stampa dirà ""Sono molto contento per il ragazzoooo Mahmood che ha vinto"" sulle orme dell'Ultimo vero divo che ha calcato il palco di sanremo",positive
Irama,2025-02-14 00:19:36,Vabbè top 5 ci vanno Olly Tony Irama Gabbani e forse 1 donna se ci va bene,positive
Irama,2025-02-14 00:18:30,"https://open.spotify.com/track/3awSM2psSiDT48Kag8IfUa?si=KxhaMH5vTXOYpHJer6YMaA…
è appena uscita la canzone di un mio carissimo amico ascoltatela e supportatelo!",positive
Irama,2025-02-14 00:14:49,"ANCHE BLANCO SOSTIENE IRAMA PER LA CANZONE CHE HANNO SCRITTO INSIEME

CODICE 12 FAN DI BLANCO DIAMOGLI SODDISFAZIONE  #Sanremo2025",positive
Irama,2025-02-14 00:49:16,io ogni volta che canta irama #sanremo25 #Sanremo2025 #Sanremo,positive
Irama,2025-02-14 00:16:38,"Previsione top5 di serata dal più probabile al meno:  

- Olly 
- Irama 
- Tony Effe
- Brunori Sas
- (SALTO NEL BUIO) Shablo & Co.

(bubbling under: Noemi, Clara, Coma_Cose)",positive
Irama,2025-02-14 00:29:16,"Scommettiamo sui 5 di stasera?
Vota televoto e Radio.
Provo a indovinare cosa faranno le giurie:

Olly
Brunori
Tony Effe 
Coma Cose 
Gaia/Irama(qui bella lotta tra televoto e radio)",positive
Irama,2025-02-14 00:37:17,"Irama con LENTAMENTE ha creato un’altra hit sanremese 
questa canzone è TUTTO",positive
Irama,2025-02-14 00:46:34,"Non mi accetta i voti per Irama

#sanremo25 #Sanremo2025 #sanremo",positive
Irama,2025-02-14 00:18:22,"stasera #irama è stato IMPECCABILE.
Ha abbassato gli effetti vocali e la canzone è arrivata fortissimo.
Sosteniamolo
#Sanremo2025",positive
Irama,2025-02-14 00:05:23,"“eh ma la canzone di Irama meritava” 
POTETE VOTARLO STASERA PER DIMOSTRARLO AL POSTO DI DIRLO SEMPRE POST SANREMO
CODICE 12!!!!!
#Sanremo2025",negative
Irama,2025-02-14 00:41:09,"IRAMA CERCANDO DI UCCIDERCI IN UNA VERSIONE SPAGNOLA

#Sanremo2025 #Irama",positive
Irama,2025-02-14 00:17:11,"MANCA POCO RAGAZZI FORZA FORZA FORZA CODICE 12 NON RENDIAMOLO TRISTE

DIAMO PER UNA VOLTA SODDISFAZIONE AD IRAMA SONO ANNI CHE LO SOTTOVALUTANO #Sanremo2025",positive
Irama,2025-02-14 00:21:54,"Non so a chi si riferiva la sciura ma finalmente qualcuno che si fa sentire 
Selvaggia purtroppo non fa giornalismo. Lei cerca una preda e la massacra. Va oltre ogni limite. E come dice Irama: facciamo i bulli e poi urliamo al bullismo quando qualcuno si toglie la vita",positive
